severity,category,line,id,type,sku,brand,name,detail,recommendation
high,bad_seo_canonical_nonvariation,53,13232,simple,PTAICA,Platinum Drywall Tools,Platinum Wheel Inside Angle / Corner Applicator,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,54,13233,simple,PTBF,Platinum Drywall Tools,Platinum Box Filler Attachment,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,55,13234,variable,PTBH,Platinum Drywall Tools,Platinum Flat Box Handle,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,56,13235,simple,PTCA8,Platinum Drywall Tools,"Platinum 8"" Corner Applicator",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,57,13236,simple,PTCAH50,Platinum Drywall Tools,"Platinum 50"" Corner Box Handle",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,58,13237,variable,PTCF,Platinum Drywall Tools,Platinum Angle Head Corner Finisher with Wheels,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,59,13238,simple,PTCFH50,Platinum Drywall Tools,"Platinum 50"" Angle Head Handle",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,60,13239,simple,PTCP,Platinum Drywall Tools,Platinum Drywall Pump w/Filler,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,61,13240,simple,PTCR,Platinum Drywall Tools,Platinum Inside Corner Roller,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,62,13241,simple,PTCRE,Platinum Drywall Tools,Platinum ECO Inside Corner Roller,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
