
Product Name,Categories,SKU,Description,Image URLs
2″ Nail Spotter,Nail Spotter,PT-2NS,"Platinum 2″ Nail Spotter The Platinum 2″ Nail Spotter is engineered for professional drywall finishers who expect precision, durability, and speed. Designed as a compact mini flat box , it delivers fast, consistent coating over nail and screw heads—helping you finish jobs more efficiently with a flawless surface every time. Built from high-grade anodized aluminum , this spotter features a reliable urethane door seal , smooth-glide wheels , and a durable steel blade, ensuring long-lasting performance. Its simple, open design also makes it easy to clean , even after heavy daily use. The integrated threaded end fits any standard corner roller handle, giving you seamless compatibility with the tools you already own.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/3-ns.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/plat-nail-3.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/nail-3-2.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/nail-3-1.webp?fit=1200%2C1200&ssl=1
14″ Flat Finishing Box,Flat Boxes,PT-14FB,"The Platinum Drywall Tools 14″ Flat Finishing Box is designed to apply just the perfect amount of joint compound to drywall flat seams and butt joints. The highly durable anodized aluminum body is built tough to withstand everyday use. The adjustable blade dial will allow you to get the desired finish. Primarily, 14″ size is used on the finish coat.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/14-flat-box.jpeg?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/14-flat-box-02.webp?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/14-flat-box-03.webp?fit=1280%2C1280&ssl=1
4″ Flat Applicator,,PT-FA,"The Platinum Drywall Tools 4″ Flat Applicator is made of one-piece, high-grade aluminum bodies for sturdiness and durability. Flat Applicators are used with a compound tube or a corner box to apply a ribbon for drywall compound to flat joints. Attractive platinum anodizing gives the tool protection from corrosion. Therefore, allowing to tool to have a long service life. Finish like a Pro with Platinum Drywall Tools.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/fa2.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/FA.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/fa1.webp?fit=1600%2C1600&ssl=1
4 Wheel Inside Angle / Corner Applicator,Corner Applicators,PT-AICA,"The Platinum 4-Wheel Inside Angle / Corner Applicator is a versatile tool that makes drywall taping and finishing easy and efficient. It is made with high-quality materials to ensure durability and long-lasting performance. The four-wheel design allows you to glide effortlessly over inside angles and corners, delivering a smooth and consistent finish. The Platinum 4-Wheel Inside Angle / Corner Applicator is compatible with various corner bead types and sizes, making it versatile for any drywall finishing job. Whether a professional contractor or a DIY enthusiast, this applicator is a must-have for achieving a professional-quality finish on your drywall projects.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/ica-4.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/ica-4-3.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/ica-4-2.webp?fit=1200%2C1200&ssl=1
Mini Box Handle,"Flat Box Handle, Flat Boxes",PT-MNBH,"The Platinum Drywall Tools “Mini” Flat Box Handle is a solid designed box handle that allows you to use your flat box in much tighter spaces. The high-quality anodized aluminum construction ensures a very long service life. Measuring only 13 inches in length, this handle will allow you to get into even the smallest of closets.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/Short-Handle.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/short-handle-2.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/short-handle-1.webp?fit=1200%2C1200&ssl=1
ECO Inside Corner Roller,Corner Rollers,PT-CRE,"Introducing the Platinum Drywall Tools ECO Inside Corner Roller , a product boasting a sleek and efficient design. Engineered with nylon rollers, it guarantees a remarkably smooth surface without the risk of damaging the corner bead. This versatile tool seamlessly attaches to any standard coarse thread painter’s pole or broom handle (Sold Separately), ensuring convenience and compatibility. Experience effortless corner rolling with our reliable and user-friendly solution.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-simple-corner-roller.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-simple-roller-3.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-simple-roller-2.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/platinum-simple-roler-1.webp?fit=1200%2C1200&ssl=1
24″ Compound Tube,Corner Tools,PT-CT24,"The Platinum 24″ Compound Tube is used for applying joint compound to internal corners, external corners, and flats with the use of an applicator head. (sold separately) Compound tubes fill like a giant syringe. Simply place the ball end of the tube into the bucket of joint compound and pull the handle. The 24″ is an excellent choice for getting into tight areas and is the smallest size available. These tubes are well built and ready to start speeding you up with your next drywall finishing job.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2422-compound-tube.jpg?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2422-compound-tube-01.webp?fit=1280%2C1280&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/2422-compound-tube-02.webp?fit=1280%2C1280&ssl=1
36″ Compound Tube,Corner Tools,PT-CT36,"The Platinum 36″ Compound Tube is used for applying joint compound to internal corners, external corners, and flats with the use of an applicator head. (sold separately) Compound tubes fill like a giant syringe. Simply place the ball end of the tube into the bucket of joint compound and pull the handle. The 36″ is an excellent choice for getting into tight areas. These tubes are very well built and ready to start making you much more productive with your next drywall finishing job.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/pt36.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/CT243-1.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/CT242-1.webp?fit=1200%2C1200&ssl=1
42″ Compound Tube,Corner Tools,PT-CT42,"The Platinum 42″ Compound Tube is used for applying joint compound to internal corners, external corners, and flats with the use of an applicator head. (sold separately) Compound tubes fill like a giant syringe. Place the tube’s ball end into the joint compound bucket and pull the handle. The 42″ is an excellent choice for reaching higher areas. These tubes are very well built and ready to start making you much more productive with your next drywall finishing job.",https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/pt-42ct.webp?fit=1600%2C1600&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/CT242.webp?fit=1200%2C1200&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/CT243.webp?fit=1200%2C1200&ssl=1
Outside 90 Degree Applicator,,PT-OCA,The Platinum Drywall Tools Outside Applicator Head is designed to fit on all brands of compound tubes and corner boxes. They dispense ribbons of drywall joint compound to both sides of outside 90-degree angles. This is a great and extremely quick way to fit mud set corner beads.,https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/OCR-APP.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/ocrpt122.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/oscc.webp?fit=800%2C800&ssl=1; https://i0.wp.com/platinumdrywalltools.com/wp-content/uploads/2025/07/osd.webp?fit=800%2C800&ssl=1
