"SKU","Name","Type","Category"
"10FBBA","Columbia Automatic Fat Boy Finishing Box - 10""","variation","Automatic Taping Tools"
"10FFBA","Columbia Automatic Flat Finishing Box - 10""","variation","Automatic Taping Tools"
"12FBBA","Columbia Automatic Fat Boy Finishing Box - 12""","variation","Automatic Taping Tools"
"12FFBA","Columbia Automatic Flat Finishing Box - 12""","variation","Automatic Taping Tools"
"14FFBA","Columbia Automatic Flat Finishing Box - 14""","variation","Automatic Taping Tools"
"3BH","Columbia 180 Grip Flat Box Handle - 3'","variation","Automatic Taping Tools"
"42BH","Columbia 180 Grip Flat Box Handle - 42""","variation","Automatic Taping Tools"
"4BH","Columbia 180 Grip Flat Box Handle - 4'","variation","Automatic Taping Tools"
"5BH","Columbia 180 Grip Flat Box Handle - 5'","variation","Automatic Taping Tools"
"6BH","Columbia 180 Grip Flat Box Handle - 6'","variation","Automatic Taping Tools"
"8FFBA","Columbia Automatic Flat Finishing Box - 8""","variation","Automatic Taping Tools"
"COL-180-GRIP-FLAT-BOX-HANDLE-FIXED-LENGTH","Columbia 180 Grip Flat Box Handle","variable","Automatic Taping Tools"
"COL-AUTOMATIC-FAT-BOY-FLAT-BOX","Columbia Automatic Fat Boy Finishing Box","variable","Automatic Taping Tools"
"PMH","Columbia Predator Matrix Box Handle - Regular 40"" to 60""","variation","Automatic Taping Tools"
"PMHL","Columbia Predator Matrix Box Handle - Long 56"" to 76""","variation","Automatic Taping Tools"
"PMHS","Columbia Predator Matrix Box Handle - Short 29"" to 39""","variation","Automatic Taping Tools"
"COL-PREDATOR-ONE-HANDLE","Columbia Predator One Handle","variable","Handles & Extensions"
"PC1H","Columbia Predator One Handle - 4' Fixed","variation","Handles & Extensions"
"PC1HEXT","Columbia Predator One Handle - 3' - 5' Extendable","variation","Handles & Extensions"
"PCHXL","Columbia Predator One Handle - 4' - 8' Long Extendable","variation","Handles & Extensions"
"TSB-14","Columbia Tomahawk Smoothing Blade - 14""","variation","Knives & Blades"
"TSB-48","Columbia Tomahawk Smoothing Blade - 48""","variation","Knives & Blades"
"PHMP","Columbia Mud Pump - Predator Mud Pump","variation","Mud Pans & Pumps"
"CSH","Columbia Sander Pole","simple","Sanders"
"3WTCSF","Columbia Combo Flusher - 3"" Widetrack","variation","Semi-Automatic Taping Tools"
"OA90-325","Columbia Plastic Mud Head Applicator - Outside 90° 325","variation","Semi-Automatic Taping Tools"
"PCLT42","Columbia Cam Lock Tube - Predator Carbon Fiber 42""","variation","Semi-Automatic Taping Tools"
"PCMT42","Columbia Compound Tube - Predator Carbon Fiber 42""","variation","Semi-Automatic Taping Tools"
"TCS","Columbia Tool Case - Gun Case","variation","Tool Cases"
"HTBDL4","Columbia Stainless Steel Knife and Mud Pan Set with Bucket","simple","Tool Sets & Kits"
"HTBDL4","Columbia Stainless Steel Knife and Mud Pan Set with Bucket","simple","Tool Sets & Kits"
