"Type","SKU","Parent SKU","Slug","Name","Published","Visibility in catalog","Short description","Description","Regular price","In stock?","Stock","Categories","Tags","Brands","Images","Parent","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 2 name","Attribute 2 value(s)","Attribute 3 name","Attribute 3 value(s)","Attribute 4 name","Attribute 4 value(s)","Attribute 5 name","Attribute 5 value(s)","meta:product_family","meta:series","meta:model","meta:search_keywords","meta:synonyms","meta:compatible_with","meta:replacement_for","meta:seo_title","meta:seo_description","meta:seo_canonical","meta:seo_robots","meta:seo_focus_keyword","meta:seo_secondary_keywords","meta:schema_brand","meta:schema_mpn","meta:schema_condition"
"simple","9702","","level-5-cf-2-5in-body","Level5 CF 2.5in Body","1","visible","CF 2.5in Body","<p>CF 2.5in Body</p> <p>Compatible with: 4-732</p>","","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 2.5in Body","","9702","Level 5 CF 2.5in Body - [9702], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9702","","","","Level5 CF 2.5in Body -","CF 2.5in Body","","index,follow","Level 5 CF 2.5in Body - [9702]","","Level 5","9702","NewCondition"
"simple","9714","","level-5-cf-2-5in-left-frame","Level5 CF 2.5in Left Frame","1","visible","CF 2.5in Left Frame","<p>CF 2.5in Left Frame</p> <p>Compatible with: 4-732</p>","82.0","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 2.5in Left Frame","","9714","Level 5 CF 2.5in Left Frame - [9714], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9714","","","","Level5 CF 2.5in Left Frame -","CF 2.5in Left Frame","","index,follow","Level 5 CF 2.5in Left Frame - [9714]","","Level 5","9714","NewCondition"
"simple","9189","","level-5-cf-2-5in-and-3in-skid","Level5 CF 2.5in and 3in Skid","1","visible","CF 2.5in and 3in Skid","<p>CF 2.5in and 3in Skid</p> <p>Compatible with: 4-732</p>","20.69","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 2.5in and 3in Skid","","9189","Level 5 CF 2.5in and 3in Skid - [9189], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9189","","","","Level5 CF 2.5in and 3in Skid -","CF 2.5in and 3in Skid","","index,follow","Level 5 CF 2.5in and 3in Skid - [9189]","","Level 5","9189","NewCondition"
"simple","9191","","level-5-cf-6-32-x-1-8-ss-hex","Level5 CF 6 - 32 x 1/8 SS Hex","1","visible","CF 6-32 x 1/8 SS Hex","<p>CF 6-32 x 1/8 SS Hex</p> <p>Compatible with: 4-732</p>","1.79","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 6","","9191","Level 5 CF 6-32 x 1/8 SS Hex - [9191], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9191","","","","Level5 CF 6 - 32 x 1/8 SS Hex -","CF 6-32 x 1/8 SS Hex","","index,follow","Level 5 CF 6-32 x 1/8 SS Hex - [9191]","","Level 5","9191","NewCondition"
"simple","9706","","level-5-cf-2-5in-blade","Level5 CF 2.5in Blade","1","visible","CF 2.5in Blade","<p>CF 2.5in Blade</p> <p>Compatible with: 4-732</p>","24.74","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 2.5in Blade","","9706","Level 5 CF 2.5in Blade - [9706], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9706","","","","Level5 CF 2.5in Blade -","CF 2.5in Blade","","index,follow","Level 5 CF 2.5in Blade - [9706]","","Level 5","9706","NewCondition"
"simple","9509","","level-5-cf-frame-tabs","Level5 CF Frame Tabs","1","visible","CF Frame Tabs","<p>CF Frame Tabs</p> <p>Compatible with: 4-732</p>","3.14","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Frame Tabs","","9509","Level 5 CF Frame Tabs - [9509], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9509","","","","Level5 CF Frame Tabs -","CF Frame Tabs","","index,follow","Level 5 CF Frame Tabs - [9509]","","Level 5","9509","NewCondition"
"simple","9508","","level-5-cf-screw","Level5 CF Screw","1","visible","CF Screw","<p>CF Screw</p> <p>Compatible with: 4-732</p>","1.79","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Screw","","9508","Level 5 CF Screw - [9508], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9508","","","","Level5 CF Screw -","CF Screw","","index,follow","Level 5 CF Screw - [9508]","","Level 5","9508","NewCondition"
"simple","9195","","level-5-cf-top-clip-2-5in-3in","Level5 CF Top Clip 2.5in & 3in","1","visible","CF Top Clip 2.5in & 3in","<p>CF Top Clip 2.5in & 3in</p> <p>Compatible with: 4-732</p>","8.54","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Top Clip 2.5in & 3in","","9195","Level 5 CF Top Clip 2.5in & 3in - [9195], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9195","","","","Level5 CF Top Clip 2.5in & 3in -","CF Top Clip 2.5in & 3in","","index,follow","Level 5 CF Top Clip 2.5in & 3in - [9195]","","Level 5","9195","NewCondition"
"simple","9524","","level-5-cf-2-5in-spring","Level5 CF 2.5in Spring","1","visible","CF 2.5in Spring","<p>CF 2.5in Spring</p> <p>Compatible with: 4-732</p>","8.0","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 2.5in Spring","","9524","Level 5 CF 2.5in Spring - [9524], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9524","","","","Level5 CF 2.5in Spring -","CF 2.5in Spring","","index,follow","Level 5 CF 2.5in Spring - [9524]","","Level 5","9524","NewCondition"
"simple","7741","","level-5-cf-ball-locking-clip","Level5 CF Ball Locking Clip","1","visible","CF Ball Locking Clip","<p>CF Ball Locking Clip</p> <p>Compatible with: 4-732</p>","23.39","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Ball Locking Clip","","7741","Level 5 CF Ball Locking Clip - [7741], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7741","","","","Level5 CF Ball Locking Clip -","CF Ball Locking Clip","","index,follow","Level 5 CF Ball Locking Clip - [7741]","","Level 5","7741","NewCondition"
"simple","7740","","level-5-cf-lock-clip-spring","Level5 CF Lock Clip Spring","1","visible","CF Lock Clip Spring","<p>CF Lock Clip Spring</p> <p>Compatible with: 4-732</p>","1.79","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Lock Clip Spring","","7740","Level 5 CF Lock Clip Spring - [7740], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7740","","","","Level5 CF Lock Clip Spring -","CF Lock Clip Spring","","index,follow","Level 5 CF Lock Clip Spring - [7740]","","Level 5","7740","NewCondition"
"simple","7742","","level-5-cf-locking-clip-tab","Level5 CF Locking Clip Tab","1","visible","CF Locking Clip Tab","<p>CF Locking Clip Tab</p> <p>Compatible with: 4-732</p>","15.29","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF Locking Clip Tab","","7742","Level 5 CF Locking Clip Tab - [7742], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7742","","","","Level5 CF Locking Clip Tab -","CF Locking Clip Tab","","index,follow","Level 5 CF Locking Clip Tab - [7742]","","Level 5","7742","NewCondition"
"simple","7183","","level-5-insert-socket","Level5 Insert Socket","1","visible","Insert Socket","<p>Insert Socket</p> <p>Compatible with: 4-732</p>","27.44","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 Insert Socket","","7183","Level 5 Insert Socket - [7183], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7183","","","","Level5 Insert Socket -","Insert Socket","","index,follow","Level 5 Insert Socket - [7183]","","Level 5","7183","NewCondition"
"simple","7312","","level-5-cf-6-32-x-1-4-bind-head-screw-sst","Level5 CF 6 - 32 X 1/4 Bind Head Screw SST","1","visible","CF 6-32 X 1/4 Bind Head Screw SST","<p>CF 6-32 X 1/4 Bind Head Screw SST</p> <p>Compatible with: 4-732</p>","1.79","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 6","","7312","Level 5 CF 6-32 X 1/4 Bind Head Screw SST - [7312], Level 5, Drywall Finishing Tools > Level 5 > Parts, 7312","","","","Level5 CF 6 - 32 X 1/4 Bind Head Screw SST -","CF 6-32 X 1/4 Bind Head Screw SST","","index,follow","Level 5 CF 6-32 X 1/4 Bind Head Screw SST - [7312]","","Level 5","7312","NewCondition"
"simple","9708","","level-5-cf-2-5in-right-frame","Level5 CF 2.5in Right Frame","1","visible","CF 2.5in Right Frame","<p>CF 2.5in Right Frame</p> <p>Compatible with: 4-732</p>","111.14","1","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Corner Finisher Parts, Parts","Level 5","","","0","","","","","","","","","","","Level 5 CF 2.5in Right Frame","","9708","Level 5 CF 2.5in Right Frame - [9708], Level 5, Drywall Finishing Tools > Level 5 > Parts, 9708","","","","Level5 CF 2.5in Right Frame -","CF 2.5in Right Frame","","index,follow","Level 5 CF 2.5in Right Frame - [9708]","","Level 5","9708","NewCondition"
