brand,name,description_full,description_short
Columbia Taping Tools,"Columbia ""Sawed Off"" Mini Automatic Taper","The Columbia ""Sawed Off"" Automatic Taper

Is a precision-built tool that is back by popular demand. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to easily remove the cap for cleaning, this tool will not let you down. A hard-anodized tube eliminates the track lines that occur on so many other tools. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. Every taper comes standard with an adjustable brake and quick release for tape changing. At 39"", this taper is perfect for tight spaces such as stairwells, closets, scaffold, and low ceilings. If you are serious about taping and care how a taper feels and performs this is the one for you.","The Columbia ""Sawed Off"" Automatic Taper is a precision-built tool that is back by popular demand. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to easily remove the cap for cleaning, this tool will not let you down. A hard-anodized tube eliminates the track lines that occur on so many other tools. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. Every taper comes standard with an adjustable bra"
Columbia Taping Tools,"Columbia 1.5"" PUTTY KNIFE","Columbia1.5"" PUTTY KNIFE","Columbia1.5"" PUTTY KNIFE"
Columbia Taping Tools,"Columbia 10"" Automatic Assist Drywall Tool Flat Box","The Columbia Automatic Flat Boxes

Reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.","The Columbia Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamberrequiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations."
Columbia Taping Tools,"Columbia 10"" and 12"" Flat Box Combo","Columbia 10"" and 12"" Flat Box Combo Set

The Columbia Box Set is a great choice for drywall professionals that want to speed up production finishing flats. The 10"" and 12"" size boxes are the most common selling sizes. With both of these boxes, you will be able to perform a 2 coat finish.

Columbia 10"" Flat Box

Columbia 12"" Flat Box

Columbia 42"" Flat Box Handle

Columbia Hot Mud Pump

Columbia Filler Attachment","Columbia 10"" and 12"" Flat Box Combo Set"
Columbia Taping Tools,"Columbia 10"" and 12"" Flat Box Combo Set w/ Extendable Handle","Columbia Taping Tools 10"" and 12"" Flat Box Combo Set with Extendable Handle

The Columbia Box Set is an excellent choice for drywall professionals that want to speed up production finishing flats. The 10"" and 12"" size boxes are the most common selling sizes. With both of these boxes, you will be able to perform a two-coat finish. The Columbia Matrix handle makes it easier getting into tight areas like closets, but also extends to reach the higher spots.

Columbia backs its tools with a 5-year manufactures warranty.

• Made in Canada

Columbia 10"" Flat Box

Columbia 12"" Flat Box

Columbia Matrix Extendable Flat Box Handle (40"" - 60"")

Columbia Hot Mud Pump

Columbia Filler Attachment","Columbia Taping Tools 10"" and 12"" Flat Box Combo Set with Extendable Handle"
Columbia Taping Tools,"Columbia 10"" and 12"" Full Set w/ Predator Taper Upgrade","Our Columbia Taping Tools Full Set

Includes the most popular Columbia drywall tools for taping and finishing. This set includes all the essential automatic taping tools needed for taping and finishing drywall flats and corners. Columbia Taping Tools has a

5-year warranty against manufacturer defects.

Columbia Predator Automatic Taper

Columbia Corner Roller

Columbia 8"" Corner Box

Columbia 3"" Angle Head with Wheels

Columbia Angle Head Handle

Columbia Corner Box Handle

Columbia Corner Roller Handle

Columbia 10"" Flat Box

Columbia 12"" Flat Box

Columbia 42"" Flat Box Handle

Columbia Hot Mud Pump

Columbia Gooseneck Adapter

Columbia Filler Adapter",Columbia Taping Tools Full Set
Columbia Taping Tools,"Columbia 10"" and 12"" Full Set w/ Stilts","Our Columbia Taping Tools Full Set

Includes the most popular Columbia drywall tools for taping and finishing. This set includes all the essential automatic taping tools needed for taping and finishing drywall flats and corners. Columbia Taping Tools has a 5-year warranty against manufacturer defects.

Columbia Automatic Taper

Columbia Corner Roller

Columbia Corner Box

Columbia 3"" Angle Head with Wheels

Columbia Angle Head Handle

Columbia Corner Box Handle

Columbia Corner Roller Handle

Columbia 10"" Flat Box

Columbia 12"" Flat Box

Columbia 42"" Flat Box Handle

Columbia Hot Mud Pump

Columbia Gooseneck Adapter

Columbia Filler Adapter

FREE

24""- 40"" Drywall Stilts",Our Columbia Taping Tools Full Set includes the most popular Columbia drywall tools for taping and finishing. This set includes all the essential automatic taping tools needed for taping and finishing drywall flats and corners. Columbia Taping Tools has a 5-year warranty against manufacturer defects.
Columbia Taping Tools,"Columbia 10"" and 12"" Jumbo Set of Drywall Taping Tools","Our Columbia Taping Tools Full Set

Includes the most popular Columbia drywall tools for taping and finishing. This set includes all the essential automatic taping tools needed for taping and finishing drywall flats and corners. Nail Spotter has been added to this set to finish nail/screw holes. Having 2 pumps is a nice feature not having to swap the filler and gooseneck in and out.

Columbia Taping Tools has a 5-year warranty against manufacturer defects.

Columbia Automatic Taper

Columbia Corner Roller

Columbia Corner Box

Columbia 2.5"" Angle Head with Wheels

Columbia 3.5"" Angle Head with Wheels

Columbia 3"" Nail Spotter

Columbia Angle Head Handle

Columbia Corner Box Handle

Columbia Corner Roller Handle

Columbia Nail Spotter Handle

Columbia 10"" Flat Box

Columbia 12"" Flat Box

Columbia 42"" Flat Box Handle

Columbia 54"" Flat Box Handle

(2) Columbia Hot Mud Pumps

Columbia Gooseneck Adapter

Columbia Filler Adapter",Our Columbia Taping Tools Full Set includes the most popular Columbiadrywall toolsfor taping and finishing. This set includes all the essential automatic taping tools needed for taping and finishing drywall flats and corners. Nail Spotter has been added to this set to finish nail/screw holes. Having 2 pumps is a nice feature not having to swap the filler and gooseneck in and out.
Columbia Taping Tools,"Columbia 10"" Drywall Flat Finishing Box","Columbia 10"" Drywall Flat Finishing Box

Is the most common selling size of flat box for the first coat, in the US market. It works great for running flat joints and butt seams. Easy open door plate makes for very easy clean up and will fit on all major brands of flat box handles. 5 Year Columbia Warranty.","Columbia 10"" Drywall Flat Finishing Box is the most common selling size of flat box for the first coat, in the US market. It works great for running flat joints and butt seams. Easy open door plate makes for very easy clean up and will fit on all major brands of flat box handles. 5 Year Columbia Warranty."
Columbia Taping Tools,"Columbia 10"" Fat Boy Drywall Flat Finishing Box","Columbia 10"" Fat Boy Drywall Flat Finishing Box

Holds 30% more mud than the standard Columbia 10"" Flat Box. It works great for running the first coat on flat joints and butt seams. With 30% more mud, you can go longer distances without having to fill it up at the pump. Easy open door plate makes for very easy clean up and will fit on all major brands of flat box handles. 5 Year Columbia Warranty.","Columbia 10"" Fat Boy Drywall Flat Finishing Box holds 30% more mud than the standard Columbia 10"" Flat Box. It works great for running the first coat on flat joints and butt seams. With 30% more mud, you can go longer distances without having to fill it up at the pump. Easy open door plate makes for very easy clean up and will fit on all major brands of flat box handles. 5 Year Columbia Warranty."
Columbia Taping Tools,"Columbia 10"" Inside Track Fat Boy Flat Box","With the Columbia 10"" Fat Boy Boxes

You can hold 30% more mud compared to the standard flat boxes. This box will also fit all major brands of flat box handles. The inside track boxed feature the wheels mounted on the inside of the side plates. This feature is excellent for finishing butt joints. Very similar to the design of the Blueline/Premier boxes.","Columbia 10"" Fat Boy Boxes"
Columbia Taping Tools,"Columbia 10"" Tomahawk Smoothing Blade","The Columbia Tomahawk set of Smoothing Blades

Is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.","The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade."
Columbia Taping Tools,"Columbia 12"" Drywall Flat Finishing Box","The Columbia 12"" Drywall Flat Finishing Box

Is a high-quality tool for quickly and efficiently finishing drywall surfaces. Made from durable materials, this finishing box is built to withstand frequent use and delivers consistent results every time. Its precision-engineered parts ensure a smooth and even application of joint compound, leaving a perfect finish without any air pockets or ridges.

This finishing box has a 12"" blade that covers a large area, allowing you to finish larger surfaces in less time. It is lightweight, making it easy to handle and maneuver, even when working on ceilings or walls. The blade is adjustable and can be set to a range of thicknesses, depending on the requirements of your project.

The Columbia 12"" Drywall Flat Finishing Box is also designed for easy cleaning, with a removable lid that makes it easy to access and clean the internal components. Its sturdy construction, and advanced features make it an ideal choice for professional contractors and DIY enthusiasts who want a flawless finish on their drywall projects.

5-Year Columbia Warranty.","The Columbia 12"" Drywall Flat Finishing Box is a high-quality tool for quickly and efficiently finishing drywall surfaces. Made from durable materials, this finishing box is built to withstand frequent use and delivers consistent results every time. Its precision-engineered parts ensure a smooth and even application of joint compound, leaving a perfect finish without any air pockets or ridges."
Columbia Taping Tools,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box","The Columbia Automatic Flat Boxes

Reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.

Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box","The Columbia Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamberrequiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations."
