"Type","SKU","Parent SKU","Slug","Name","Published","Visibility in catalog","Short description","Description","Regular price","Tax status","In stock?","Stock","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Categories","Tags","Brands","Images","Parent","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 used for variations","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 used for variations","meta:search_keywords","meta:seo_title","meta:seo_description","meta:seo_canonical","meta:seo_robots","meta:seo_focus_keyword","meta:seo_secondary_keywords","meta:schema_brand","meta:schema_mpn","meta:schema_condition","Meta: _dtb_brand_key","Meta: _dtb_brand_label","Meta: _dtb_product_kind","Meta: _dtb_commerce_mode","Meta: _dtb_category_key","Meta: _dtb_display_category_key","Meta: _dtb_is_parts","Meta: _dtb_parent_product_sku","Meta: _dtb_variation_axis","Meta: _dtb_variation_value","Meta: _dtb_variation_label","Meta: _dtb_default_variation_sku","Meta: _dtb_variation_sort","Meta: _dtb_inherit_parent_image","Meta: _dtb_schematic_brand","Meta: _dtb_schematic_group","Meta: _dtb_schematic_position","Meta: _dtb_replacement_part_for","Meta: _dtb_compatible_tool_skus","Meta: _dtb_validation_status","Meta: _dtb_validation_errors"
"simple","PTAICA","","platinum-wheel-inside-angle-corner-applicator","Platinum Wheel Inside Angle / Corner Applicator","1","visible","The Platinum Wheel Inside Angle / Corner Applicator (PT-AICA) utilizes a four-wheel design to deliver consistent, uniform joint compound application in interior corners, increasing speed and finish quality.","<p><strong>Platinum Wheel Inside Angle / Corner Applicator (PT-AICA)</strong> provides a precise, automated solution for applying joint compound to interior 90-degree corners. This tool streamlines the finishing process by delivering a uniform, consistent layer of mud, which significantly reduces the need for manual touch-ups and secondary passes. The specialized four-wheel configuration ensures the applicator remains centered and balanced throughout the run, preventing the skips and uneven distribution common with manual methods.</p><p>Engineered for the demands of professional job sites, this applicator is built from durable materials to withstand daily, heavy-duty use. Its design prioritizes operator efficiency, allowing for faster project completion while maintaining high-quality standards. The unit is compatible with standard compound tubes and angle boxes, offering the versatility required for diverse residential and commercial finishing tasks.</p><p><strong>Features:</strong></p><ul><li><strong>Four-Wheel Stability:</strong> The integrated wheel system maintains consistent contact and balance, ensuring an even compound application across the entire length of the corner.</li><li><strong>Smooth Maneuverability:</strong> Designed to glide effortlessly along inside angles, minimizing physical strain and operator fatigue during extended sessions.</li><li><strong>Professional-Grade Construction:</strong> Built with high-quality, durable components to ensure long-term reliability and performance under demanding conditions.</li><li><strong>Versatile Compatibility:</strong> Engineered to work effectively with a wide range of corner bead sizes and types, providing flexibility for various project requirements.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-AICA</td></tr><tr><td>Product Type</td><td>4-Wheel Inside Corner Applicator</td></tr><tr><td>Category</td><td>Drywall Finishing Tools</td></tr><tr><td>Compatibility</td><td>Standard Compound Tubes / Angle Boxes</td></tr></tbody></table>","89.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools","4 wheel applicator, corner applicator, inside corner tool, PT-AICA, mud applicator","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-aica-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-aica-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-aica-03.webp","","155","","","","0","","","","","","","Platinum Wheel Inside Angle / Corner Applicator (PT","","2026-05-07","v2-production-normalized","Platinum Wheel Inside Angle / Corner Applicator","The Platinum Wheel Inside Angle / Corner Applicator (PT-AICA) utilizes a four-wheel design to deliver consistent, uniform joint compound application in int","","index,follow","Platinum Wheel Inside Angle / Corner Applicator (PT-AICA)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","corner","corner_tools","0","","","","","","","0","","","","","","ready",""
"simple","PTBF","","platinum-box-filler-attachment","Platinum Box Filler Attachment","1","visible","The Platinum Box Filler Attachment provides a secure, leak-free connection to all major drywall compound pumps, enabling rapid and efficient filling of flat boxes, corner applicators, and nail spotters.","<p><strong>Platinum Box Filler Attachment (PT-BF)</strong> serves as the essential interface between your compound pump and finishing equipment, facilitating a clean, high-volume transfer of joint compound. Engineered for the rigorous demands of professional drywall finishing, this attachment eliminates the inefficiencies and material waste inherent in manual loading, ensuring a seamless, high-speed workflow across both commercial and residential projects.</p><p>Constructed from heavy-duty, handcrafted metal, this component is built to maintain structural integrity under the high-pressure conditions of daily job site use. The design provides a secure, airtight seal that prevents leaks, ensuring your compound remains contained and your equipment operates at peak performance throughout the day.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Integrates seamlessly with all major brands of drywall compound pumps, providing a versatile solution for your existing tool inventory.</li><li><strong>Multi-Tool Versatility:</strong> Facilitates the rapid filling of a wide array of finishing equipment, including flat boxes, corner applicators, and nail spotters.</li><li><strong>Rugged Construction:</strong> Built with durable, handcrafted metal to withstand the wear and tear of high-frequency, professional environments.</li><li><strong>Optimized Flow:</strong> Engineered to support rapid, clean material transfer, which minimizes waste and reduces downtime during application.</li><li><strong>Secure Attachment:</strong> Features a reliable bolt-on design that ensures a stable, leak-free connection for consistent performance.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum</td></tr><tr><td>SKU</td><td>PT-BF</td></tr><tr><td>Product Type</td><td>Box Filler Attachment</td></tr><tr><td>Compatibility</td><td>Universal (Major Drywall Pump Brands)</td></tr><tr><td>Primary Use</td><td>Filling Flat Boxes, Corner Applicators, Nail Spotters</td></tr><tr><td>Construction</td><td>Handcrafted Heavy-Duty Metal</td></tr></tbody></table>","49.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Mud Pans & Pumps","box filler, filler attachment, PT-BF, loading pump parts, mud filler","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bf-01.webp","","389","","","","0","","","","","","","Platinum Box Filler Attachment (PT","","2026-05-07","v2-production-normalized","Platinum Box Filler Attachment","The Platinum Box Filler Attachment provides a secure, leak-free connection to all major drywall compound pumps, enabling rapid and efficient filling of fla","","index,follow","Platinum Box Filler Attachment (PT-BF)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","mudboxes","mud_pans_and_pumps","0","","","","","","","0","","","","","","ready",""
"variable","PTBH","","platinum-flat-box-handle","Platinum Flat Box Handle","1","visible","Professional Platinum Flat Box Handle (34""–54"") with responsive braking and lightweight anodized aluminum construction for superior control.","<p>The Platinum Flat Box Handle series delivers precise control and leverage for professional drywall finishing. Constructed from high-strength, lightweight anodized aluminum, these handles are optimized for a variety of tasks including wall work, closets, and ceiling applications. The integrated braking system provides responsive, consistent adjustment of the box angle, ensuring uniform compound application and clean joints. Available in fixed lengths of 34"", 42"", and 54"", these handles are designed for universal compatibility with most major industry flat boxes.</p><ul><li><strong>Lightweight Aluminum:</strong> High-strength anodized frame reduces operator fatigue during long shifts.</li><li><strong>Responsive Braking:</strong> Precise control over flat box positioning for consistent mud application.</li><li><strong>Ergonomic Grip:</strong> Adjustable handle grip accommodates various hand sizes for improved leverage.</li><li><strong>Universal Compatibility:</strong> Fits seamlessly with all major industry-standard flat finishing boxes.</li><li><strong>Available Lengths:</strong> 34"" (PT-BH34), 42"" (PT-BH42), and 54"" (PT-BH54).</li></ul>","","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Handles & Extensions","PT-BH34, PT-BH42, PT-BH54, flat box handle, finishing box handle","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh34-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh34-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh42-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh54-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh54-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh54-03.webp","","52","Size","34"" | 42"" | 54""","1","1","1","","","","","","Platinum Flat Box Handle","","2026-05-07","v2-production-normalized","Platinum Flat Box Handle","Professional Platinum Flat Box Handle (34""–54"") with responsive braking and lightweight anodized aluminum construction for superior control.","","index,follow","Platinum Flat Box Handle","","platinum-drywall-tools","Platinum Drywall Tools","tool","parent_container","handles","handles_and_extensions","0","","size","","","PTBH34","","0","","","","","","ready",""
"variation","PTBH34","PTBH","platinum-flat-box-handle-34","Platinum Flat Box Handle - 34""","1","visible","","","90.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Handles & Extensions","34 inch flat box handle, PT-BH34, anodized aluminum, drywall finishing, box handle","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh34-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh34-02.webp","PTBH","53","Size","34""","1","1","1","","","","","","Platinum 34"" Flat Box Handle (PT","","2026-05-07","v2-production-normalized","Platinum Flat Box Handle - 34""","","","index,follow","Platinum 34"" Flat Box Handle (PT-BH34)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","handles","handles_and_extensions","0","PTBH","size","34","34 in","","340","0","","","","","","ready",""
"variation","PTBH42","PTBH","platinum-flat-box-handle-42","Platinum Flat Box Handle - 42""","1","visible","","","95.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Handles & Extensions","42 inch flat box handle, PT-BH42, anodized aluminum, drywall finishing, box handle","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh42-01.webp","PTBH","54","Size","42""","1","1","1","","","","","","Platinum 42"" Flat Box Handle (PT","","2026-05-07","v2-production-normalized","Platinum Flat Box Handle - 42""","","","index,follow","Platinum 42"" Flat Box Handle (PT-BH42)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","handles","handles_and_extensions","0","PTBH","size","42","42 in","","420","0","","","","","","ready",""
"variation","PTBH54","PTBH","platinum-flat-box-handle-54","Platinum Flat Box Handle - 54""","1","visible","","","100.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Handles & Extensions","54 inch flat box handle, PT-BH54, anodized aluminum, drywall finishing, box handle","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh54-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh54-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-bh54-03.webp","PTBH","55","Size","54""","1","1","1","","","","","","Platinum 54"" Flat Box Handle (PT","","2026-05-07","v2-production-normalized","Platinum Flat Box Handle - 54""","","","index,follow","Platinum 54"" Flat Box Handle (PT-BH54)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","handles","handles_and_extensions","0","PTBH","size","54","54 in","","540","0","","","","","","ready",""
"simple","PTCA8","","platinum-8-corner-applicator","Platinum 8"" Corner Applicator","1","visible","The Platinum 8"" Corner Applicator (PT-CA8) is a high-capacity tool designed for efficient, uniform joint compound application in internal corners. Featuring durable anodized aluminum construction and a 50-inch handle, it offers universal compatibility with all major angle head brands.","<p><strong>Platinum 8"" Corner Applicator (PT-CA8)</strong> provides a high-volume solution for applying joint compound to internal drywall corners. This tool is engineered to deliver a consistent, uniform flow of compound, significantly reducing the need for manual touch-ups and accelerating the finishing process on large-scale projects.</p><p>Constructed from durable, lightweight anodized aluminum, the applicator minimizes operator fatigue during extended use while maintaining the structural integrity required for daily job site demands. It features a high-capacity reservoir that allows for longer, uninterrupted runs between pump refills. The unit is designed for universal compatibility, integrating seamlessly with all major industry-standard angle heads, and includes a 50-inch handle to provide the necessary reach for high ceilings and complex corner angles.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Reservoir:</strong> Maximizes compound storage to facilitate longer runs and increase overall productivity.</li><li><strong>Anodized Aluminum Construction:</strong> Balances structural durability with a lightweight profile to reduce physical strain.</li><li><strong>Extended Reach:</strong> Includes a 50-inch handle for comfortable access to high ceilings and difficult-to-reach corners.</li><li><strong>Universal Compatibility:</strong> Engineered to fit all major brands of angle heads for seamless integration into existing tool inventories.</li><li><strong>Consistent Flow:</strong> Ensures a uniform layer of joint compound for a reliable foundation in professional finishing.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-CA8</td></tr><tr><td>Tool Type</td><td>Corner Applicator</td></tr><tr><td>Material</td><td>Anodized Aluminum</td></tr><tr><td>Handle Length</td><td>50 inches</td></tr><tr><td>Capacity</td><td>8 inches</td></tr><tr><td>Compatibility</td><td>Universal (Fits all major angle head brands)</td></tr></tbody></table>","159.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools","8 inch corner applicator, PT-CA8, internal corner tool, mud applicator, high capacity angle box","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-ca8-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-ca8-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-ca8-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-ca8-04.webp","","144","","","","0","","","","","","","Platinum 8"" Corner Applicator (PT","","2026-05-07","v2-production-normalized","Platinum 8"" Corner Applicator","The Platinum 8"" Corner Applicator (PT-CA8) is a high-capacity tool designed for efficient, uniform joint compound application in internal corners. Featurin","","index,follow","Platinum 8"" Corner Applicator (PT-CA8)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","corner","corner_tools","0","","","","","","","0","","","","","","ready",""
"simple","PTCAH50","","platinum-50-corner-box-handle","Platinum 50"" Corner Box Handle","1","visible","The Platinum 50"" Corner Box Handle features a lightweight, durable anodized aluminum body with an ergonomic grip. Designed for compatibility with all major corner box brands, it provides the reach and control necessary for professional-grade drywall finishing.","<p><strong>Platinum 50"" Corner Box Handle (PT-CAH50)</strong> provides the essential reach and leverage required for professional drywall finishers to maintain consistent quality on high walls and ceilings. This tool integrates seamlessly with standard corner applicator boxes, allowing for precise control over joint compound distribution while minimizing the need for ladders or stilts during daily operations.</p><p>Engineered for the demands of active job sites, the handle features a lightweight yet robust construction that resists wear. The ergonomic design includes a secure grip and adjustable ball-end, facilitating steady pressure and uniform compound application across internal corners. By streamlining the finishing workflow, this handle helps maintain high productivity levels and reduces physical fatigue during extended use.</p><p><strong>Features:</strong></p><ul><li><strong>Extended Reach:</strong> The 50-inch length provides efficient access to elevated corners and high-ceiling applications.</li><li><strong>Ergonomic Control:</strong> Equipped with a comfortable rubber grip and an adjustable ball-end for precise handling and pressure management.</li><li><strong>Durable Build:</strong> Constructed from heavy-duty anodized aluminum to withstand rigorous daily use in professional environments.</li><li><strong>Universal Compatibility:</strong> Engineered to fit securely with all major corner box brands for quick setup and reliable performance.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-CAH50</td></tr><tr><td>Product Type</td><td>Corner Box Handle</td></tr><tr><td>Length</td><td>50 inches</td></tr><tr><td>Material</td><td>Anodized Aluminum</td></tr><tr><td>Category</td><td>Drywall Finishing Tools</td></tr></tbody></table>","49.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Handles & Extensions","50 inch handle, PT-CAH50, corner box handle, corner applicator handle, anodized aluminum","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cah50-01.webp","","227","","","","0","","","","","","","Platinum 50"" Corner Box Handle (PT","","2026-05-07","v2-production-normalized","Platinum 50"" Corner Box Handle","The Platinum 50"" Corner Box Handle features a lightweight, durable anodized aluminum body with an ergonomic grip. Designed for compatibility with all major","","index,follow","Platinum 50"" Corner Box Handle (PT-CAH50)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","handles","handles_and_extensions","0","","","","","","","0","","","","","","ready",""
"variable","PTCF","","platinum-angle-head-corner-finisher-with-wheels","Platinum Angle Head Corner Finisher with Wheels","1","visible","Platinum Angle Head Corner Finisher (2.5""–3.5"") with integrated wheels for smooth, single-pass internal corner feathering. Durable cast aluminum build.","<p>The Platinum Angle Head Corner Finisher streamlines internal corner finishing by simultaneously applying and feathering joint compound on both sides of a 90-degree corner. Available in 2.5"", 3"", and 3.5"" widths, these finishers feature a durable high-grade cast aluminum body and an integrated wheel system that ensures fluid, low-drag movement. Engineered for high-volume job sites, they eliminate repetitive manual passes and provide a sharp, uniform edge that requires minimal sanding. These units integrate seamlessly with standard corner rollers, boxes, and angle head handles.</p><ul><li><strong>Precision Corner Finishing:</strong> Simultaneously coats and feathers both sides for a clean, professional edge.</li><li><strong>Low-Friction Wheels:</strong> Integrated wheel system ensures smooth operation and reduces operator fatigue.</li><li><strong>Cast Aluminum Body:</strong> High-grade construction provides long-term site reliability and durability.</li><li><strong>System Compatibility:</strong> Works with standard industry corner rollers and applicator handles.</li><li><strong>Available Sizes:</strong> 2.5"" (PT-CF2.5), 3"" (PT-3CF), and 3.5"" (PT-CF3.5).</li></ul>","","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools","PT-CF2.5, PT-3CF, PT-CF3.5, angle head, corner finisher","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-3-0cf-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-3-0cf-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-3-0cf-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-3-0cf-04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-05.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf3-5-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf3-5-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf3-5-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf3-5-04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf3-5-05.webp","","145","Size","2.5"" | 3"" | 3.5""","1","1","1","","","","","","Platinum Angle Head Corner Finisher with Wheels","","2026-05-07","v2-production-normalized","Platinum Angle Head Corner Finisher with Wheels","Platinum Angle Head Corner Finisher (2.5""–3.5"") with integrated wheels for smooth, single-pass internal corner feathering. Durable cast aluminum build.","","index,follow","Platinum Angle Head Corner Finisher with Wheels","","platinum-drywall-tools","Platinum Drywall Tools","tool","parent_container","corner","corner_tools","0","","size","","","PTCF25","","0","","","","","","ready",""
"variation","PTCF25","PTCF","platinum-angle-head-corner-finisher-with-wheels-2-5","Platinum Angle Head Corner Finisher with Wheels - 2.5""","1","visible","","","239.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools","2.5 inch angle head, PT-CF2.5, corner finisher, internal corner tool, cast aluminum head","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-cf2-5-05.webp","PTCF","146","Size","2.5""","1","1","1","","","","","","Platinum 2.5"" Angle Head with Wheels (PT","","2026-05-07","v2-production-normalized","Platinum Angle Head Corner Finisher with Wheels - 2.5""","","","index,follow","Platinum 2.5"" Angle Head with Wheels (PT-CF2.5)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","corner","corner_tools","0","PTCF","size","2.5","2.5 in","","25","0","","","","","","ready",""
