Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Platinum Drywall Tools,PT-10FB,,"Platinum 10"" Flat Finishing Box (PT-10FB)",simple,"<p>Platinum 10"" Flat Finishing Box (PT-10FB) delivers high-speed consistency for drywall contractors by applying and feathering joint compound in a single pass. This tool minimizes manual labor and reduces the need for extensive sanding by providing a uniform, professional finish on both flat and butt joints.</p><p>The unit features a precision-engineered pivoting axle that maintains constant blade contact with the wall, even over minor surface irregularities. An integrated crown adjustment dial allows for granular control over compound volume, enabling contractors to quickly adapt the application thickness for base coats or final finishing stages.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Dispensing:</strong> Regulates compound flow for consistent, professional results on every pass.</li><li><strong>Integrated Feathering:</strong> Applies and feathers edges simultaneously to maximize daily productivity.</li><li><strong>Adjustable Crown Dial:</strong> Provides exact control over compound thickness for various finishing stages.</li><li><strong>Pivoting Axle Design:</strong> Ensures optimal blade contact and maneuverability on uneven surfaces.</li><li><strong>Durable Construction:</strong> Built with high-grade materials to withstand the demands of daily job site use.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-10FB | | Tool Type | Flat Finishing Box | | Size | 10 Inches | | Application | Drywall Joint Finishing |</p>","The Platinum 10"" Flat Finishing Box applies and feathers joint compound in one pass. Features a pivoting axle for consistent contact and an adjustable crown dial for precise thickness control.",195.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_7316520b.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_2fef317f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_3468df21.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_d42e7147.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-10FB, flat finishing box, drywall joint finishing, drywall compound tool",1403,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 10"" Flat Finisher (PT-10FB) | Pivoting Axle Design","Apply and feather drywall compound in one pass with the Platinum 10"" Flat Finishing Box. Only $195.00. Features a pivoting axle for consistent coverage."
Platinum Drywall Tools,PT-FB12,,"Platinum 12"" Flat Finishing Box (PT-FB12)",simple,"<p>Platinum 12"" Flat Finishing Box (PT-FB12) delivers high-efficiency joint compound application for professional drywall contractors. This tool is engineered to streamline the finishing of flat and butt joints, providing the precision required for both large-scale commercial sites and detailed residential work.</p><p>Built for daily job site performance, this second-generation finisher features a removable door plate that simplifies cleaning by eliminating complex hinge systems. The integrated crown dial allows for exact thickness adjustments, while the pivoting axle technology automatically compensates for surface irregularities to prevent skips and ensure a level, consistent finish.</p><p><strong>Features:</strong></p><ul><li><strong>Adjustable Crown Control:</strong> Fine-tune compound thickness with a simple dial for seamless transitions between fill and skim coats.</li><li><strong>Pivoting Axle Technology:</strong> Automatically adapts to uneven substrates to maintain a consistent, professional-grade finish.</li><li><strong>Simplified Maintenance:</strong> Removable door plate design allows for rapid disassembly and thorough cleaning after every use.</li><li><strong>Universal Compatibility:</strong> Engineered with wear parts that integrate with most major industry-standard finishing boxes.</li><li><strong>Rugged Construction:</strong> Durable build quality designed to withstand the rigors of professional job site environments.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-FB12 | | Tool Type | 12"" Flat Finishing Box | | Compatibility | Universal (Major Industry Brands) |</p>","The Platinum 12"" Flat Finishing Box features a second-generation design with a removable door plate, adjustable crown dial, and pivoting axle for consistent, professional-grade drywall finishing. Compatible with most major industry-standard wear parts.",205.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_1778f435.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_04accd7c.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_5b5f062a.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_db272359.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-FB12, 12 inch flat box, drywall finishing tool, joint compound applicator",1404,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 12"" Flat Finishing Box (PT-FB12) | Pivoting Axle","Professional 12"" flat finishing box for $205.00. Features adjustable crown control and pivoting axle for consistent drywall compound application."
Platinum Drywall Tools,PT-14FB,,"Platinum 14"" Flat Finishing Box (PT-14FB)",simple,"<p>Platinum 14"" Flat Finishing Box (PT-14FB) is a high-capacity automatic tool engineered for professional drywall contractors to maximize efficiency on large-scale wall and ceiling projects. This unit streamlines the application of joint compound, simultaneously covering flat seams and butt joints while feathering edges to a precise crown. By automating the mud distribution process, it significantly reduces the time required for manual tooling and subsequent sanding, delivering a consistent, professional-grade finish ready for final coating.</p><p>Constructed from high-strength aluminum, the tool is built to withstand the rigors of daily job site use while maintaining a balanced, lightweight profile to minimize operator fatigue. The precision-engineered stainless steel blade and skid plates ensure a smooth, uniform compound flow, effectively eliminating ridges and voids. Designed for maximum versatility, the unit is compatible with most major brands of flat box handles, making it a seamless addition to any professional tool arsenal.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity 14-Inch Width:</strong> Maximizes surface coverage per pass, significantly increasing daily output on both walls and ceilings.</li><li><strong>Precision Compound Control:</strong> Features an adjustable crown dial that allows for exact regulation of mud thickness, ensuring consistent results and reduced rework.</li><li><strong>Durable Construction:</strong> Engineered with high-strength aluminum and precision-ground stainless steel components to resist wear and provide long-term reliability.</li><li><strong>Universal Compatibility:</strong> Designed to integrate easily with standard and extendable flat box handles from most major industry manufacturers.</li><li><strong>Ergonomic Design:</strong> Balanced weight distribution facilitates smooth operation and reduces physical strain during extended finishing sessions.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-14FB | | Tool Type | Flat Finishing Box | | Width | 14 inches | | Category | Drywall Finishing Tools | | Price | $215.00 |</p>","The Platinum 14"" Flat Finishing Box delivers high-capacity, consistent compound application for rapid drywall seam and butt joint finishing. Featuring a durable aluminum body, adjustable crown settings, and universal handle compatibility, it is engineered to increase productivity and minimize sanding.",215.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-14fb_9633c392.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-14fb_02ea571f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-14fb_35056475.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-14FB, 14 inch flat box, drywall finishing tool, automatic drywall tools, joint compound applicator",1405,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 14"" Flat Finishing Box (PT-14FB) | Aluminum Body","Boost productivity with the Platinum 14"" Flat Finishing Box. Features adjustable crown control for $215. Ideal for efficient drywall joint compound application."
Platinum Drywall Tools,PT-2NS,,"Platinum 2"" Nail Spotter (PT-2NS)",simple,"<p>Platinum 2"" Nail Spotter (PT-2NS) is a professional-grade finishing tool engineered to automate the application of joint compound over fastener indentations. By enabling the rapid, single-pass coverage of entire rows of screw or nail heads, this tool eliminates the tedious manual labor associated with traditional spot-finishing. It is designed to deliver a uniform, paint-ready surface that significantly reduces the requirement for subsequent sanding.</p><p>Constructed from high-grade anodized aluminum, the tool provides a lightweight yet durable frame capable of withstanding the rigors of high-volume job sites. The assembly features a precision-hardened steel blade for clean, flush results and a high-performance urethane door seal that maintains consistent internal pressure while preventing compound leakage. A smooth-glide wheel system ensures steady, controlled tracking across wall and ceiling surfaces.</p><p><strong>Features:</strong></p><ul><li><strong>Operational Efficiency:</strong> Enables rapid, single-pass coating of fastener heads, drastically reducing manual labor time on large-scale installations.</li><li><strong>Robust Build:</strong> Manufactured from high-grade anodized aluminum for excellent corrosion resistance and long-term durability.</li><li><strong>Precision Finishing:</strong> Features a hardened steel blade engineered to produce a clean, flush finish on every pass.</li><li><strong>Leak-Resistant Design:</strong> Utilizes a high-performance urethane door seal to maintain consistent pressure and prevent compound waste.</li><li><strong>Fluid Movement:</strong> Equipped with a precision-glide wheel system that ensures steady, consistent tracking across drywall surfaces.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum Drywall Tools | | SKU | PT-2NS | | Tool Type | 2"" Nail Spotter | | Material | Anodized Aluminum / Hardened Steel | | Category | Drywall Finishing Tools |</p>","The Platinum 2"" Nail Spotter (PT-2NS) streamlines drywall finishing by applying a consistent, uniform coat over fastener heads in a single pass. Built with durable anodized aluminum, a precision steel blade, and a reliable urethane seal for professional-grade efficiency.",160.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_f1a9da8a.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_336a91aa.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_39c39b4c.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_8760b44f.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-2NS, nail spotter, drywall finishing tool, screw spotter, drywall compound applicator",1406,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 2"" Nail Spotter (PT-2NS) | Anodized Aluminum Body","Speed up drywall finishing with the $160 Platinum 2"" Nail Spotter. Features a precision steel blade and urethane seal for flush, paint-ready fastener spots."
Platinum Drywall Tools,PT-CF2.5,,"Platinum 2.5"" Angle Head with Wheels (PT-CF2.5)",simple,"<p>Platinum 2.5"" Angle Head with Wheels (PT-CF2.5) streamlines the drywall finishing process by simultaneously applying and feathering joint compound on both sides of internal 90-degree corners. This tool eliminates the need for repetitive manual passes, providing a sharp, uniform edge that requires minimal sanding before final surface preparation.</p><p>Constructed from high-grade cast aluminum, this unit is engineered to withstand the rigors of daily job site use while maintaining structural integrity. The integrated wheel system ensures fluid, consistent movement across the wall, significantly reducing drag and operator fatigue during high-volume finishing tasks.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Finishing:</strong> Coats and feathers both sides of an inside corner in one pass for a clean, professional edge.</li><li><strong>Durable Construction:</strong> Cast aluminum body provides long-term reliability and resistance to job site wear.</li><li><strong>Fluid Operation:</strong> Integrated wheels minimize surface drag and improve control for consistent results.</li><li><strong>System Compatibility:</strong> Designed to integrate with standard corner rollers, corner boxes, and angle head handles.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-CF2.5 | | Tool Type | Angle Head / Corner Finisher | | Size | 2.5 inches | | Material | Cast Aluminum |</p>","Platinum 2.5"" Angle Head with Wheels provides a consistent, feathered finish on 90-degree inside corners. Features a durable cast aluminum body and integrated wheels for smooth, low-drag operation.",239.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_a6afa209.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_4a2a9ed9.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_85f37046.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_b4cc6143.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_cde1dc90.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-CF2.5, Angle Head, Corner Finisher, Drywall Finishing, Inside Corner Tool",1407,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 2.5"" Angle Head (PT-CF2.5) | Cast Aluminum Body","Finish 90-degree corners efficiently with the Platinum 2.5"" Angle Head. Durable cast aluminum build for $239. Compatible with standard corner boxes."
Platinum Drywall Tools,PT-CT24,,"Platinum 24"" Compound Tube (PT-CT24)",simple,"<p>Platinum 24"" Compound Tube (PT-CT24) streamlines joint compound application by providing a semi-automatic, high-capacity delivery system for drywall seams and corners. This tool functions as a precision syringe, enabling rapid loading directly from compound buckets to eliminate manual pan-and-knife labor while ensuring uniform material distribution.</p><p>The 24-inch length offers a balance of capacity and maneuverability, making it ideal for tight architectural spaces and detailed finishing work where larger equipment is impractical. Its robust build quality stands up to the rigors of daily job site use, providing consistent performance across various finishing tasks when paired with compatible applicator heads.</p><p><strong>Features:</strong></p><ul><li><strong>Compact Maneuverability:</strong> The 24-inch frame provides superior control in confined areas and intricate corners.</li><li><strong>Rapid Loading:</strong> Syringe-style suction system allows for quick, clean refills directly from the compound container.</li><li><strong>Modular Compatibility:</strong> Accepts a wide range of applicator heads to handle both flat joints and corner finishing.</li><li><strong>Durable Build:</strong> Constructed from high-grade materials to ensure long-term reliability under heavy-duty conditions.</li><li><strong>Increased Efficiency:</strong> Delivers a consistent ribbon of compound to reduce physical strain and accelerate project timelines.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-CT24 | | Tool Type | Compound Tube | | Length | 24 inches | | Category | Drywall Finishing Tools |</p>","The Platinum 24"" Compound Tube is a compact, semi-automatic tool for rapid, precise application of joint compound to corners and flat seams. Compatible with various applicator heads to increase job site efficiency.",150.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-ct24_3025470f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-ct24_7d1c3c4f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-ct24_9b2f5f17.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-CT24, compound tube, drywall finishing, joint compound applicator, drywall tools",1408,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 24"" Compound Tube (PT-CT24) | High-Capacity Syringe","$150. This 24"" compound tube offers rapid, mess-free joint compound loading and precise application for tight drywall corners and flat seams."
Platinum Drywall Tools,PT-3CF,,"Platinum 3"" Angle Head Corner Finisher with Wheels (PT-3CF)",simple,"<p>Platinum 3"" Angle Head Corner Finisher with Wheels (PT-3CF) is a precision-engineered tool designed to streamline drywall finishing by simultaneously glazing and feathering both sides of an inside 90-degree corner. This unit is built for professionals who require consistent, high-quality results while reducing the time spent on manual touch-ups and sanding. The integrated wheel system ensures smooth, friction-reduced tracking along the corner, allowing for a uniform application of joint compound in a single pass.</p><p>Constructed from a robust combination of high-grade stainless steel and lightweight aluminum, this corner finisher is built to withstand the rigors of daily job site use. The 3-inch width is ideal for both initial glazing and final finish coats, providing versatility across different stages of the drywall installation process. It is engineered for universal compatibility, allowing it to integrate seamlessly with standard drywall finishing handles and equipment.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Precision:</strong> Finishes both sides of an inside corner simultaneously, significantly increasing productivity.</li><li><strong>Professional-Grade Finish:</strong> Produces a smooth, feathered edge that minimizes sanding and prepares surfaces for paint.</li><li><strong>Durable Construction:</strong> Built with a premium blend of stainless steel and aluminum for long-term reliability.</li><li><strong>Smooth Tracking:</strong> Integrated wheel system ensures consistent, effortless movement and reduces friction.</li><li><strong>Universal Compatibility:</strong> Designed to work with all major drywall finishing handles and equipment.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum Drywall Tools | | SKU | PT-3CF | | Tool Type | Angle Head Corner Finisher | | Size | 3 inches | | Material | Stainless Steel and Aluminum | | Application | Glazing and Finish Coats | | Price | $249.00 |</p>","The Platinum 3"" Angle Head Corner Finisher with Wheels delivers a professional, feathered finish on inside 90-degree corners in one pass. Constructed from durable stainless steel and aluminum, this tool ensures consistent, efficient performance for drywall professionals.",249.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_de71f33d.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_5a5a2665.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_7c82f5b6.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_a810e30a.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-3CF, 3 inch corner finisher, angle head, drywall finishing tool, inside corner tool",1409,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3"" Corner Finisher (PT-3CF) | Stainless Steel Body","Finish inside 90-degree corners efficiently with the Platinum 3"" Corner Finisher (PT-3CF). Durable stainless steel/aluminum build. Professional tool for $249."
Platinum Drywall Tools,PT-3NS,,"Platinum 3"" Nail Spotter (PT-3NS)",simple,"<p>Platinum 3"" Nail Spotter (PT-3NS) is a precision-engineered tool designed to streamline the finishing of fastener indentations on drywall surfaces. By automating the application of joint compound over screw and nail heads, this unit allows for a continuous, uniform finish in a single pass, significantly reducing manual labor and sanding requirements.</p><p>Constructed for the rigors of professional job sites, the tool features a lightweight yet durable anodized aluminum body. It is equipped with a high-performance carbide steel blade for consistent material distribution and a reliable urethane seal that maintains optimal pressure while preventing compound leakage. The integrated glide wheels ensure smooth movement across wall surfaces, while the universal threaded mount allows for rapid attachment to standard corner roller handles.</p><p><strong>Features:</strong></p><ul><li><strong>Durable Build:</strong> Anodized aluminum body provides structural integrity and long-term wear resistance.</li><li><strong>Precision Application:</strong> Carbide steel blade ensures a clean, consistent finish across fastener rows.</li><li><strong>Leak-Resistant Design:</strong> Premium urethane seal maintains pressure and minimizes compound waste.</li><li><strong>Smooth Mobility:</strong> High-performance glide wheels allow for effortless, steady movement.</li><li><strong>Universal Compatibility:</strong> Threaded mount integrates seamlessly with standard corner roller handles.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-3NS | | Tool Type | 3"" Nail Spotter | | Body Material | Anodized Aluminum | | Blade Material | Carbide Steel | | Seal Material | Urethane | | Compatibility | Standard Corner Roller Handles |</p>","The Platinum 3"" Nail Spotter (PT-3NS) automates the filling of drywall fastener indentations, delivering a uniform finish in a single pass. Featuring a durable anodized aluminum body, a precision carbide steel blade, and a leak-resistant urethane seal, this tool is compatible with standard corner roller handles for maximum job site efficiency.",160.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_f1a9da8a.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-3NS, nail spotter, drywall finishing tool, screw hole filler, drywall compound applicator",1410,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3"" Nail Spotter (PT-3NS) | Anodized Aluminum Body","Finish drywall fastener holes faster with the Platinum 3"" Nail Spotter (PT-3NS). Durable anodized aluminum build for $160. Fits standard roller handles."
Platinum Drywall Tools,PT-3.5CF,,Platinum 3.5 Corner Flusher (PT-3.5CF),simple,"<p>Platinum 3.5 Corner Flusher (PT-3.5CF) is a professional-grade finishing tool engineered to produce clean, consistent internal 90-degree drywall corners. By automating the feathering process, this tool allows contractors to achieve a uniform finish on both sides of a corner in a single pass, significantly reducing the labor required for manual sanding and touch-up work. Its design is optimized for high-volume residential and commercial projects where speed and precision are critical to maintaining project timelines.</p><p>Constructed from high-quality surgical stainless steel, this flusher is built to withstand the abrasive nature of joint compound and the daily wear of active job sites. The precision-machined geometry ensures optimal compound distribution, while the integrated retention clip provides a secure connection to standard finishing handles. This tool is compatible with major industry-standard angle head and flusher handles, allowing for seamless integration into existing tool kits.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Feathering:</strong> Delivers a smooth, uniform finish on internal corners, minimizing the need for secondary sanding.</li><li><strong>Durable Construction:</strong> Fabricated from surgical-grade stainless steel to resist corrosion and maintain shape integrity under heavy use.</li><li><strong>Universal Compatibility:</strong> Designed to fit securely with all major brands of drywall finishing handles and angle head adapters.</li><li><strong>Efficiency-Driven Design:</strong> Enables rapid application and smoothing of joint compound, drastically cutting down on manual finishing time.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-3.5CF | | Product Type | Corner Flusher | | Size | 3.5 inches | | Material | Surgical Stainless Steel | | Category | Drywall Finishing Tools |</p>","Platinum 3.5"" Corner Flusher constructed from durable surgical stainless steel. Designed for consistent, single-pass feathering of internal drywall corners and compatible with all major industry-standard handles.",80.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3.5cf_d0f6ed93.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3.5cf_3f8eb361.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, 3.5 inch corner flusher, drywall finishing tool, PT-3.5CF, inside corner finisher",1436,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3.5"" Corner Flusher (PT-3.5CF) | Stainless Steel Body","Professional 3.5"" corner flusher for $80.00. Features surgical stainless steel construction for consistent, single-pass drywall compound feathering."
Platinum Drywall Tools,PT-CF3.5,,"Platinum 3.5"" Angle Head Corner Finisher with Wheels (PT-CF3.5)",simple,"<p>Platinum 3.5"" Angle Head Corner Finisher is engineered for high-efficiency drywall finishing, allowing contractors to apply and feather joint compound on both sides of an inside 90-degree corner in a single pass. This tool eliminates the need for manual touch-ups, delivering a consistent, paint-ready surface that significantly improves job site productivity.</p><p>Constructed from durable cast aluminum, this finisher is built to withstand the rigors of daily professional use. The integrated wheel system ensures smooth, controlled movement along the wall, reducing operator fatigue and maintaining a uniform finish throughout the application process.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Application:</strong> Simultaneously finishes both sides of an inside corner to maximize efficiency.</li><li><strong>Integrated Wheel System:</strong> Provides smooth, steady tracking along the corner for a streak-free result.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade cast aluminum for long-term reliability.</li><li><strong>Versatile Compatibility:</strong> Designed to integrate with standard corner rollers and corner boxes.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-CF3.5 | | Tool Type | Angle Head Corner Finisher | | Size | 3.5 inches | | Material | Cast Aluminum | | Category | Drywall Finishing Tools |</p>","Platinum 3.5"" Angle Head Corner Finisher with integrated wheels for efficient, dual-sided inside corner finishing. Compatible with standard rollers and boxes.",259.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_4018902b.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_15dc01ea.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_6738bd11.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_8cc7300e.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_ea717a36.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-CF3.5, corner finisher, angle head, drywall finishing, joint compound tool",1411,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3.5"" Corner Finisher (PT-CF3.5) | Cast Aluminum Body","Finish inside corners faster with the Platinum 3.5"" Corner Finisher. Durable cast aluminum design for $259. Ideal for consistent, professional results."
