Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
TapeTech,JK06SSTT,JK06SSTT,"TapeTech 6"" Premium Stainless Steel Joint Knife (JK06SSTT)",simple,"<p>TapeTech 6"" Premium Stainless Steel Joint Knife is engineered for professionals who demand consistent control and durability when applying and smoothing joint compound. This tool features a precision-ground stainless steel blade that resists corrosion and ensures a clean, reliable finish on every pass.</p><p>The knife is built with the industry's strongest backing plate to prevent blade deflection, allowing for uniform pressure and a smooth application. The ergonomic, oversized, and tapered soft-grip handle provides a secure, comfortable hold, while the integrated alloy hammer end serves as a versatile tool for setting protruding fasteners or correcting minor installation flaws.</p><p><strong>Features:</strong></p><ul><li><strong>Corrosion-Resistant Blade:</strong> Premium stainless steel construction ensures long-term durability and fast, easy cleanup.</li><li><strong>Anti-Deflection Design:</strong> Features a robust backing plate that maintains blade rigidity for consistent, professional results.</li><li><strong>Ergonomic Handle:</strong> Oversized, tapered soft-grip design reduces hand fatigue and improves control during extended use.</li><li><strong>Integrated Hammer End:</strong> Durable alloy metal end allows for setting fasteners and adjusting installation imperfections.</li><li><strong>Precision Ground:</strong> Blade is polished and ground to provide the ideal balance of flexibility and stiffness.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | TapeTech | | SKU | JK06SSTT | | Blade Material | Stainless Steel | | Blade Width | 6 inches | | Handle Type | Soft-Grip, Tapered |</p>","TapeTech 6"" Premium Stainless Steel Joint Knife features a corrosion-resistant blade, an ergonomic soft-grip handle, and an integrated alloy hammer end for professional-grade control and durability.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/jk06sstt.webp,Drywall Finishing Tools > TapeTech,"TapeTech, 6 inch joint knife, stainless steel drywall knife, drywall finishing tool, JK06SSTT",3369,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,"TapeTech 6"" Stainless Steel Joint Knife (JK06SSTT) | Rust-Resist","Professional 6"" TapeTech joint knife with a corrosion-resistant stainless steel blade, ergonomic soft-grip handle, and integrated alloy hammer end."
TapeTech,058126F,058126F,TapeTech Automatic Taper Stainless Steel Drive Chain (058126F),simple,"<p>TapeTech Automatic Taper Stainless Steel Drive Chain (058126F) is a critical replacement component designed to maintain the precise operation of your automatic drywall taper. This genuine stainless steel drive chain connects the large cable drum sprocket to the drive wheel sprocket, ensuring smooth, consistent power transfer during tape application. A worn or loose chain can lead to binding, slippage, or inconsistent mud flow, making this replacement essential for restoring factory-level performance and reliability to your taping tools.</p><p><strong>Features:</strong></p><ul><li><strong>Durable Construction:</strong> Manufactured from high-quality stainless steel to resist corrosion and provide long-lasting service life under demanding jobsite conditions.</li><li><strong>Precision Fit:</strong> Engineered to exact OEM specifications for seamless integration with TapeTech automatic tapers and various compatible industry-standard models.</li><li><strong>Performance Restoration:</strong> Eliminates binding and slack, ensuring smooth transitions between manual tape advancement and rolling application.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Part Number | 058126F | | Material | Stainless Steel | | Compatibility | TapeTech 07TTC, 03TT, 07TT; NorthStar, Drywall Master, Columbia, BlueLine B2, Concorde, TapeMaster | | Includes | 1 x Stainless Steel Drive Chain |</p>","Maintain optimal performance in your automatic drywall taper with this genuine TapeTech stainless steel drive chain. Designed to prevent binding and ensure consistent mud flow, this durable replacement part is compatible with multiple industry-standard taping tools.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/058126f.webp,Drywall Finishing Tools > TapeTech,"TapeTech 058126F, automatic taper drive chain, drywall taping tool parts, stainless steel drive chain, TapeTech replacement parts",3370,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,TapeTech Auto Taper Drive Chain (058126F) | Stainless Steel,"Restore performance to your automatic drywall taper with this genuine TapeTech stainless steel drive chain (058126F). Ensures smooth, reliable tape delivery."
TapeTech,TK10BSTT,TK10BSTT,"TapeTech 10"" Premium Blue Steel Taping Knife (TK10BSTT)",simple,"<p>TapeTech 10"" Premium Blue Steel Taping Knife is engineered for professionals who demand consistent flex and precision when applying and feathering joint compound. The high-quality blue steel blade provides the ideal balance of flexibility and strength, allowing for smooth, clean finishes on drywall seams and fasteners.</p><p>Built to withstand rigorous jobsite conditions, this tool features the industry's most robust backing plate to prevent blade deflection during heavy use. The ergonomic, oversized soft-grip handle ensures comfort and control, while the integrated alloy hammer end allows for quick fastener setting and minor surface adjustments.</p><p><strong>Features:</strong></p><ul><li><strong>Premium Blue Steel Blade:</strong> Offers superior flexibility and improved corrosion resistance compared to standard carbon steel.</li><li><strong>Rigid Backing Plate:</strong> Eliminates unwanted blade deflection for consistent, professional-grade results.</li><li><strong>Ergonomic Handle:</strong> Features an oversized, tapered, soft-grip design to reduce hand fatigue during extended use.</li><li><strong>Alloy Hammer End:</strong> Provides a durable striking surface for setting protruding fasteners and adjusting installation imperfections.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Blade Material | Blue Steel | | Blade Width | 10 inches | | Handle Type | Soft-Grip, Tapered | | Hammer End | Alloy Metal | | SKU | TK10BSTT |</p>","TapeTech 10"" Premium Blue Steel Taping Knife delivers professional-grade flexibility and control for smooth joint compound application, featuring a durable, corrosion-resistant blade and an ergonomic soft-grip handle.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/tk10bstt.webp,Drywall Finishing Tools > TapeTech,"TapeTech, 10 inch taping knife, blue steel drywall knife, drywall finishing tool, joint compound knife, TK10BSTT",3371,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,"TapeTech 10"" Blue Steel Taping Knife (TK10BSTT) | Pro Flex","Achieve smooth drywall finishes with the TapeTech 10"" Blue Steel Taping Knife. Features a flexible, corrosion-resistant blade and ergonomic soft-grip handle."
TapeTech,42TT,42TT,2 1/2 in TapeTech 42TT Corner Finisher (42TT),simple,"<p>TapeTech 42TT Corner Finisher provides a professional solution for feathering both edges of internal drywall corners in a single pass. Engineered for efficiency, this tool effectively embeds tape and smooths joint compound on both wall-to-wall and wall-to-ceiling 90-degree angles. Its spring-loaded design automatically adjusts to minor surface irregularities, ensuring a consistent finish across various drywall applications.</p><p>Designed for integration with standard automatic taping systems, this unit attaches securely to corner applicators, angle boxes, or the MudRunner. The durable stainless steel construction withstands the rigors of daily job site use, while the integrated positive ball retainer prevents accidental detachment during operation.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Feathering:</strong> Simultaneously finishes both sides of internal corners for uniform results.</li><li><strong>Spring-Loaded Mechanism:</strong> Compensates for slight wall imperfections to maintain consistent pressure.</li><li><strong>Durable Construction:</strong> Built with stainless steel frames for long-term reliability in professional environments.</li><li><strong>Secure Attachment:</strong> Features a patented positive ball retainer to ensure the tool remains locked to the applicator.</li><li><strong>Versatile Application:</strong> Suitable for both wall-to-wall and wall-to-ceiling 90-degree internal corners.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Model Number | 42TT | | Tool Type | Corner Finisher / Angle Head | | Size | 2 1/2 in | | Material | Stainless Steel | | Compatibility | CA07TT, CA08TT, 14TT MudRunner, FHTT Handle, XHTT Handle |</p>","The TapeTech 42TT 2 1/2 in Corner Finisher delivers professional, single-pass feathering for internal 90-degree drywall corners. Featuring a spring-loaded, stainless steel design, it ensures consistent compound application and tape embedding on walls and ceilings.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/42tt.webp,Drywall Finishing Tools > TapeTech,"TapeTech 42TT, Corner Finisher, Angle Head, Drywall Finishing Tool, Internal Corner Tool",3372,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,"TapeTech 2.5"" Corner Finisher (42TT) | Stainless Steel Body","Finish 90-degree drywall corners in one pass with the TapeTech 42TT 2.5"" Corner Finisher. Features a durable stainless steel frame for professional results."
TapeTech,502A,502A,TapeTech #2 Taper Repair Kit (502A),simple,"<p>TapeTech #2 Taper Repair Kit (502A) provides the essential components required for the routine maintenance and field repair of TapeTech 04TT and 05TT automatic drywall tapers. This comprehensive kit addresses common wear points, ensuring your equipment maintains consistent performance and prevents joint compound leakage during operation.</p><p><strong>Features:</strong></p><ul><li><strong>Comprehensive Maintenance:</strong> Includes critical bushings, bearings, and springs necessary for a complete taper head tune-up.</li><li><strong>OEM Quality:</strong> Contains genuine replacement parts designed specifically for TapeTech 04TT and 05TT models to ensure precise fit and function.</li><li><strong>Performance Restoration:</strong> Effectively resolves common mechanical issues, restoring smooth operation and reliability to your automatic taping tools.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | TapeTech | | SKU | 502A | | Compatibility | TapeTech 04TT, 05TT Tapers | | Includes | 1x Head Bushing (050086F), 2x Taper Wheels (050093F), 1x Head Bushing (050099F), 1x Spring Drive Dog (050115F), 1x Roller Axle Spring (059010), 2x Bearing Nyliner (059078), 1x Drum Washer (059082), 2x Nyliner Bearing (059148), 1x Tenite Bearing (059149) |</p>","Essential maintenance and repair kit for TapeTech 04TT and 05TT automatic drywall tapers, featuring all necessary bushings, bearings, and springs for a complete head tune-up.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/502a.webp,Drywall Finishing Tools > TapeTech,"TapeTech 502A, taper repair kit, drywall taper parts, 04TT repair, 05TT repair, automatic taper maintenance",3373,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,TapeTech #2 Taper Repair Kit (502A) | OEM Maintenance Parts,"Maintain your TapeTech 04TT or 05TT automatic taper with the 502A repair kit. Includes essential bushings, bearings, and springs for reliable performance."
TapeTech,CFATT,CFATT,TapeTech Corner Finisher Adapter (CFATT),simple,"<p>TapeTech Corner Finisher Adapter (CFATT) serves as the essential link between your support handle and finishing tools, enabling a smooth ball-and-socket connection. This adapter is engineered to thread directly into TapeTech FHTT and XHTT handles, providing a secure, pivoting base that allows for precise articulation when applying joint compound to drywall corners.</p><p>By integrating this adapter, you gain the flexibility to quickly mount and swap various socket-style corner finishers or flushers. It is designed to maintain a stable, consistent connection, ensuring professional-grade performance during the finishing process.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Designed specifically for use with TapeTech FHTT and XHTT support handles.</li><li><strong>Ball-and-Socket Design:</strong> Facilitates fluid, controlled movement for accurate corner finishing.</li><li><strong>Quick-Change Capability:</strong> Allows for rapid tool changes, increasing efficiency on the job site.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Model Number | CFATT | | Brand | TapeTech | | Compatibility | FHTT and XHTT Support Handles | | Connection Type | Ball-and-Socket | | Application | Drywall Corner Finishing |</p>","The TapeTech Corner Finisher Adapter (CFATT) provides a secure ball-and-socket connection between FHTT/XHTT handles and corner finishing tools for precise, fluid drywall application.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/cfatt.webp,Drywall Finishing Tools > TapeTech,"TapeTech CFATT, Corner Finisher Adapter, Drywall Finishing Tools, FHTT Handle Adapter, XHTT Handle Adapter, Drywall Corner Tool",3374,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,TapeTech Corner Finisher Adapter (CFATT) | Ball-Socket Joint,"Connect your corner finisher to FHTT or XHTT handles with the TapeTech CFATT adapter. Ensures smooth, pivoting action for professional drywall finishing."
TapeTech,14TT,14TT,TapeTech MudRunner (14TT),simple,"<p>TapeTech MudRunner (14TT) streamlines drywall corner finishing by providing a high-capacity, consistent flow of joint compound with minimal physical strain. This tool utilizes a gas-charged shock absorber to maintain steady pressure, allowing users to control the output with a simple twist of the handle. Designed to replace traditional corner boxes, it significantly reduces the frequency of refills and minimizes shoulder fatigue during extended use. The unit is compatible with a wide range of finishing attachments, including corner finishers, mud heads, and angle heads, making it a versatile solution for both internal and external corner applications.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Flow Control:</strong> Twist-grip handle activates the gas-charged piston for immediate, consistent compound delivery and instant shut-off.</li><li><strong>High Capacity:</strong> Holds 50% more compound than an 8-inch corner applicator and 70% more than a 7-inch model, increasing overall job site efficiency.</li><li><strong>Versatile Compatibility:</strong> Works seamlessly with TapeTech corner finishers, mud heads, angle heads, flushers, and glazers for diverse finishing tasks.</li><li><strong>Ergonomic Design:</strong> Engineered to reduce repetitive strain on shoulders and arms compared to manual syringe-style applicators.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Model Number | 14TT | | Brand | TapeTech | | Mechanism | Gas-charged shock absorber | | Compatibility | Corner Finishers, Mud Heads, Angle Heads, Flushers, Glazers | | Dimensions | 65"" x 6.5"" x 6.5"" | | Weight | 8.75 lbs |</p>","TapeTech MudRunner (14TT) is a high-capacity corner applicator that uses a gas-charged piston for consistent, effortless joint compound delivery.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/14tt.webp,Drywall Finishing Tools > TapeTech,"TapeTech MudRunner, 14TT, drywall corner tool, joint compound applicator, drywall finishing tools",3375,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,TapeTech MudRunner (14TT) | Gas-Charged Compound Applicator,"TapeTech MudRunner (14TT) applies joint compound to drywall corners with a gas-charged piston. Holds 70% more than 7"" applicators for faster finishing."
TapeTech,501A,501A,TapeTech Taper Repair Kit (501A),simple,"<p>TapeTech Taper Repair Kit (501A) provides the essential components required to perform routine maintenance and field repairs on TapeTech 04TT and 05TT automatic tapers. This comprehensive set ensures your equipment remains in peak operating condition, minimizing downtime on the job site by replacing common wear parts that impact tape advancement and braking performance.</p><p><strong>Features:</strong></p><ul><li><strong>Comprehensive Maintenance:</strong> Includes critical wear parts such as pyramid blades, needle goosers, and springs to restore factory-level functionality.</li><li><strong>Precision Engineered:</strong> Every component is manufactured to exact TapeTech specifications, ensuring seamless compatibility and reliable performance.</li><li><strong>Field-Ready:</strong> Designed for quick, efficient replacement of high-friction parts, allowing for immediate return to service.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Compatible Models | TapeTech 04TT, 05TT | | SKU | 501A | | Includes | 1 Spring creaser retainer, 1 Spring drive dog, 10 Pyramid blades, 1 Cable, 2 Roller axle springs, 3 Needle goosers, 1 Vial (1/2"" x 2""), 1 Vial cap (1/2"" red), 1 Lock roller assembly (brake) |</p>",Keep your TapeTech 04TT or 05TT automatic taper running efficiently with this essential maintenance and repair kit containing all critical wear parts.,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/501a.webp,Drywall Finishing Tools > TapeTech,"TapeTech 501A, taper repair kit, drywall taper parts, 04TT maintenance, 05TT repair, automatic taper blades",3376,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,TapeTech Taper Repair Kit (501A) | Essential Wear Parts Set,"Maintain your TapeTech 04TT or 05TT automatic taper with this 501A repair kit. Includes pyramid blades, springs, and brake components for peak performance."
TapeTech,8034TT,8034TT,34 in TapeTech Finishing Box Handle (8034TT),simple,"<p>34 in TapeTech Finishing Box Handle (8034TT) provides the necessary leverage and control for professional drywall finishing in confined spaces. Engineered for reliability, this handle features a traditional brake pin and plate design that ensures a clean, consistent sweep of finishing boxes off joints for a smooth, professional result.</p><p>Designed specifically for wall work and low-ceiling applications like basements, this handle is constructed from durable anodized aluminum tubing with robust cast aluminum ends. It offers broad compatibility, integrating seamlessly with major finishing box brands including TapeTech, Columbia, Drywall Master, and others.</p><p><strong>Features:</strong></p><ul><li><strong>Durable Construction:</strong> Built with anodized aluminum tubing and cast aluminum ends for long-term field performance.</li><li><strong>Precision Control:</strong> Utilizes a traditional brake pin and plate mechanism for reliable, controlled box movement.</li><li><strong>Versatile Compatibility:</strong> Fits TapeTech EasyClean, MAXXBOX, and Power Assist boxes, as well as most major industry-standard flat boxes.</li><li><strong>Ergonomic Design:</strong> Includes an adjustable grip to accommodate different user preferences and improve handling leverage.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Length | 34 inches | | Diameter | 0.75 inches | | Material | Anodized Aluminum, Cast Aluminum | | Compatibility | TapeTech, Columbia, Drywall Master, BlueLine, NorthStar, Premier | | SKU | 8034TT |</p>","The 34-inch TapeTech Finishing Box Handle offers superior control for wall and low-ceiling drywall finishing. Featuring a rugged anodized aluminum design and adjustable grip, it is compatible with most major flat box brands.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/8034tt.webp,Drywall Finishing Tools > TapeTech,"TapeTech 8034TT, drywall finishing handle, flat box handle, drywall tools, 34 inch box handle",3377,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,"TapeTech 34"" Box Handle (8034TT) | Anodized Aluminum Body","Professional 34"" TapeTech finishing box handle for drywall joints. Features durable anodized aluminum and adjustable grip. Compatible with major box brands."
TapeTech,EZ07TT,EZ07TT,"7"" EasyClean Finishing Box (EZ07TT)",simple,"<p>TapeTech 7"" EasyClean Finishing Box (EZ07TT) streamlines drywall finishing by automatically dispensing precise amounts of joint compound while simultaneously feathering edges on both flat and butt joints. This professional-grade tool features an adjustable crown dial, allowing for seamless transitions between initial embedding coats and final finishing passes. The integrated pivoting axle compensates for uneven surfaces, ensuring consistent results across varying drywall installations.</p><p>Equipped with the advanced EasyRoll wheel system, this finishing box enables rapid, high-quality finishing of outside corner beads, including metal, paper-faced, vinyl, and bullnose profiles. The wheels feature a wide, integrated shoulder that guides the box along the bead without requiring additional attachments or risking damage to the axle. Engineered for perfect alignment with the finishing blade, the system eliminates the need to tilt the box during operation, maintaining efficiency on both corners and standard flat joints.</p><p><strong>Features:</strong></p><ul><li><strong>EasyRoll Wheel System:</strong> Provides a stable, guided path for finishing outside corner beads up to twice as fast as manual methods.</li><li><strong>Adjustable Crown Control:</strong> Allows for precise regulation of compound application depth for consistent results across multiple coats.</li><li><strong>Pivoting Axle:</strong> Automatically adjusts to compensate for uneven drywall or sheetrock surfaces.</li><li><strong>Durable Construction:</strong> Built with an anodized aluminum body, solid brass blade holder, and a hardened steel blade for long-term reliability.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Model Number | EZ07TT | | Box Width | 7 inches | | Material | Anodized Aluminum, Brass, Hardened Steel | | Compatibility | Standard Flat Box Handles | | Includes | 7"" EasyClean Finishing Box, Extra 7"" Stainless Steel Blade (200001) |</p>","The TapeTech 7"" EasyClean Finishing Box automates compound application and edge feathering for flat joints, butt joints, and outside corners. Featuring the EasyRoll wheel system and a pivoting axle, it delivers consistent, professional results with increased speed and precision.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/TapeTech/Products/ez07tt.webp,Drywall Finishing Tools > TapeTech,"TapeTech EZ07TT, 7 inch finishing box, drywall flat box, EasyClean finishing box, EasyRoll wheels, drywall finishing tools",3378,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,TapeTech,1,1,"TapeTech 7"" EasyClean Finishing Box (EZ07TT) | EasyRoll Wheels","Finish drywall joints and outside corners faster with the TapeTech 7"" EasyClean Box. Features EasyRoll wheels for precise, consistent compound application."
