platinum_schematic_id,platinum_tool_name,platinum_hotspot_label,platinum_visual_component,level5_candidate_group,level5_candidate_tool_sku,level5_candidate_schematic_name,level5_candidate_label,level5_candidate_part_number,level5_candidate_part_name,match_status,confidence,reason,requires_manual_review,safe_to_apply
platinum-flat-finishing-box-sch,Platinum Flat Finishing Box,,No Platinum hotspots/parts in current schematic_data.json,Flat Boxes,4-764 / 4-765 / 4-766 / 4-770,"Standard Flat Boxes, 2nd Gen",,,,candidate_family_only,medium,"Same broad flat-box architecture class, but current Platinum JSON has zero parts and no hotspot labels to bind. Size-dependent names/part numbers cannot be assigned without visible Platinum labels and model size.",true,false
platinum-drywall-pump-w-filler-sch,Platinum Drywall Pump w/Filler,,No Platinum hotspots/parts in current schematic_data.json,Compound Pump & Accessories,4-771,"Compound Pump, 2nd Gen",,,,candidate_family_only,medium,"Same broad compound-pump architecture class, but current Platinum JSON has zero parts and no hotspot labels to bind.",true,false
platinum-50-corner-roller-handle-sch,"Platinum 50"" Corner Roller Handle",1,unverified handle component,Tool Handles,4-880,"Extendable Handle Only, 31in - 50in",,,,manual_visual_required,low,"Tool class is similar, but label-level component assignment requires side-by-side inspection of the Platinum exploded diagram against the Level5 4-880 parts diagram. Do not infer by label number.",true,false
platinum-50-corner-roller-handle-sch,"Platinum 50"" Corner Roller Handle",2,unverified handle component,Tool Handles,4-880,"Extendable Handle Only, 31in - 50in",,,,manual_visual_required,low,"Tool class is similar, but label-level component assignment requires side-by-side inspection of the Platinum exploded diagram against the Level5 4-880 parts diagram. Do not infer by label number.",true,false
platinum-50-corner-roller-handle-sch,"Platinum 50"" Corner Roller Handle",3,unverified handle component,Tool Handles,4-880,"Extendable Handle Only, 31in - 50in",,,,manual_visual_required,low,"Tool class is similar, but label-level component assignment requires side-by-side inspection of the Platinum exploded diagram against the Level5 4-880 parts diagram. Do not infer by label number.",true,false
platinum-50-corner-roller-handle-sch,"Platinum 50"" Corner Roller Handle",4,unverified handle component,Tool Handles,4-880,"Extendable Handle Only, 31in - 50in",,,,manual_visual_required,low,"Tool class is similar, but label-level component assignment requires side-by-side inspection of the Platinum exploded diagram against the Level5 4-880 parts diagram. Do not infer by label number.",true,false
platinum-outside-90-degree-corner-roller-sch,Platinum Outside 90 Degree Corner Roller,1,unverified outside-corner-roller component,Corner Roller,4-707,"Corner Roller, 2nd Gen",,,,blocked_pending_exact_level5_outside_roller_source,low,Platinum product imagery shows an outside 90-degree roller with four white nylon rollers. Level5 4-707 is an inside-corner roller with a rectangular red body and stainless wheel assembly. Same category naming is not enough for part-level equivalence.,true,false
platinum-outside-90-degree-corner-roller-sch,Platinum Outside 90 Degree Corner Roller,3,unverified outside-corner-roller component,Corner Roller,4-707,"Corner Roller, 2nd Gen",,,,blocked_pending_exact_level5_outside_roller_source,low,Platinum product imagery shows an outside 90-degree roller with four white nylon rollers. Level5 4-707 is an inside-corner roller with a rectangular red body and stainless wheel assembly. Same category naming is not enough for part-level equivalence.,true,false
platinum-outside-90-degree-corner-roller-sch,Platinum Outside 90 Degree Corner Roller,4,unverified outside-corner-roller component,Corner Roller,4-707,"Corner Roller, 2nd Gen",,,,blocked_pending_exact_level5_outside_roller_source,low,Platinum product imagery shows an outside 90-degree roller with four white nylon rollers. Level5 4-707 is an inside-corner roller with a rectangular red body and stainless wheel assembly. Same category naming is not enough for part-level equivalence.,true,false
platinum-outside-90-degree-corner-roller-sch,Platinum Outside 90 Degree Corner Roller,5,unverified outside-corner-roller component,Corner Roller,4-707,"Corner Roller, 2nd Gen",,,,blocked_pending_exact_level5_outside_roller_source,low,Platinum product imagery shows an outside 90-degree roller with four white nylon rollers. Level5 4-707 is an inside-corner roller with a rectangular red body and stainless wheel assembly. Same category naming is not enough for part-level equivalence.,true,false
