brand,name,description_full,sku,upc,description_short
Columbia Taping Tools,"Columbia 14"" Tomahawk Smoothing Blade","## Elevate Your Finish with the Columbia 14"" Tomahawk

The Columbia 14"" Tomahawk Smoothing Blade redefines expectations for drywall finishing tools. Designed for professionals who demand reliability on the job site, this blade eliminates the common failure points found in standard equipment. By removing fragile plastic components, Columbia has engineered a tool that withstands the rigors of daily use, ensuring consistent, high-quality results across every project.

## Engineered for Uncompromising Durability

Experience the difference of a tool built without compromise. The Tomahawk series integrates seamlessly with standard Flat Box handles, bypassing the need for unreliable plastic adapters that often buckle under the weight of larger blades. This direct connection not only enhances the structural integrity of the tool but also provides superior stability and precise control over the angle of attack, allowing for smoother, more efficient finishing even while in motion.

## Key Features

- **All-Metal Construction:** Eliminates plastic parts that are prone to snapping or cracking under heavy pressure.
- **Flat Box Handle Integration:** Connects directly to your existing Flat Box handles, removing the need for weak plastic adapters.
- **Enhanced Stability:** Engineered for a rigid, reliable feel that maintains consistent pressure across the entire blade length.
- **Dynamic Angle Adjustment:** Allows for real-time, fluid adjustments to the angle of attack, ensuring a perfect finish on every pass.
- **Professional-Grade Durability:** Built to withstand the demanding environment of high-volume drywall finishing.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | Columbia 14"" Tomahawk Smoothing Blade |
| SKU | TSB-14 |
| UPC | 824149009966 |
| Blade Size | 14"" |",TSB-14,824149009966,"The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade."
Columbia Taping Tools,"Columbia 16"" Mud Pan with Magnetic Grip - C16MPX6","## Professional-Grade Efficiency for Drywall Finishing

Elevate your drywall workflow with the Columbia 16"" Stainless Steel Mud Pan. Engineered for the demanding professional, this tool combines rugged durability with innovative design to keep your compound accessible and your workspace organized.

## Built for Performance

Crafted from high-grade stainless steel, this mud pan is built to withstand the rigors of daily job site use. It resists rust and corrosion, ensuring a smooth surface for mixing and applying joint compound throughout the life of the tool. The integrated magnetic grip provides a secure, ergonomic hold, allowing you to maintain control while reducing hand fatigue during long finishing sessions.

## Key Features

- **Premium Stainless Steel:** Constructed from heavy-duty stainless steel to prevent rusting and ensure easy cleanup after every use.
- **Magnetic Grip Technology:** Features a built-in magnetic handle that offers a superior grip and convenient tool storage options on metal surfaces.
- **Optimized 16-Inch Capacity:** The generous 16-inch length provides ample room for holding large quantities of mud, minimizing trips to the bucket and maximizing your efficiency.
- **Ergonomic Design:** Designed with the professional finisher in mind, the pan shape allows for comfortable handling and precise application.
- **Professional Durability:** Engineered by Columbia Taping Tools to meet the high standards of drywall contractors who require reliable, long-lasting equipment.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | Columbia 16"" Mud Pan with Magnetic Grip |
| SKU | C16MPX6 |
| UPC | 824149011754 |
| Material | Stainless Steel |
| Length | 16 inches |",C16MPX6,824149011754,"Columbia 16"" STAINLESS MUD PAN W/ MAGNETIC HAND GRIP"
Columbia Taping Tools,"Columbia 18"" Tomahawk Smoothing Blade","## Master Your Finish with the Columbia 18"" Tomahawk Smoothing Blade

Elevate your drywall finishing standards with the Columbia 18"" Tomahawk Smoothing Blade, a tool engineered specifically for high-production environments where durability and precision are non-negotiable. By eliminating plastic components entirely, Columbia has engineered a smoothing blade that resists the common fractures and failures associated with standard tools, ensuring your equipment remains operational through the toughest job site conditions.

## Unrivaled Stability and Control

The Tomahawk system redefines professional performance by integrating directly with Flat Box handles. This design choice removes the need for unreliable plastic adaptors, which often fail under the weight of larger blades. By creating a direct, robust connection, the Tomahawk provides exceptional stability and allows for precise, real-time adjustments to your angle of attack while in motion. This level of control ensures a consistent, professional-grade finish with every pass.

## Key Features

- **All-Metal Construction:** Completely removes plastic parts, preventing snapping and structural failure under heavy pressure.
- **Flat Box Handle Integration:** Eliminates fragile plastic adaptors for a more secure, durable connection.
- **Dynamic Angle Control:** Enables seamless, on-the-fly adjustments to the angle of attack for superior finishing results.
- **Enhanced Stability:** Specifically balanced to support the leverage and weight requirements of an 18-inch blade.
- **Professional-Grade Durability:** Built to withstand the daily rigors of high-volume drywall finishing projects.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 18"" Tomahawk Smoothing Blade |
| SKU | TSB-18 |
| UPC | 824149009973 |
| Blade Width | 18"" |",TSB-18,824149009973,"The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade."
Columbia Taping Tools,"Columbia 2"" Angle Head w/ Wheels","## Precision Finishing for Professional Results

Elevate your drywall finishing workflow with the Columbia 2"" Angle Head. Engineered for the demanding professional, this tool is specifically designed to deliver a flawless glazing coat on inside 90-degree corners. Whether you are aiming for a smooth, paint-ready surface or need to streamline your taping process, this angle head provides the consistency and control required for high-end results.

## Versatile Design for Every Job

The standout feature of this Columbia tool is its modular wheel system. Recognizing that every taper has a unique preference and every corner presents different challenges, this unit allows you to operate with or without the wheels. This flexibility ensures you can adapt your technique to the specific requirements of the job site, maintaining speed without sacrificing the quality of the finish.

## Key Features

- **Precision 90-Degree Finishing:** Specifically calibrated to produce a sharp, clean finish on inside corners, reducing the need for extensive sanding.
- **Glazing Coat Optimization:** Designed to apply the perfect amount of compound for a smooth, professional-grade glazing coat.
- **Modular Wheel System:** Offers the versatility to run the head with or without wheels, allowing for customized tracking and control.
- **Professional-Grade Construction:** Built by Columbia Taping Tools to withstand the rigors of daily job site use.
- **Enhanced Efficiency:** Streamlines the finishing process, saving time on the final stages of drywall installation.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 2"" Angle Head w/ Wheels |
| SKU | 2AH |
| UPC | 824149000062 |
| Application | Inside 90-degree corners |
| Size | 2 inches |
| Feature | Optional wheels |",2AH,824149000062,"The Columbia 2"" Angle Head is a great choice for your glazing coat. It produces a very fine finish on inside 90-degree corners. These NEW Columbia 2"" Angle Heads have optional wheels. You can run the angle head with or without the wheels."
Columbia Taping Tools,"Columbia 2"" PUTTY KNIFE","## Precision Performance for Drywall Professionals\n\nElevate your finishing standards with the Columbia 2-inch Putty Knife, a precision-engineered tool designed for the exacting demands of professional drywall contractors. Whether you are setting fasteners, patching minor surface imperfections, or executing intricate corner work, this tool delivers the reliability and control required for a flawless finish.\n\n## Built for the Job Site\n\nColumbia Taping Tools are renowned for their rugged durability, and this 2-inch putty knife is no exception. Constructed to endure the daily rigors of a high-volume job site, it features a high-quality blade that maintains its edge and flex, ensuring consistent application every time. The ergonomic handle is optimized for comfort, allowing for extended use without compromising on precision or control.\n\n## Key Features\n\n- **Professional-Grade Blade:** Crafted from premium materials to provide the perfect balance of flexibility and stiffness for smooth compound application.\n- **Ergonomic Grip:** Designed to reduce hand fatigue during long shifts, ensuring maximum control and comfort.\n- **Versatile Utility:** The 2-inch width is ideal for filling screw holes, scraping, and detailed taping tasks where precision is paramount.\n- **Rugged Durability:** Engineered to withstand heavy-duty use in demanding construction environments.\n- **Consistent Results:** Provides the reliable performance needed to achieve professional-level finishes on every project.\n\n## Technical Specifications\n\n| Specification | Detail |\n| :--- | :--- |\n| Brand | Columbia Taping Tools |\n| Product Name | 2\"" Putty Knife |\n| SKU | NPK2 |\n| UPC | 824149011914 |\n| Blade Width | 2 inches |",NPK2,824149011914,"Columbia 2"" PUTTY KNIFE"
Columbia Taping Tools,"Columbia 2.5"" Angle Head w/ Wheels","## Achieve Professional Precision on Every Corner

Achieve a flawless finish on your inside 90-degree corners with the Columbia 2.5"" Angle Head. Engineered for professionals who demand consistency, this tool is the ideal solution for applying your glazing coat with precision and speed.

## Versatility Meets Performance

Designed with the modern drywall finisher in mind, this angle head offers unparalleled flexibility. The standout feature is the integrated wheel system, which allows you to customize your workflow. Whether you prefer the smooth glide of wheels or the traditional feel of a standard angle head, this tool adapts to your specific technique, ensuring a clean, feathered edge every time.

## Key Features

- **Precision Engineering:** Specifically optimized for 90-degree inside corners to ensure a perfect finish.
- **Versatile Wheel System:** Removable wheels allow for customized operation based on your preferred finishing style.
- **Professional Finish:** Delivers a consistent, high-quality glazing coat for a superior final appearance.
- **Durable Construction:** Built to withstand the rigors of daily job site use and heavy-duty applications.
- **Seamless Integration:** Designed to work efficiently with standard Columbia Taping Tools handles.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 2.5"" Angle Head w/ Wheels |
| SKU | 2.5AH |
| UPC | 824149000055 |
| Application | Inside 90-degree corners |
| Feature | Optional/Removable Wheels |",2.5AH,824149000055,"The Columbia 2.5"" Angle Head is a great choice for your glazing coat. It produces a very fine finish on inside 90-degree corners. These NEW Columbia 2.5"" Angle Heads have optional wheels. You can run the angle head with or without the wheels."
Columbia Taping Tools,"Columbia 24"" Drywall Corner Finishing Compound Mud Tube","## Professional-Grade Efficiency for Corner Finishing

Streamline your drywall finishing process with the Columbia 24"" Compound Mud Tube. Engineered for the demanding professional, this tool functions as a high-capacity delivery system, allowing you to load compound quickly and cleanly. By eliminating the mess and inefficiency of manual application, this mud tube ensures consistent results on every corner, significantly reducing your labor time.

## Built for Durability and Universal Compatibility

Unlike standard plastic alternatives that are prone to cracking under job-site pressure, the Columbia Mud Tube features a robust, anodized aluminum body. This construction provides superior longevity and impact resistance, making it a reliable staple in your toolkit. Designed with versatility in mind, it integrates seamlessly with your existing arsenal of finishing tools, supporting a wide range of industry-standard attachments.

## Key Features

- **Durable Construction:** Crafted from high-grade anodized aluminum for maximum strength and long-term reliability in harsh job-site environments.
- **High-Capacity Design:** The 24-inch length allows for substantial compound volume, reducing the frequency of refills and keeping you productive for longer.
- **Universal Compatibility:** Fully compatible with all major brands of angle heads, corner finishers, corner bead mud heads, and direct corner flushers.
- **Efficient Loading:** The intuitive plunger mechanism acts like a high-volume syringe, drawing compound directly from the bucket with minimal effort and zero waste.
- **Professional Performance:** Designed to meet the rigorous demands of daily construction use, ensuring consistent flow and precise application every time.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 24"" Drywall Corner Finishing Compound Mud Tube |
| SKU | CMT24 |
| UPC | 824149008013 |
| Material | Anodized Aluminum |
| Length | 24 inches |",CMT24,824149008013,"Introducing the Columbia 24"" Compound Mud Tube . The compound tube acts like a giant syringe for drywall compound. Simply place the head of the compound tube into the bucket of compound and pull the plunger handle out. This method will suck the mud out of the bucket and fill the tube. All major brands of attachments will work with this tube. The anodized aluminum main tube is very strong and will not break like some of the other brands that make them out of plastic. This tube will work with:"
Columbia Taping Tools,"Columbia 24"" Tomahawk Smoothing Blade","## Elevate Your Finish with the Columbia 24"" Tomahawk Smoothing Blade

The Columbia 24"" Tomahawk Smoothing Blade redefines industry standards for drywall finishing tools. Designed for professionals who demand reliability on the job site, this blade eliminates the common failure points found in lesser tools, ensuring consistent, high-quality results on every pass.

## Engineered for Uncompromising Durability

By removing all plastic components, Columbia has engineered a tool that withstands the rigors of daily professional use. The innovative design utilizes a Flat Box handle connection, which not only removes the need for fragile plastic adaptors but also provides superior stability. This configuration allows for precise, real-time adjustments to the angle of attack, giving you total control over your finish even when working with larger blade widths.

## Key Features

- **All-Metal Construction:** Built to endure high-pressure applications without the risk of snapping or cracking.
- **Flat Box Handle Compatibility:** Seamlessly integrates with standard flat box handles for a secure, reliable connection.
- **Enhanced Stability:** The robust design minimizes wobble and deflection, ensuring a smooth, consistent finish.
- **Dynamic Angle Adjustment:** Easily modify the angle of attack while in motion for optimal mud application and smoothing.
- **Professional-Grade Durability:** Engineered specifically for the demands of high-volume drywall finishing projects.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 24"" Tomahawk Smoothing Blade |
| SKU | TSB-24 |
| UPC | 824149009980 |
| Blade Length | 24 inches |",TSB-24,824149009980,"The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade."
Columbia Taping Tools,"Columbia 3"" Angle Head w/ Wheels","## Precision Finishing for Professional Results

Elevate your drywall finishing workflow with the Columbia 3"" Angle Head with Wheels. Engineered for professionals who demand perfection, this tool combines robust construction with fluid movement to ensure every corner is flawless. Whether you are tackling new construction or renovation projects, this angle head delivers a consistent, paint-ready finish that minimizes sanding and maximizes efficiency.

## Superior Performance in Every Corner

The Columbia 3"" Angle Head is designed to perform under pressure. By integrating seamlessly with your existing taping tools—including Corner Rollers and Corner Boxes—it streamlines the finishing process. The addition of wheels provides an exceptionally smooth glide, allowing the tool to track perfectly along the corner bead. This precision engineering ensures that you spend less time on touch-ups and more time moving to the next job.

## Key Features

- **Precision Engineering:** Built with high-quality materials to withstand the rigors of daily job site use while maintaining structural integrity.
- **Effortless Glide:** Equipped with specialized wheels that allow the head to move across surfaces with minimal resistance, simulating a frictionless experience.
- **Versatile Compatibility:** Designed to work efficiently behind a Corner Roller or in conjunction with a Corner Box for versatile application methods.
- **Paint-Ready Finish:** Delivers a smooth, professional-grade corner finish that requires minimal preparation before painting.
- **Professional Reliability:** A trusted tool for drywall contractors who prioritize speed, accuracy, and a superior final appearance.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | Columbia 3"" Angle Head w/ Wheels |
| SKU | 3AH |
| UPC | 824149000093 |
| Size | 3"" |",3AH,824149000093,"The Columbia 3"" Angle heads are a tool we are especially proud of with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box, these tools deliver great corners. They run like they are on ice and leave a finish that is ready to paint."
Columbia Taping Tools,"Columbia 3"" Nail Spotter with Featherlight Handle","## Professional Precision for Fastener Finishing

Elevate your drywall finishing workflow with the Columbia 3"" Nail Spotter, a precision-engineered tool designed to eliminate the tedious manual labor of spotting nail and screw heads. By automating the application of joint compound, this tool ensures consistent, professional-grade results across every fastener, allowing you to move faster without sacrificing quality.

## Streamlined Efficiency

Designed for the modern contractor, the Columbia Nail Spotter operates with the same intuitive mechanics as a standard flat box. Simply load the chamber with your preferred joint compound and glide the tool over your fastener lines. In a single pass, it effectively fills the recess and feathers the edges, creating a seamless surface ready for sanding or final coating. The included 43"" Featherlight handle reduces operator fatigue, providing the reach and control necessary for high-volume projects.

## Key Features

- **Precision Application:** The 3-inch head is perfectly sized to cover standard nail and screw patterns, ensuring full coverage and a smooth, feathered finish.
- **Ergonomic Featherlight Handle:** Comes equipped with a 43"" handle designed to minimize weight and strain, allowing for extended use throughout the workday.
- **Intuitive Operation:** Mimics the familiar motion of flat box tools, making it easy for experienced finishers to integrate into their existing toolkit immediately.
- **Time-Saving Workflow:** Dramatically reduces the time spent on manual spotting, significantly increasing your daily output on residential and commercial jobsites.
- **Durable Construction:** Built with the rugged reliability expected from Columbia Taping Tools, ensuring longevity in demanding professional environments.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 3"" Nail Spotter with Featherlight Handle |
| Head Width | 3 inches |
| Handle Length | 43 inches |
| Handle Type | Featherlight |
| SKU | g3NS & C1H |
| UPC | 810135982511 |",g3NS & C1H,810135982511,"Columbia Taping Tools 3"" Nail Spotter is an excellent choice for finishing nail and screw holes. Simply fill the Columbia Nail Spotter with joint compound and run it down the fasteners like your flat box. It simultaneously fills and feathers the holes. 43"" Columbia One Handle included."
