bundle_sku,bundle_name,bundle_brand,component_position,component_source_sku,component_veeqo_sku,component_name,quantity,component_status,notes
TS,Columbia Tactical Set,Columbia Tools,5,,,7 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,6,,,24 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,17,,,Sander Head and Twist-Lock Handle,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,18,,,Tomalock Adapter,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,19,,,"Repair Kits: AH-RK, FFBR9-10, FFBR9-12, FFBR7-7A, CTR-1",1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,5,,,7 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,6,,,24 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,17,,,Sander Head and Twist-Lock Handle,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,18,,,Tomalock Adapter,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,19,,,"Repair Kits: AH-RK, FFBR9-10, FFBR9-12, FFBR7-7A, CTR-1",1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,1,,,7 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,2,,,12 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,3,,,18 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,4,,,32 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TWS,Columbia Warrior Set,Columbia Tools,5,,,Tomalock Adapter,1,missing_source_sku,Component has no SKU in Woo include metadata.
4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5,10,5-623,5-623,Bonus Hand Tool Set (as printed: 4-623),1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,LEVEL5,12,5-623,5-623,Bonus Hand Tool Set,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5,11,5-623,5-623,Bonus Hand Tool Set,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,14,4-862,4-862,Outsider Wheel Kit,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5,15,5-623,5-623,Bonus Hand Tool Set,1,missing_veeqo_sku,Component SKU was not found in Veeqo import.
