Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID,_source,_reference_section,_reference_catalog_page
TapeTech,simple,,501F25A,"TapeTech 2.5"" Angle Head Repair Kit 501F25A",1,0,visible,"TapeTech 2.5"" Angle Head Kit 501F25A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set Screw...","TapeTech 2.5"" Angle Head Kit 501F25A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set Screw...",,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech,,,,,,,,,,,612,Brand,TapeTech,1,1,0,,,,,,"TapeTech 2.5"" Angle Head Repair Kit 501F25A","TapeTech 2.5"" Angle Head Kit 501F25A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set Screw...",,missing_reference_template,Corner Finishers,22
TapeTech,simple,,501F2A,"TapeTech 2"" Angle Head Repair Kit 501F2A",1,0,visible,"TapeTech 2"" Angle Head Repair Kit 501F2A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (2) 8-32 x 1/4 inch Set Screw 1/2 Dog SST (...","TapeTech 2"" Angle Head Repair Kit 501F2A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (2) 8-32 x 1/4 inch Set Screw 1/2 Dog SST (...",,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech,,,,,,,,,,,613,Brand,TapeTech,1,1,0,,,,,,"TapeTech 2"" Angle Head Repair Kit 501F2A","TapeTech 2"" Angle Head Repair Kit 501F2A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (2) 8-32 x 1/4 inch Set Screw 1/2 Dog SST (...",,missing_reference_template,Corner Finishers,22
TapeTech,simple,,501F3A,"TapeTech 3"" Angle Head Repair Kit 501F3A",1,0,visible,"TapeTech 3"" Angle Head Repair Kit 501F3A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set S...","TapeTech 3"" Angle Head Repair Kit 501F3A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set S...",,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech,,,,,,,,,,,614,Brand,TapeTech,1,1,0,,,,,,"TapeTech 3"" Angle Head Repair Kit 501F3A","TapeTech 3"" Angle Head Repair Kit 501F3A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set S...",,missing_reference_template,Corner Finishers,22
TapeTech,simple,,502F2,"TapeTech 2"" Angle Head Blade Kit 502F2",1,0,visible,"TapeTech 2"" Angle Head Blade Kit 502F2 Includes: (2) 8-32 x 1/4 Setscrew 1/2 Dog SST (2) 2"" Carbide Blades (2) Stainless Skids (12) 4-40 x 1/8 Set Screws","TapeTech 2"" Angle Head Blade Kit 502F2 Includes: (2) 8-32 x 1/4 Setscrew 1/2 Dog SST (2) 2"" Carbide Blades (2) Stainless Skids (12) 4-40 x 1/8 Set Screws",,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech,,,,,,,,,,,615,Brand,TapeTech,1,1,0,,,,,,"TapeTech 2"" Angle Head Blade Kit 502F2","TapeTech 2"" Angle Head Blade Kit 502F2 Includes: (2) 8-32 x 1/4 Setscrew 1/2 Dog SST (2) 2"" Carbide Blades (2) Stainless Skids (12) 4-40 x 1/8 Set Screws",,missing_reference_template,Corner Finishers,22
TapeTech,simple,,502F25,"TapeTech 2.5"" Angle Head Blade Kit 502F25",1,0,visible,"TapeTech 2.5"" Angle Head Blade Kit 502F25","TapeTech 2.5"" Angle Head Blade Kit 502F25",,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech,,,,,,,,,,,616,Brand,TapeTech,1,1,0,,,,,,"TapeTech 2.5"" Angle Head Blade Kit 502F25","TapeTech 2.5"" Angle Head Blade Kit 502F25",,missing_reference_template,Corner Finishers,22
TapeTech,simple,,502F2X,"2"" Corner Finisher Blade Change Kit (40XTT)",1,0,visible,,,,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech,,,,,,,,,,,617,Brand,TapeTech,1,1,0,,,,,,"2"" Corner Finisher Blade Change Kit (40XTT)",,,missing_reference_template,Corner Finishers,22
TapeTech,simple,,502F3,"TapeTech 3"" Angle Head Blade Kit 502F3",1,0,visible,"TapeTech 3"" Angle Head Blade Kit 502F3 Includes: (2) 3"" Blades, Carbide (2) Skids (12) 4-40 x 1/8 Set Screws 8-32 x 1/4 Set Screws 1/2 Dog SST","TapeTech 3"" Angle Head Blade Kit 502F3 Includes: (2) 3"" Blades, Carbide (2) Skids (12) 4-40 x 1/8 Set Screws 8-32 x 1/4 Set Screws 1/2 Dog SST",,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech,,,,,,,,,,,618,Brand,TapeTech,1,1,0,,,,,,"TapeTech 3"" Angle Head Blade Kit 502F3","TapeTech 3"" Angle Head Blade Kit 502F3 Includes: (2) 3"" Blades, Carbide (2) Skids (12) 4-40 x 1/8 Set Screws 8-32 x 1/4 Set Screws 1/2 Dog SST",,missing_reference_template,Corner Finishers,22
TapeTech,simple,,76TT-CA,TapeTech EasyClean® Loading Pump 76TT-CA,1,0,visible,TapeTech EasyClean® Loading Pump 76TT-CA (Canada Only) Fills automatic drywall tools with joint compound through optional Gooseneck and Box Filler Fitting.,TapeTech EasyClean® Loading Pump 76TT-CA (Canada Only) Fills automatic drywall tools with joint compound through optional Gooseneck and Box Filler Fitting.,,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > EasyClean Pump,,,,,,,,,,,619,Brand,TapeTech,1,1,0,,,,,,TapeTech EasyClean® Loading Pump 76TT-CA,TapeTech EasyClean® Loading Pump 76TT-CA (Canada Only) Fills automatic drywall tools with joint compound through optional Gooseneck and Box Filler Fitting.,,missing_reference_template,Loading Pumps,13
TapeTech,simple,,BAN001TT,TapeTech MudDogTM Premium Taping Banjo,1,0,visible,TapeTech Mud Dog Banjo,TapeTech Mud Dog Banjo,,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > MudDog Banjo > MudDog Premium Banjo,,,,,,,,,,,620,Brand,TapeTech,1,1,0,,,,,,TapeTech MudDogTM Premium Taping Banjo,TapeTech Mud Dog Banjo,,missing_reference_template,MudDog Premium Banjo,57
TapeTech,simple,,CCAGE04,"TapeTech 4"" Compound Roller Frame",1,0,visible,"TapeTech 4"" Compound Roller Frame CCAGE04 TapeTech drywall joint compound rollers are ideal for applying large amounts of drywall compound on walls and ceilings...","TapeTech 4"" Compound Roller Frame CCAGE04 TapeTech drywall joint compound rollers are ideal for applying large amounts of drywall compound on walls and ceilings...",,,,,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,,,,,,,,,,,621,Brand,TapeTech,1,1,0,,,,,,"TapeTech 4"" Compound Roller Frame","TapeTech 4"" Compound Roller Frame CCAGE04 TapeTech drywall joint compound rollers are ideal for applying large amounts of drywall compound on walls and ceilings...",,missing_reference_template,Compound Rollers,46
