wc_row_number,wc_id,wc_type,wc_sku,wc_mpn,wc_name,wc_short_description,wc_description,wc_categories,reference_match_status,drywall_scope,reference_model,reference_section,reference_catalog_page,reference_page_title,reference_page_name,reference_enrichment_name,reference_enrichment_short_description,reference_enrichment_description,reference_mapping_category,reference_mapping_subcategory,reference_mapping_product,proposed_name,proposed_short_description,proposed_description,proposed_categories,can_update_name,can_update_short_description,can_update_description,can_update_categories,name_match_quality,notes
443,,simple,10030,07TT,TapeTech EasyClean Automatic Taper,,TapeTech EasyClean Taper,Drywall Finishing Tools > TapeTech > Automatic Tapers,matched_by_mpn,1,07TT,Automatic Tapers,15,Automatic Tapers,TapeTech EasyClean Automatic Taper,TapeTech EasyClean Automatic Taper,TapeTech EasyClean Taper,TapeTech EasyClean Taper,Automatic Taping & Finishing Tools,Automatic Tapers,EasyClean Automatic Taper,TapeTech EasyClean Automatic Taper,TapeTech EasyClean Taper,TapeTech EasyClean Taper,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Taper,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
444,,simple,10031,8134TT,"TapeTech 34"" Easy Finish Bent Flat Box Handle",,"TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,8134TT,Finishing Box Handles,32,Finishing Box Handles,"TapeTech 34"" Easy Finish Bent Flat Box Handle","TapeTech 34"" Easy Finish Bent Flat Box Handle","TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT","TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT",Automatic Taping & Finishing Tools,Box Handles,EasyFinish Box Handle,"TapeTech 34"" Easy Finish Bent Flat Box Handle","TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT","TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
445,,simple,10032,8142TT,"TapeTech 42"" Easy Finish Bent Flat Box Handle",,"TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,8142TT,Finishing Box Handles,32,Finishing Box Handles,"TapeTech 42"" Easy Finish Bent Flat Box Handle","TapeTech 42"" Easy Finish Bent Flat Box Handle","TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT","TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT",Automatic Taping & Finishing Tools,Box Handles,EasyFinish Box Handle,"TapeTech 42"" Easy Finish Bent Flat Box Handle","TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT","TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
446,,simple,10033,8154TT,"TapeTech 54"" Easy Finish Bent Flat Box Handle",,"TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,8154TT,Finishing Box Handles,32,Finishing Box Handles,"TapeTech 54"" Easy Finish Bent Flat Box Handle","TapeTech 54"" Easy Finish Bent Flat Box Handle","TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT","TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT",Automatic Taping & Finishing Tools,Box Handles,EasyFinish Box Handle,"TapeTech 54"" Easy Finish Bent Flat Box Handle","TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT","TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
447,,simple,10034,8172TT,"TapeTech 72"" Easy Finish Bent Flat Box Handle",,"TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,matched_by_mpn,1,8172TT,Finishing Box Handles,32,Finishing Box Handles,"TapeTech 72"" Easy Finish Bent Flat Box Handle","TapeTech 72"" Easy Finish Bent Flat Box Handle","TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT","TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT",Automatic Taping & Finishing Tools,Box Handles,EasyFinish Box Handle,"TapeTech 72"" Easy Finish Bent Flat Box Handle","TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT","TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT",Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
487,,simple,12197,85T,TapeTech Gooseneck,,TapeTech Gooseneck,Drywall Finishing Tools > TapeTech > Automatic Tapers,matched_by_mpn,1,85T,Loading Pumps,13,Loading Pumps,TapeTech Gooseneck,TapeTech Gooseneck,TapeTech Gooseneck,TapeTech Gooseneck,Automatic Taping & Finishing Tools,Loading Pumps,Gooseneck,TapeTech Gooseneck,TapeTech Gooseneck,TapeTech Gooseneck,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Gooseneck,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
518,,simple,12389,16TT,TapeTech Mud Applicator Head 90º Outside,,TapeTech Mud Applicator Head 90º Outside 16TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,matched_by_mpn,1,16TT,Applicator Heads,17,Applicator Heads,TapeTech Mud Applicator Head 90o Outside,TapeTech Mud Applicator Head 90o Outside,TapeTech Mud Applicator Head 90o Outside 16TT,TapeTech Mud Applicator Head 90o Outside 16TT,Automatic Taping & Finishing Tools,Applicator Heads,Outside Corner Applicator,TapeTech Mud Applicator Head 90o Outside,TapeTech Mud Applicator Head 90o Outside 16TT,TapeTech Mud Applicator Head 90o Outside 16TT,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Outside Corner Applicator,1,1,0,1,different,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
519,,simple,12390,16TT90,TapeTech Mud Applicator Head 90º Inside,,TapeTech Mud Applicator Head 90º Inside 16TT90,Drywall Finishing Tools > TapeTech > Automatic Tapers,matched_by_mpn,1,16TT90,Applicator Heads,17,Applicator Heads,TapeTech Mud Applicator Head 90o Inside,TapeTech Mud Applicator Head 90o Inside,TapeTech Mud Applicator Head 90o Inside 16TT90,TapeTech Mud Applicator Head 90o Inside 16TT90,Automatic Taping & Finishing Tools,Applicator Heads,Inside Corner Applicator,TapeTech Mud Applicator Head 90o Inside,TapeTech Mud Applicator Head 90o Inside 16TT90,TapeTech Mud Applicator Head 90o Inside 16TT90,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Inside Corner Applicator,1,1,0,1,different,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
520,,simple,12391,90T,TapeTech Box Filler,,TapeTech Box Filler 90TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,matched_by_mpn,1,90T,Loading Pumps,13,Loading Pumps,TapeTech Box Filler,TapeTech Box Filler,TapeTech Box Filler 90TT,TapeTech Box Filler 90TT,Automatic Taping & Finishing Tools,Loading Pumps,Filler Adapter,TapeTech Box Filler,TapeTech Box Filler 90TT,TapeTech Box Filler 90TT,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Filler Adapter,0,1,0,1,equivalent,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
559,,simple,12582,17TT,TapeTech Outside Corner Roller,,TapeTech Outside Corner Roller 17TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,no_reference_match,1,,,,,,,,,Automatic Taping & Finishing Tools,Corner Rollers,Outside Corner Roller,,,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Rollers > Outside Corner Roller,0,0,0,1,,mpn not present in drywall tool references
