"source_title","source_handle","source_url","variant_count"
"Columbia Flat Finishing Box Repair Parts","columbia-flat-finishing-box-repair-parts","https://csrbuilding.com/en-us/products/columbia-flat-finishing-box-repair-parts","52"
"Columbia Automatic Taper Head Repair Parts","columbia-automatic-taper-head-repair-parts","https://csrbuilding.com/en-us/products/columbia-automatic-taper-head-repair-parts","100"
"Columbia Hot Mud Pump Repair Parts","columbia-hot-mud-pump-repair-parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","44"
"Columbia Angle Head Repair Parts","columbia-angle-head-repair-parts","https://csrbuilding.com/en-us/products/columbia-angle-head-repair-parts","27"
"Columbia Hinged Nailspotter Repair Parts","columbia-hinged-nailspotter-repair-parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","29"
"Columbia Matrix Handle Repair Parts","columbia-matrix-handle-repair-parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","42"
"Columbia Corner Flusher Box Repair Parts","columbia-corner-flusher-box-repair-parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","30"
"Columbia Automatic Taper Body Repair Parts","columbia-automatic-taper-body-repair-parts","https://csrbuilding.com/en-us/products/columbia-automatic-taper-body-repair-parts","31"
"Columbia 180 Grip Box Handle Repair Parts","columbia-180-grip-box-handle-repair-parts","https://csrbuilding.com/en-us/products/columbia-180-grip-box-handle-repair-parts","24"
"Columbia Hydra-Reach Box Handle Repair Parts","columbia-hydra-reach-box-handle-repair-parts","https://csrbuilding.com/en-us/products/columbia-hydra-reach-box-handle-repair-parts","29"
"Columbia Corner Roller Repair Parts","columbia-corner-roller-repair-parts","https://csrbuilding.com/en-us/products/columbia-corner-roller-repair-parts","10"
