brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes
TapeTech,501BH,501BH,Pump Wear Parts Kit - B74TT/B75TT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501BH,501BH - Pump Wear Parts Kit - B74TT/B75TT 501H1 - Pump Cleaning Kit 700033F - Screen (coarse mesh),pdf_text,sku_found_in_pdf_text,,,
TapeTech,501H,501H,Pump Wear Parts Kit - 72TT/73TT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501H,"501H - Pump Wear Parts Kit - 72TT/73TT 502H - Pump Tune Up Kit - 72TT/73TT/76TT/76TT-CA/76XLTT 72TT, 73TT, 76TT, 76TT-CA, 76XLTT:",pdf_text,sku_found_in_pdf_text,,,
TapeTech,501H1,501H1,Pump Cleaning Kit,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501H1,501BH - Pump Wear Parts Kit - B74TT/B75TT 501H1 - Pump Cleaning Kit 700033F - Screen (coarse mesh),pdf_text,sku_found_in_pdf_text,,,
TapeTech,501J,501J,Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501J,501J - Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT 502BH - Pump Tune Up Kit - B74TT/B75TT 700032F - Screen (fine mesh),pdf_text,sku_found_in_pdf_text,,,
TapeTech,502BH,502BH,Pump Tune Up Kit - B74TT/B75TT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,502BH,501J - Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT 502BH - Pump Tune Up Kit - B74TT/B75TT 700032F - Screen (fine mesh),pdf_text,sku_found_in_pdf_text,,,
TapeTech,502H,502H,Pump Tune Up Kit - 72TT/73TT/76TT/76TT-CA/76XLTT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,502H,"501H - Pump Wear Parts Kit - 72TT/73TT 502H - Pump Tune Up Kit - 72TT/73TT/76TT/76TT-CA/76XLTT 72TT, 73TT, 76TT, 76TT-CA, 76XLTT:",pdf_text,sku_found_in_pdf_text,,,
TapeTech,700032F,700032F,Screen (fine mesh),,Pumps / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,700032F,501J - Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT 502BH - Pump Tune Up Kit - B74TT/B75TT 700032F - Screen (fine mesh),pdf_text,sku_found_in_pdf_text,,,
TapeTech,700033F,700033F,Screen (coarse mesh),,Pumps / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,700033F,501BH - Pump Wear Parts Kit - B74TT/B75TT 501H1 - Pump Cleaning Kit 700033F - Screen (coarse mesh),pdf_text,sku_found_in_pdf_text,,,
TapeTech,76TT,76TT,EasyClean Pump,,Pumps,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,76TT,76TT - EasyClean® Pump 76XLTT - Extra Long EasyClean® Pump 76TT-CA - EasyClean® Pump,pdf_text,sku_found_in_pdf_text,,,
TapeTech,76TT-CA,76TT-CA,EasyClean Pump,,Pumps,tool,1,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,76TT-CA,76TT - EasyClean® Pump 76XLTT - Extra Long EasyClean® Pump 76TT-CA - EasyClean® Pump,pdf_text,sku_found_in_pdf_text,,,
