severity,category,line,id,type,sku,brand,name,detail,recommendation
high,bad_seo_canonical_nonvariation,138,12500,simple,CFB28,Columbia,"8"" Roll Face",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,159,12521,simple,CLTBF,Columbia,Compound Tube Box Filler,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,243,12605,simple,CT123,Columbia,Retaining Quick Release Spring Shaft,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,281,12643,simple,CT34R,Columbia,Removable Cover Plate Attachment Block,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,367,12729,simple,CTA84,Columbia,Cable Pulley Guide,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,368,12730,simple,CTA87CL,Columbia,Cover Plate Assembly,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,369,12731,simple,CTA99,Columbia,Removable Cover Plate Pin,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,392,12754,simple,FA201,Columbia,"1/16"" X 3/8"" Split Pin",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,410,12772,simple,FA222,Columbia,"5-40 X 3/8"" Bind Head Screw",Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,456,12818,simple,FA278,Columbia,#8 Belleville Washer,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
high,bad_seo_canonical_nonvariation,460,12822,simple,FA281,Columbia,10-32 X Nyloc Jam Nut-2 per pack,Canonical is 'v2-production-normalized'.,Set canonical to a valid /product/.../ path.
