Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
Asgard,simple,18001,AT01-AD,Asgard The HAMMER Automatic Taper,1,0,visible,,Asgard HAMMER Automatic Taper,,,,1271.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag05-asgard-the-hammer-automatic-taper-AT01-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18008,CFA-AD,Asgard Angle Head Adapter,1,0,visible,,Asgard Angle Head Adapter,,,,40.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-adapter-CFA-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18009,LP01-AD,Asgard Loading Pump,1,0,visible,,Asgard Loading Pump,,,,378.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Pumps & Accessories,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag72-asgard-loading-pump-LP01-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18010,FA01-AD,Asgard Filler Adapter,1,0,visible,,Asgard Filler Adapter,,,,45.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Repair Kits & Parts,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag90-asgard-filler-adapter-FA01-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18011,GN01-AD,Asgard Gooseneck,1,0,visible,,Asgard Gooseneck,,,,100.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Repair Kits & Parts,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag85-asgard-gooseneck-GN01-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18012,CR01-AD,Asgard Inside Corner Roller Head,1,0,visible,,Asgard Corner Roller,,,,161.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag15a-asgard-inside-corner-roller-head-CR01-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18013,CA08-AD,Asgard Corner Applicator,1,0,visible,,"Asgard 8"" Angle Box",,,,270.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag35a-asgard-corner-applicator-CA08-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18014,NS03-AD,Asgard Nail Spotter,1,0,visible,,"Asgard 3"" Nail Spotter",,,,270.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag68a-asgard-nail-spotter-NS03-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18017,FBHE-AD,Asgard Finishing Box Handle Extendable,1,0,visible,,Asgard Extendable Flat Box Handle,,,,292.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Handles & Extensions,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag88-asgard-finishing-box-handle-extendable-FBHE-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18018,BBHE-AD,Asgard Brakeless Box Handle Extendable,1,0,visible,,Asgard Extendable Flat Box Handle - Brakeless,,,,266.0,taxable,,1,,,,,,,,,,1,,Drywall Finishing Tools > Asgard > Handles & Extensions,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-brakeless-box-handle-extendable-BBHE-AD-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
