brand,wc_row_number,wc_type,wc_sku,wc_mpn,wc_parent,wc_name,wc_short_description_empty,wc_description_empty,wc_categories,wc_images_count,reference_match_status,reference_model,reference_name,reference_section,reference_page,reference_source,reference_url,reference_category,part_reference_name,part_reference_price,proposed_name,proposed_short_description,proposed_description,proposed_categories,proposed_images,can_update_name,can_update_short_description,can_update_description,can_update_categories,can_update_images,priority,optimization_reasons,notes
TapeTech,574,simple,056707,056707,,Bazooka Oil - New Larger 8oz Can,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,610,variation,03TT,03TT,TT-AT-EC,TapeTech EasyClean® Automatic Taper,1,1,,1,matched_by_mpn,03TT,TapeTech EasyClean Automatic Mini Taper,Automatic Tapers,15,TapeTech catalog page 15,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Mini-Taper,,,TapeTech EasyClean Automatic Mini Taper,TapeTech EasyClean Automatic Mini Taper 03TT,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Mini-Taper,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__4.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__5.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__6.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__7.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__8.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12622/12622__9.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,611,variation,07TT,07TT,TT-AT-EC,TapeTech EasyClean® Automatic Taper,1,1,,1,matched_by_mpn,07TT,TapeTech EasyClean Automatic Taper,Automatic Tapers,15,TapeTech catalog page 15,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Taper,,,TapeTech EasyClean Automatic Taper,TapeTech EasyClean Taper,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Taper,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/10030/10030__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/10030/10030__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/10030/10030__5.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/10030/10030__6.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/10030/10030__7.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/10030/10030__8.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/10030/10030__9.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,612,variation,07TT-C,07TT-C,TT-AT-EC,TapeTech EasyClean® Automatic Taper,1,1,,1,matched_by_mpn,07TT-C,TapeTech Carbon Fiber Automatic Taper,Automatic Tapers,15,TapeTech catalog page 15,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Carbon Fiber Automatic Taper,,,TapeTech Carbon Fiber Automatic Taper,TapeTech Carbon Fiber EasyClean Automatic Taper,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Carbon Fiber Automatic Taper,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14767/14767__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14767/14767__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14767/14767__4.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14767/14767__7.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14767/14767__8.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,615,simple,122267,122267,,CFS Replacement Tire,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,661,simple,15TTE,15TTE,,TapeTech Inside Corner Roller,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,6,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
TapeTech,662,simple,16C298,16C298,,TapeTech CFS Replacement Hopper Filter,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,663,simple,16TT,16TT,,TapeTech Applicator Head - Outside Corner,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,8,matched_by_mpn,16TT,TapeTech Mud Applicator Head 90o Outside,Applicator Heads,17,TapeTech catalog page 17,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Outside Corner Applicator,,,TapeTech Mud Applicator Head 90o Outside,TapeTech Mud Applicator Head 90o Outside 16TT,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Outside Corner Applicator,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12389/12389__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12389/12389__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12389/12389__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12389/12389__4.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12389/12389__5.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12389/12389__6.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,664,simple,16TT90,16TT90,,TapeTech Applicator Head - Inside Corner,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,6,matched_by_mpn,16TT90,TapeTech Mud Applicator Head 90o Inside,Applicator Heads,17,TapeTech catalog page 17,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Inside Corner Applicator,,,TapeTech Mud Applicator Head 90o Inside,TapeTech Mud Applicator Head 90o Inside 16TT90,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Inside Corner Applicator,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12390/12390__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12390/12390__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12390/12390__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/12390/12390__4.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,665,simple,17TT,17TT,,TapeTech Outside Corner Roller,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,4,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
