bundle_sku,bundle_name,bundle_brand,bundle_type,bundle_kind,parent_sku,component_position,component_source_sku,component_veeqo_sku,component_name,quantity,component_status,notes
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,0,RC,RC,Road Case,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,1,TAPER,TAPER,Automatic Taper,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,2,10FFBA,10FFBA,10 in. Automatic Flat Box,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,3,12FFBA,12FFBA,12 in. Automatic Flat Box,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,4,MHS,MHS,Matrix Handle,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,5,,,7 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,6,,,24 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,7,8CFB,8CFB,8 in. Throttle Box,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,8,3AH,3AH,3 in. Angle Head,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,9,HMP,HMP,Hot Mud Pump,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,10,BF,BF,Box Filler,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,11,GN,GN,Gooseneck,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,12,CR,CR,Corner Roller,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,13,AHA,AHA,AHA Angle Head Adapter,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,14,3NS,3NS,3 in. Nail Spotter,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,15,C1H,C1H,Columbia One Handle,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,16,C1HEXT,C1HEXT,Columbia One EXT Handle,1,ready,
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,17,,,Sander Head and Twist-Lock Handle,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,18,,,Tomalock Adapter,1,missing_source_sku,Component has no SKU in Woo include metadata.
TS,Columbia Tactical Set,Columbia Tools,simple,toolset,,19,,,"Repair Kits: AH-RK, FFBR9-10, FFBR9-12, FFBR7-7A, CTR-1",1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,0,RC,RC,Road Case,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,1,PTAPER,PTAPER,Predator Automatic Taper,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,2,10FFBA,10FFBA,10 in. Automatic Flat Box,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,3,12FFBA,12FFBA,12 in. Automatic Flat Box,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,4,MHS,MHS,Matrix Handle,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,5,,,7 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,6,,,24 in. Tomahawk Smoothing Blade,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,7,8CFB,8CFB,8 in. Throttle Box,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,8,3AH,3AH,3 in. Angle Head,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,9,HMP,HMP,Hot Mud Pump,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,10,BF,BF,Box Filler,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,11,GN,GN,Gooseneck,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,12,CR,CR,Corner Roller,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,13,AHA,AHA,AHA Angle Head Adapter,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,14,3NS,3NS,3 in. Nail Spotter,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,15,C1H,C1H,Columbia One Handle,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,16,C1HEXT,C1HEXT,Columbia One EXT Handle,1,ready,
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,17,,,Sander Head and Twist-Lock Handle,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,18,,,Tomalock Adapter,1,missing_source_sku,Component has no SKU in Woo include metadata.
PTS,Columbia Predator Tactical Set,Columbia Tools,simple,toolset,,19,,,"Repair Kits: AH-RK, FFBR9-10, FFBR9-12, FFBR7-7A, CTR-1",1,missing_source_sku,Component has no SKU in Woo include metadata.
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,0,TCS,TCS,Semi-Automatic Case,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,1,2.5SF,2.5SF,2.5 in. Standard Flusher,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,2,3SF,3SF,3 in. Standard Flusher,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,3,CMT42,CMT42,42 in. Compound Mud Tube,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,4,C1HEXT,C1HEXT,Columbia One Extendible Handle,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,5,C1H,C1H,Columbia One Fixed Handle,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,6,AHA,AHA,Angle Head Adapter,1,ready,
SACS,Columbia Commando Set,Columbia Tools,simple,toolset,,7,CFLT,CFLT,Flat Applicator Head,1,ready,
