Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
SurPro,SURS2M2030,SURS2M2030,"SurPro 20-30"" Magnesium Double Sided Stilt (SURS2M2030)",simple,"<p>SurPro 20-30"" Magnesium Double Sided Stilt (SURS2M2030) provides a stable, high-performance platform for drywall contractors requiring extended reach. The double-sided pole configuration minimizes lateral sway and twisting, ensuring a secure stance during ceiling installation, taping, or finishing tasks. Constructed from a lightweight magnesium alloy, these stilts reduce operator fatigue while maintaining the structural integrity necessary for daily, heavy-duty site use.</p><p>The S2 series incorporates an ergonomic design that adapts to the user's natural movement. The 360-degree wraparound leg bands distribute pressure evenly, while the adjustable footbed, calf height, and lean tension settings allow for a personalized fit that supports biomechanical efficiency throughout the workday.</p><p><strong>Features:</strong></p><ul><li><strong>Interlock Safety System:</strong> Patented redundancy mechanism secures critical stress points to ensure operational safety.</li><li><strong>Hex-Extruded Frame:</strong> Hexagonal geometry maximizes structural rigidity while keeping the overall weight low for extended wear.</li><li><strong>Double-Clamshell Design:</strong> Prevents common twisting motions, providing superior lateral stability compared to single-pole alternatives.</li><li><strong>Precision Adjustability:</strong> Offers full customization of leg band position, footplate length, and forward/backward lean tension.</li><li><strong>High-Traction Soles:</strong> Industrial-grade, non-marking rubber soles provide reliable grip across various residential and commercial flooring surfaces.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | Model | S2 Magnesium Double Sided | | SKU | SURS2M2030 | | Height Range | 20"" - 30"" | | Max Load Capacity | 225 lbs (per pair) | | Frame Material | Magnesium Alloy | | Safety System | Interlock Enhanced Safety System | | Sole Type | Non-marking, High-Grip Rubber |</p>","SurPro S2 20-30"" magnesium stilts feature a double-sided pole design for maximum lateral stability and reduced fatigue. Fully adjustable for a custom fit, these durable stilts are built for professional drywall applications.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surs2m2030.webp,Stilts & Accessories > SurPro > Stilts,"SurPro stilts, drywall stilts, magnesium stilts, SURS2M2030, adjustable stilts, drywall tools",1439,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,"SurPro 20-30"" Magnesium Stilts (SURS2M2030) | Double-Sided","SurPro 20-30"" magnesium stilts feature a double-sided pole design for superior stability. Durable, lightweight, and fully adjustable for drywall work."
SurPro,SURSS1010R,SURSS1010R,SurPro Double Sided Right Leg Band Kit (SURSS1010R),simple,"<p>SurPro Double Sided Right Leg Band Kit (SURSS1010R) restores the stability and ergonomic support of your professional stilts. This replacement component is engineered to maintain the structural integrity and safety standards of your equipment during intensive daily use. Designed for a precise fit, it ensures your gear remains secure and comfortable throughout demanding work shifts.</p><p><strong>Features:</strong></p><ul><li><strong>Genuine Compatibility:</strong> Designed specifically for all standard SurPro Double-Sided Stilt models, excluding the S2X series.</li><li><strong>Right-Side Configuration:</strong> Precision-molded to match the right leg assembly for consistent alignment and secure attachment.</li><li><strong>Durable Construction:</strong> Built to withstand the high-impact, rugged conditions of professional job sites.</li><li><strong>Simplified Installation:</strong> Engineered for quick, straightforward replacement to minimize equipment downtime.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1010R | | Compatibility | All SurPro Double-Sided Stilts (Excluding S2X) | | Side | Right | | Part Type | Replacement Leg Band Kit |</p>","Maintain your equipment's performance with this genuine SurPro right-side leg band replacement, designed for a secure fit on all standard double-sided stilt models.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1010r.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro, SURSS1010R, stilt replacement parts, drywall stilts, leg band kit, stilt accessories",1440,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Right Leg Band (SURSS1010R) | Precision-Molded Fit,Restore your SurPro double-sided stilts with this genuine right-side leg band replacement. Durable construction ensures safety and comfort on the job.
SurPro,SURSS1010L,SURSS1010L,SurPro Double Sided Stilts Leg Band Kit (SURSS1010L),simple,"<p>SurPro Double Sided Stilts Leg Band Kit (SURSS1010L) provides a direct replacement for worn or damaged components on your existing equipment. This OEM-grade part ensures the structural integrity and stability required for safe operation during overhead drywall and ceiling installations. By maintaining your gear with factory-specified parts, you minimize equipment downtime and ensure consistent performance on the job site.</p><p>This kit is engineered for a precise fit on all standard SurPro Double-Sided Stilts, excluding the S2X model which requires the specialized Rocker Leg Band system. The installation process is straightforward, allowing for quick field repairs without specialized tools.</p><p><strong>Features:</strong></p><ul><li><strong>OEM Quality:</strong> Manufactured to original factory specifications for guaranteed compatibility and reliable performance.</li><li><strong>Safety Focused:</strong> Restores proper tension and support, preventing instability while working at height.</li><li><strong>Durable Build:</strong> Constructed to withstand the high-stress demands of daily professional construction environments.</li><li><strong>Efficient Maintenance:</strong> Designed for rapid installation to keep your workflow moving with minimal interruption.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1010L | | Compatibility | All SurPro Double-Sided Stilts (Excludes S2X) | | Position | Left Leg | | Part Type | Replacement Leg Band |</p>",SurPro Left Leg Band replacement kit for standard Double-Sided Stilts. Restores stability and safety for S2 series models (excluding S2X).,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1010l.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro, SURSS1010L, drywall stilts, stilt parts, leg band replacement, SurPro S2",1441,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Left Leg Band (SURSS1010L) | OEM Factory Replacement,Replace worn left leg bands on your SurPro Double-Sided Stilts with this OEM kit. Ensures stability and safety for professional drywall work. Fits S2 series.
SurPro,SURSS2007,SURSS2007,SurPro Floor Plate w/ Super Grip Soles Kit (SURSS2007),simple,"<p>SurPro Floor Plate w/ Super Grip Soles Kit (SURSS2007) provides the necessary components to restore traction and stability to your stilts. This maintenance set replaces worn contact points, ensuring your equipment maintains its intended range of motion and secure footing on various job site surfaces.</p><p>Each kit contains precision-machined plates and high-friction soles designed to minimize slippage while supporting natural, ergonomic movement. The included hardware ensures a direct, secure fit, allowing for efficient equipment servicing without compromising structural integrity.</p><p><strong>Features:</strong></p><ul><li><strong>High-Traction Design:</strong> Super Grip Soles offer improved surface adhesion for safer operation across diverse flooring materials.</li><li><strong>Complete Maintenance Set:</strong> Includes all required mounting hardware, including bolts, washers, springs, and bushings for a full restoration.</li><li><strong>Ergonomic Performance:</strong> Engineered to preserve the natural flexion of the stilt, helping to reduce user fatigue during long shifts.</li><li><strong>Durable Build:</strong> Components are constructed from high-grade materials to withstand the wear of daily professional use.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS2007 | | Compatibility | Standard SurPro Flexion Stilts | | Includes | 2x Flexion Floor Plates, 4x Super Grip Soles, Mounting Hardware (Bolts, Washers, Springs, Bushings) |</p>","SurPro Floor Plate and Super Grip Sole kit for stilt maintenance. Includes two plates, four high-traction soles, and all necessary mounting hardware.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss2007.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro, stilt accessories, drywall stilts, stilt floor plates, stilt grip soles, SURSS2007",1442,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Stilt Floor Plate Kit (SURSS2007) | High-Traction Soles,"Restore stilt stability with the SurPro SURSS2007 floor plate kit. Includes high-traction soles and all mounting hardware for a secure, professional fit."
SurPro,SURSS1012,SURSS1012,SurPro Foot Plate Kit (SURSS1012),simple,"<p>SurPro Foot Plate Kit (SURSS1012) provides a wider, more stable foundation for your drywall stilts, significantly improving balance and reducing user fatigue during long shifts. These oversized foot beds are engineered to accommodate various boot sizes, ensuring a secure and comfortable stance regardless of the task at hand. By replacing standard plates with this high-performance kit, you gain a more reliable platform that stands up to the daily demands of professional job sites.</p><p>This kit features a unique dual-position arch strap configuration, allowing for both traditional top-mounting and a specialized heel-locking position. The secondary mounting point behind the heel effectively locks your foot in place, preventing slippage and providing superior control compared to conventional designs. Built with high-impact, reinforced geometry, these plates are designed for long-term durability and seamless integration with existing SurPro stilt models.</p><p><strong>Features:</strong></p><ul><li><strong>Oversized Foot Bed:</strong> Expansive surface area improves weight distribution and provides a stable, secure foundation for all users.</li><li><strong>Dual-Position Arch Straps:</strong> Offers flexible mounting options, including a heel-locking position for enhanced stability and reduced foot movement.</li><li><strong>Professional-Grade Construction:</strong> Engineered with high-impact, reinforced geometry to withstand rigorous daily use in demanding environments.</li><li><strong>Universal Compatibility:</strong> Designed to integrate directly with all SurPro stilt models for an immediate upgrade in safety and comfort.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1012 | | Quantity | Pair (2 Plates) | | Mounting Options | Dual-position arch strap capability | | Construction | High-impact reinforced geometry | | Set Includes | 2 x Foot Plates, mounting hardware |</p>","SurPro Foot Plate Kit (SURSS1012) features an oversized, stable foot bed and dual-position arch strap mounting for superior heel security and balance on all SurPro stilts.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1012.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro foot plates, SURSS1012, drywall stilt accessories, stilt foot bed replacement, stilt stability kit",1443,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Foot Plate Kit (SURSS1012) | Dual-Position Arch Straps,"Upgrade your stilts with the SurPro Foot Plate Kit (SURSS1012). Features an oversized, stable foot bed and dual-position arch straps for secure heel locking."
SurPro,SURSS1009,SURSS1009,SurPro Heel Bracket Kit (SURSS1009),simple,"<p>SurPro Heel Bracket Kit (SURSS1009) restores the structural integrity and balance of your professional stilts. These OEM replacement components are engineered to withstand the high-impact demands of daily construction work, ensuring your equipment maintains factory-standard performance and safety.</p><p>Designed for precise calibration, this kit allows for a customized fit that reduces operator fatigue during extended use. By utilizing genuine SurPro parts, you ensure seamless compatibility and reliable support for your drywall stilts.</p><p><strong>Features:</strong></p><ul><li><strong>OEM Compatibility:</strong> Manufactured specifically for SurPro stilts to guarantee a precise, factory-standard fit.</li><li><strong>Complete Maintenance Set:</strong> Includes all necessary hardware for a quick, straightforward installation.</li><li><strong>Durable Build:</strong> Constructed from high-strength materials to endure the rigors of professional job sites.</li><li><strong>Adjustable Support:</strong> Provides critical heel stability, allowing for personalized calibration to improve balance and comfort.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1009 | | Compatibility | Genuine SurPro Stilts | | Includes | 2 x Heel Brackets, 4 x HS110W Screws |</p>","Maintain stilt stability with this genuine SurPro replacement kit. Includes two adjustable heel brackets and four mounting screws for a complete, factory-spec repair.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1009.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro, SURSS1009, stilt parts, drywall stilts, heel bracket, stilt repair",1444,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Heel Bracket Kit (SURSS1009) | OEM Replacement Parts,"Restore your SurPro stilts with this OEM heel bracket kit. Includes two adjustable brackets and four mounting screws for reliable, factory-spec support."
SurPro,SURSS1006,SURSS1006,SurPro Key & Lock Side Pole Clamp & Bracket Kit (SURSS1006),simple,"<p>SurPro Key & Lock Side Pole Clamp & Bracket Kit (SURSS1006) restores the structural integrity and operational stability of your drywall stilts. This comprehensive hardware set replaces worn or damaged components, ensuring your side poles remain securely locked in place during high-altitude work.</p><p>Engineered specifically for SurPro S1 and S1X stilt models, this kit provides a precise fit that eliminates unwanted movement and height slippage. Each component is manufactured to withstand the demanding conditions of daily construction environments, helping you maintain safety and performance on the job site.</p><p><strong>Features:</strong></p><ul><li><strong>Complete Hardware Refresh:</strong> Includes a full set of two side pole clamps, two outer metal clamp brackets, and two side pole bolt assemblies.</li><li><strong>Precision Compatibility:</strong> Designed for seamless integration with SurPro S1 and S1X stilt models.</li><li><strong>Enhanced Stability:</strong> Effectively locks side poles to prevent slippage and maintain consistent height settings.</li><li><strong>Professional Durability:</strong> Built from high-quality materials to endure the rigors of heavy-duty drywall and painting applications.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1006 | | Compatibility | S1 & S1X Stilts | | Kit Quantity | Pair | | Includes | 2x Side Pole Clamps (HP129W), 2x Outer Metal Clamp Brackets, 2x Side Pole Bolt Assemblies (HS124W) |</p>","SurPro Key & Lock Side Pole Clamp and Bracket Kit (SURSS1006) for S1 and S1X stilts. Includes a complete pair of clamps, brackets, and bolt assemblies to restore stilt stability.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1006.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro, SURSS1006, drywall stilt parts, stilt side pole clamp, S1 stilt repair, S1X stilt parts",1445,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Side Pole Clamp Kit (SURSS1006) | S1 & S1X Stilt Parts,Restore stability to your S1 and S1X stilts with the SurPro SURSS1006 clamp and bracket kit. Includes all necessary hardware for a complete pole refresh.
SurPro,SURSS1004O,SURSS1004O,SurPro Main Body Spring Kit (SURSS1004O),simple,"<p>SurPro Main Body Spring Kit (SURSS1004O) restores the original tension and structural responsiveness of your drywall stilts. This comprehensive maintenance set provides the necessary components to service one full pair of stilts, ensuring consistent stability and a natural walking motion during extended use on the job site.</p><p>Engineered to meet rigorous professional standards, this kit replaces fatigued or worn springs to eliminate performance loss. The included hardware ensures a precise fit, allowing for straightforward installation and minimal downtime when maintaining your equipment.</p><p><strong>Features:</strong></p><ul><li><strong>Complete Maintenance Solution:</strong> Includes two high-tension springs and all required mounting hardware to service a full pair of stilts.</li><li><strong>Optimized Performance:</strong> Restores original spring-back action, reducing user fatigue and improving balance.</li><li><strong>Professional Grade:</strong> Manufactured for durability and consistent tension under demanding construction conditions.</li><li><strong>Genuine Compatibility:</strong> Specifically configured for seamless integration with SurPro stilt systems using the HS145W-O hardware specification.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1004O | | Hardware Specification | HS145W-O | | Set Includes | 2 Springs, Mounting Hardware | | Application | One pair of stilts |</p>",SurPro Main Body Spring Kit (SURSS1004O) restores stilt tension and stability. Includes two springs and HS145W-O hardware for one full pair of stilts.,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1004o.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro, SURSS1004O, stilt parts, drywall stilt repair, main body spring kit, stilt maintenance",1446,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Main Body Spring Kit (SURSS1004O) | Stilt Maintenance,Restore stilt performance with the SurPro Main Body Spring Kit (SURSS1004O). Includes 2 springs and HS145W-O hardware for a full pair of drywall stilts.
SurPro,SURSS1007,SURSS1007,SurPro Nylon Sleeve Kit (SURSS1007),simple,"<p>SurPro Nylon Sleeve Kit (SURSS1007) provides a complete maintenance solution for restoring smooth articulation and stability to your stilt systems. These high-grade nylon components are engineered to exact tolerances, ensuring a precise fit that minimizes joint drag and maintains consistent performance during demanding drywall, painting, or ceiling installation tasks.</p><p>Constructed from industrial-grade, wear-resistant material, these sleeves are built to withstand the daily rigors of professional job sites. Replacing worn components with this kit ensures your equipment operates with factory-standard fluidity, supporting safety and efficiency throughout the lifespan of your stilts.</p><p><strong>Features:</strong></p><ul><li><strong>Comprehensive Maintenance:</strong> Includes a full set of four top and four bottom sleeves to service one complete pair of stilts.</li><li><strong>Industrial Durability:</strong> Manufactured from high-density nylon to resist wear and maintain structural integrity under heavy use.</li><li><strong>Optimized Motion:</strong> Reduces friction within the stilt joints for quieter, smoother operation and improved balance.</li><li><strong>Exact Compatibility:</strong> Designed specifically for SurPro stilt systems, allowing for straightforward installation without modifications.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1007 | | Material | Industrial Nylon | | Compatibility | SurPro Stilts | | Includes | 4x Top Sleeve (HS148M), 4x Bottom Sleeve (HS149M) |</p>",SurPro Nylon Sleeve Kit (SURSS1007) restores smooth joint articulation to your stilts. Includes four top (HS148M) and four bottom (HS149M) industrial-grade nylon sleeves.,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1007.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro, SURSS1007, stilt replacement parts, drywall stilt maintenance, nylon sleeve kit",1447,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Nylon Sleeve Kit (SURSS1007) | Industrial Nylon Build,Restore smooth operation to your stilts with the SurPro Nylon Sleeve Kit (SURSS1007). Includes 8 high-grade nylon sleeves for a complete joint overhaul.
SurPro,SURSS1005P,SURSS1005P,SurPro Plastic Leg Band Kit for Single Sided Stilts (SURSS1005P),simple,"<p>SurPro Plastic Leg Band Kit for Single Sided Stilts (SURSS1005P) provides a durable, ergonomic upgrade for contractors seeking improved comfort during extended periods on stilts. These high-durability nylon bands offer a flexible, forgiving fit that conforms to the leg, effectively reducing the fatigue often associated with rigid, traditional aluminum components. The kit includes wider straps designed to distribute pressure evenly, minimizing chafing and enhancing stability throughout the workday.</p><p>This comprehensive assembly is engineered for seamless integration with Sur-Stilts and Sur-Mag models. While compatible with newer generation S1 and S1X stilts, these bands serve as a comfortable, non-OEM alternative to standard wraparound components, ensuring a personalized fit for professional drywallers, painters, and installers.</p><p><strong>Features:</strong></p><ul><li><strong>Flexible Nylon Construction:</strong> High-durability material provides a lightweight, forgiving interface compared to standard metal bands.</li><li><strong>Ergonomic Design:</strong> Wider straps reduce localized pressure points, significantly improving comfort during long shifts.</li><li><strong>Complete Assembly:</strong> Includes all necessary components for a full replacement, ensuring a straightforward installation process.</li><li><strong>Broad Compatibility:</strong> Designed to fit Sur-Stilts and Sur-Mag models, with functional compatibility for S1 and S1X series.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | SurPro | | SKU | SURSS1005P | | Material | High-Durability Nylon | | Compatibility | Sur-Stilts, Sur-Mag, S1, S1X | | Includes | 2x Flex Leg Bands (HS101W-F), 2x Leg Band Straps (HS104S-B), 1x Bolt Kit (SS134) |</p>","SurPro Plastic Leg Band Kit (SURSS1005P) offers a comfortable, flexible nylon upgrade for single-sided stilts. Includes two bands, two straps, and hardware.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/SurPro/Products/surss1005p.webp,Stilts & Accessories > SurPro > Stilt Accessories,"SurPro leg bands, SURSS1005P, drywall stilt parts, stilt comfort upgrade, SurPro S1 stilt accessories",1448,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,SurPro,1,1,SurPro Plastic Leg Band Kit (SURSS1005P) | Nylon Construction,"Upgrade your stilts with the SurPro Plastic Leg Band Kit (SURSS1005P). Features flexible, durable nylon for superior comfort and reduced leg fatigue."
