ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
11026,variable,ASGANGLEHEAD,,Asgard Angle Head,1,0,visible,"The Asgard Angle Head delivers a professional feather finish to internal corners in one pass, significantly increasing speed and consistency. Available in multiple sizes, it features stainless steel construction and EasyRoll wheels for smooth, reliable.","<p>Asgard Angle Head is a professional-grade tool engineered to feather joint compound across both sides of internal corners in a single, efficient pass. Designed for both wall-to-wall and wall-to-ceiling applications, this tool excels at wiping down excess compound and embedding tape after the initial rolling phase. When paired with a support handle and adapter, this finisher provides the necessary leverage and precision to achieve a smooth, paint-ready surface. Its robust construction ensures it stands up to the rigors of high-volume drywall finishing.</p><p><strong>Features:</strong></p></p><ul><li><strong>Stainless Steel Frames:</strong> Provides exceptional durability and corrosion resistance for a long service life.</li><li><strong>EasyRoll Wheels:</strong> Minimizes friction against the drywall surface, allowing for faster movement and reduced user fatigue.</li><li><strong>Adjustable Springs:</strong> Enables the user to customize the tension to suit different compound consistencies and finishing preferences.</li><li><strong>Patented Ball Retainer:</strong> Ensures a secure and stable connection to the handle, preventing accidental detachment during use.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Asgard > Corner Tools,"AH25-AD, AH30-AD, AH35-AD, angle head, Asgard, corner finisher, corner flusher, Corner Tools, finisher, ASGANGLEHEAD, corner",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ah25-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ah30-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ah35-ad-01.webp",,,,,,,,,0,Asgard,Angle Head Size,"2.5"", 3"", 3.5""",1,0,"2.5""","Asgard, angle head, corner tool, flusher, finisher, AH25-AD, AH30-AD, AH35-AD, drywall finishing, Asgard Angle Head, ASGANGLEHEAD, corner, 2.5"", 3"", 3.5""",Asgard Angle Head | Asgard ASGANGLEHEAD,"The Asgard Angle Head delivers a professional feather finish to internal corners in one pass, significantly increasing speed and consistency. Available in.",/product/asgard-angle-head/,"index, follow",Asgard Angle Head,"AH25-AD, AH30-AD, AH35-AD, angle head, Asgard, corner finisher, corner flusher, Corner Tools",Asgard,"AH25-AD, AH30-AD, AH35-AD",NewCondition,asgard,Asgard,tool,parent_container,corner,corner_tools,0,,size,,,AH25AD,,0,,,,,,ready,,Asgard,,,,
11033,variable,ASGFINISHINGBOX,,Asgard Finishing Box,1,0,visible,"The Asgard Finishing Box automates joint compound application and edge feathering for professional flat and butt joints. Available in 7-inch, 10-inch, and 12-inch sizes to suit every finishing stage.","<p>Asgard Finishing Box is a high-efficiency tool designed to automate the application of joint compound to flat and butt joints on walls and ceilings. This professional-grade box dispenses the exact amount of mud required while simultaneously feathering the edges in a single pass, significantly reducing the time spent on manual finishing. The integrated adjustable crown setting dial provides precise control over compound thickness, allowing for seamless transitions between initial embedding and final finishing coats. To ensure consistent results on uneven surfaces, the pivoting axle automatically compensates when gypsum board heights vary across a joint. Constructed with an anodized aluminum body and a solid brass blade holder, this tool is engineered for durability and long-term performance in demanding jobsite conditions. </p></p><h3>Features</h3></p><ul><li><strong>Anodized Aluminum Construction:</strong> Provides a lightweight yet rugged housing that resists corrosion and wear.</li><li><strong>Adjustable Crown Control:</strong> Allows operators to dial in the specific amount of joint compound for different finishing stages.</li><li><strong>Solid Brass Blade Holder:</strong> Ensures the hardened steel blade maintains the correct pressure for a smooth, professional finish.</li><li><strong>Hardened Steel Blade:</strong> Delivers clean, consistent feathering across thousands of linear feet of drywall.</li><li><strong>Pivoting Axle:</strong> Maintains a level finish even when one side of the drywall joint is higher than the other.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, automatic taping tools, EZ07-AD, EZ10-AD, EZ12-AD, flat box, Flat Boxes, flatbox, ASGFINISHINGBOX, finishing",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ez07-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ez10-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ez12-ad-01.webp",,,,,,,,,0,Asgard,Size,"7"", 10"", 12""",1,0,"7""","Asgard, flatbox, mud box, EZ07-AD, EZ10-AD, EZ12-AD, drywall finishing, automatic taper, Asgard Finishing Box, ASGFINISHINGBOX, finishing, 7"", 10"", 12""",Asgard Finishing Box | Asgard ASGFINISHINGBOX,"The Asgard Finishing Box automates joint compound application and edge feathering for professional flat and butt joints. Available in 7-inch, 10-inch, and.",/product/asgard-finishing-box/,"index, follow",Asgard Finishing Box,"Asgard, automatic taping tools, EZ07-AD, EZ10-AD, EZ12-AD, flat box, Flat Boxes, flatbox",Asgard,"EZ07-AD, EZ10-AD, EZ12-AD",NewCondition,asgard,Asgard,tool,parent_container,finishing,finishing_boxes,0,,size,,,EZ07AD,,0,,,,,,ready,,Asgard,,,,
11040,variable,ASGMAXXBOXFINISHINGBOX,,Asgard MAXXBOX Finishing Box,1,0,visible,The Asgard MAXXBOX Finishing Box delivers high-capacity joint compound application with precision crown control for professional-grade flat and butt joint finishing. Its optimized design provides more usable mud per fill to maximize jobsite efficiency.,"<p>Asgard MAXXBOX Finishing Box is a high-capacity drywall tool engineered to streamline the application of joint compound on flat and butt joints. This professional-grade box automatically dispenses the correct amount of mud while simultaneously feathering the edges for a seamless finish in a single pass. The design focuses on an optimized capacity-to-weight ratio, providing significantly more usable compound than standard boxes to keep you working longer between refills. With an adjustable crown setting and a pivoting axle, it ensures consistent results even when working on uneven gypsum board surfaces. </p><p><strong>Features:</strong></p></p><ul><li><strong>High-Capacity Reservoir:</strong> Delivers up to 60% more usable joint compound than standard finishing boxes, significantly increasing jobsite efficiency.</li><li><strong>Adjustable Crown Control:</strong> Features a precision dial to regulate the amount of compound applied, allowing for easy transitions between first and final coats.</li><li><strong>Pivoting Axle:</strong> Automatically compensates for height variances between drywall sheets to maintain a level finish across the joint.</li><li><strong>EasyClean Pressure Plate:</strong> Simplifies the maintenance process with a design that allows for quick and thorough cleaning after use.</li><li><strong>Durable Construction:</strong> Built with an anodized aluminum body and a solid brass blade holder for long-term reliability on demanding jobsites.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, EHC07-AD, EHC10-AD, EHC12-AD, finishing box, flat box, Flat Boxes, flatbox, maxx box, MAXXBOX, ASGMAXXBOXFINISHINGBOX, finishing",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ehc07-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ehc10-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ehc12-ad-01.webp",,,,,,,,,0,Asgard,Size,"7"", 10"", 12""",1,0,"7""","Asgard, MAXXBOX, EHC07-AD, EHC10-AD, EHC12-AD, flatbox, mud box, Asgard MAXXBOX Finishing Box, ASGMAXXBOXFINISHINGBOX, finishing, 7"", 10"", 12""",Asgard MAXXBOX Finishing Box | Asgard ASGMAXXBOXFINISHINGBOX,The Asgard MAXXBOX Finishing Box delivers high-capacity joint compound application with precision crown control for professional-grade flat and butt joint.,/product/asgard-maxxbox-finishing-box/,"index, follow",Asgard MAXXBOX Finishing Box,"Asgard, EHC07-AD, EHC10-AD, EHC12-AD, finishing box, flat box, Flat Boxes, flatbox",Asgard,"EHC07-AD, EHC10-AD, EHC12-AD",NewCondition,asgard,Asgard,tool,parent_container,finishing,finishing_boxes,0,,size,,,EHC07AD,,0,,,,,,ready,,Asgard,,,,
11047,variable,ASGPOWERASSISTMAXXBOXFINISHINGBOX,,Asgard Power Assist MAXXBOX Finishing Box,1,0,visible,The Asgard Power Assist MAXXBOX Finishing Box delivers high-capacity compound distribution with 50% less physical effort. This professional-grade tool features an adjustable crown dial and pivoting axle for a flawless finish on every drywall joint.,"<p>Asgard Power Assist MAXXBOX Finishing Box is a high-capacity drywall tool engineered to reduce physical strain while maintaining professional finish quality. By utilizing a reverse spring mechanism, this box requires half the effort of standard finishing tools to dispense joint compound and feather edges in a single pass. The high-capacity design allows for longer runs between refills, significantly increasing productivity on large-scale projects.</p><p>The adjustable crown dial provides precise control over compound thickness for every coat, from initial embedding to final finishing. A pivoting axle ensures consistent contact on uneven surfaces, making it ideal for both butt joints and flat joints on walls or ceilings. Constructed from anodized aluminum with a solid brass blade holder, this tool is built for the rigors of daily professional use.</p><p><strong>Features:</strong></p></p><ul><li><strong>Power Assist Technology:</strong> Uses reverse springs to reduce the physical force required by 50% during application.</li><li><strong>MAXXBOX Capacity:</strong> Holds significantly more joint compound than standard boxes for increased efficiency and fewer refills.</li><li><strong>Adjustable Crown Control:</strong> Features a precision dial to regulate the amount of compound applied for embedding or finishing coats.</li><li><strong>EasyClean Pressure Plate:</strong> Simplifies the maintenance process with a design that opens wide for thorough cleaning.</li><li><strong>Anodized Aluminum Construction:</strong> Provides a lightweight yet durable body resistant to corrosion and wear.</li><li><strong>Pivoting Axle:</strong> Automatically adjusts to compensate for variations in gypsum board height on either side of the joint.</li><li><strong>Solid Brass Blade Holder:</strong> Ensures long-lasting durability and consistent blade pressure for a smooth, feathered finish.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, auto box, auto flat, auto flat box, automatic, finishing box, flat box, Flat Boxes, PA07-AD, PA10-AD, PA12-AD, power assist, ASGPOWERASSISTMAXXBOXFINISHINGBOX, finishing",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-pa07-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-pa10-ad-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-pa12-ad-01.webp",,,,,,,,,0,Asgard,Size,"7"", 10"", 12""",1,0,"7""","PA07-AD, PA10-AD, PA12-AD, asgard flat box, power assist box, maxxbox, drywall finishing, Asgard, Asgard Power Assist MAXXBOX Finishing Box, ASGPOWERASSISTMAXXBOXFINISHINGBOX, finishing, 7"", 10"", 12""",Asgard Power Assist MAXXBOX Finishing Box | Asgard.,The Asgard Power Assist MAXXBOX Finishing Box delivers high-capacity compound distribution with 50% less physical effort. This professional-grade tool.,/product/asgard-power-assist-maxxbox-finishing-box/,"index, follow",Asgard Power Assist MAXXBOX Finishing Box,"Asgard, auto box, auto flat, auto flat box, automatic, finishing box, flat box, Flat Boxes",Asgard,"PA07-AD, PA10-AD, PA12-AD",NewCondition,asgard,Asgard,tool,parent_container,finishing,finishing_boxes,0,,size,,,PA07AD,,0,,,,,,ready,,Asgard,,,,
11053,simple,AT01AD,,Asgard The HAMMER™ Automatic Taper,1,0,visible,The Asgard HAMMER™ Automatic Taper streamlines drywall finishing by simultaneously applying tape and compound to flat joints and internal corners. Its ergonomic design and corrosion-resistant components ensure professional-grade durability and comfort.,"<p>Asgard The HAMMER™ Automatic Taper is a high-performance drywall finishing tool engineered for maximum efficiency on walls and ceilings. This professional-grade taper simultaneously applies joint tape and the optimal amount of compound to flat joints and internal corners, significantly reducing labor time compared to manual methods. Built for durability in demanding job site conditions, the AT01-AD model utilizes corrosion-resistant materials and ergonomic design improvements to ensure consistent performance. The enclosed rollers on the control tube prevent hand pinching, while the slim tube protector ensures a comfortable grip during extended use. </p></p><h3>Features:</h3></p><ul><li><strong>Corrosion Resistance:</strong> Features stainless steel side plates and a hard anodized push rod and cable drum for long-term reliability.</li><li><strong>Ergonomic Control:</strong> Enclosed rollers on the control tube protect hands from pinching and provide a smooth, comfortable grip.</li><li><strong>Precision Cutting:</strong> The control tube flange offers a positive grip for clean tape cuts, even when reaching for high ceilings.</li><li><strong>Easy Maintenance:</strong> A tool-less tube protector design allows for rapid removal, simplifying cleaning and cable replacement.</li><li><strong>Versatile Application:</strong> Efficiently tapes butt joints, flat joints, and internal corners on both walls and ceilings.</li></ul>",,,taxable,,1,,,0,0,9.25,,,,1,,,1402.0,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"Asgard, AT01-AD, automatic taping tools, bazooka, taper, the hammer, AT01AD, taping",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-at01-ad-01.webp,,,,,,,,,0,Asgard,,,,,,"Asgard, Hammer, Taper, AT01-AD, Bazooka, Drywall Tool, Automatic Taper, Asgard The HAMMER™ Automatic Taper, AT01AD, taping",Asgard The HAMMER™ Automatic Taper | Asgard AT01AD,The Asgard HAMMER™ Automatic Taper streamlines drywall finishing by simultaneously applying tape and compound to flat joints and internal corners. Its.,/product/asgard-the-hammertm-automatic-taper/,"index, follow",Asgard The HAMMER™ Automatic Taper,"Asgard, AT01-AD, automatic taping tools, bazooka, taper, the hammer, AT01AD, taping",Asgard,AT01-AD,NewCondition,asgard,Asgard,tool,purchasable,taping,automatic_taping_tools,0,,,,,,,0,,,,,,ready,,Asgard,,,,
11056,simple,BBHAD,,"Asgard Brakeless Box Handle (Fixed Length) - 34""",1,0,visible,The Asgard 34-inch Brakeless Box Handle features a friction brake system that removes the learning curve for professional drywall finishing. This lightweight fiberglass handle offers ergonomic control and fits all Asgard finishing boxes.,"<p>Asgard Brakeless Box Handle (Fixed Length) - 34"" is a high-performance drywall tool designed to simplify the finishing process by removing the traditional brake learning curve. This handle utilizes a specialized friction brake system that allows users to maintain consistent pressure and control on flat joints without complex manual adjustments.</p><p>Constructed from durable fiberglass, the handle is both lightweight and easy to maintain, ensuring long-term reliability on the job site. It integrates seamlessly with the full range of Asgard finishing boxes, providing a stable connection for smooth application on both walls and ceilings.</p></p><h3>Features</h3></p><ul><li><strong>Friction Brake Design:</strong> Eliminates the steep learning curve of standard handles, allowing for immediate professional results.</li><li><strong>Ergonomic Adjustment:</strong> Includes a specialized knob to fine-tune friction levels based on user preference and job requirements.</li><li><strong>Fiberglass Build:</strong> Offers a lightweight yet robust structure that resists wear and is simple to clean after use.</li><li><strong>Optimized Diameter:</strong> Engineered with a specific handle thickness to improve grip and reduce operator fatigue during long shifts.</li><li><strong>34-Inch Fixed Length:</strong> Provides a balanced reach for standard residential and commercial drywall finishing tasks.</li></ul>",,,taxable,,1,,,0,0,2.95,,,,1,,,142.0,Drywall Finishing Tools > Asgard > Handles & Extensions,"Asgard, BBH-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle, Handles & Extensions, BBHAD, handles",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-bbh-ad-01.webp,,,,,,,,,0,Asgard,,,,,,"Asgard BBH-AD, 34 inch box handle, brakeless drywall handle, flat box pole, friction brake handle, Asgard, Asgard Brakeless Box Handle (Fixed Length) - 34"", BBHAD, handles","Asgard Brakeless Box Handle (Fixed Length) - 34"" | Asgard BBHAD",The Asgard 34-inch Brakeless Box Handle features a friction brake system that removes the learning curve for professional drywall finishing. This.,/product/asgard-brakeless-box-handle-fixed-length-34/,"index, follow","Asgard Brakeless Box Handle (Fixed Length) - 34""","Asgard, BBH-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle, Handles & Extensions, BBHAD",Asgard,BBH-AD,NewCondition,asgard,Asgard,tool,purchasable,handles,handles_and_extensions,0,,,,,,,0,,,,,,ready,,Asgard,,,,
11059,simple,BBHEAD,,Asgard Brakeless Box Extendable Handle - 38” - 60”,1,0,visible,"The Asgard Brakeless Box Extendable Handle features a friction brake design that simplifies flat box operation for faster, professional results. Its telescoping reach adjusts from 38 to 60 inches, providing versatile control for walls and ceilings.","<p>Asgard Brakeless Box Extendable Handle - 38” - 60” simplifies the drywall finishing process by replacing traditional mechanical brakes with an intuitive friction system. This design eliminates the complex learning curve for new users while providing seasoned professionals with a more fluid, consistent experience when finishing flat joints on walls and ceilings.</p><p>The telescoping aluminum construction allows for rapid adjustments between 38 and 60 inches, making it an ideal choice for standard rooms and high-reach areas alike. With its optimized diameter and ergonomic adjustment knob, this handle ensures maximum control and reduced hand fatigue throughout the workday.</p><p><strong>Features:</strong></p></p><ul><li><strong>Friction Brake Design:</strong> Provides consistent resistance without the need for manual lever engagement, making it easier to achieve professional results immediately.</li><li><strong>Telescoping Reach:</strong> Adjusts from 38 inches to 60 inches (97 cm to 152 cm) to handle various job site requirements without switching tools.</li><li><strong>Ergonomic Control:</strong> Features an optimized handle diameter and a large adjustment knob for precise friction tuning and comfort.</li><li><strong>Universal Fit:</strong> Designed to attach securely to all Asgard finishing boxes for reliable performance on every joint.</li><li><strong>Durable Construction:</strong> Built with high-grade materials to withstand the rigors of professional drywall finishing environments.</li></ul>",,,taxable,,1,,,0,0,3.85,,,,1,,,294.0,Drywall Finishing Tools > Asgard > Handles & Extensions,"Asgard, BBHE-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle, Handles & Extensions, BBHEAD, handles",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-bbhe-ad-01.webp,,,,,,,,,0,Asgard,,,,,,"Asgard, BBHE-AD, brakeless handle, extendable drywall handle, 38-60 inch handle, flat box extension, Asgard Brakeless Box Extendable Handle - 38” - 60”, BBHEAD, handles",Asgard Brakeless Box Extendable Handle - 38” - 60” | Asgard,"The Asgard Brakeless Box Extendable Handle features a friction brake design that simplifies flat box operation for faster, professional results. Its.",/product/asgard-brakeless-box-extendable-handle-38-60/,"index, follow",Asgard Brakeless Box Extendable Handle - 38” - 60”,"Asgard, BBHE-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle, Handles & Extensions, BBHEAD",Asgard,BBHE-AD,NewCondition,asgard,Asgard,tool,purchasable,handles,handles_and_extensions,0,,,,,,,0,,,,,,ready,,Asgard,,,,
11062,simple,CA08AD,,Asgard Applicator Box – Head Only,1,0,visible,"The Asgard CA08-AD Corner Applicator delivers a consistent supply of joint compound to angle heads for fast, professional internal corner finishing. Its stainless steel construction and anti-rotation adapter ensure long-term reliability on the job site.","<p>Asgard Applicator Box – Head Only is a professional-grade tool designed to supply joint compound directly to angle heads for seamless internal corner finishing. This unit streamlines the taping process by providing a consistent flow of material, significantly reducing manual effort on drywall angles. The CA08-AD is engineered for durability and precision in high-volume environments, integrating with standard support handles to provide a stable, high-capacity reservoir for compound application. </p></p><h3>Features</h3></p><ul><li><strong>Stainless Steel Cone:</strong> Provides long-lasting durability and resists corrosion from joint compound.</li><li><strong>D-Shaped Adapter:</strong> Prevents unwanted rotation during use, ensuring the tool remains stable and aligned.</li><li><strong>High-Efficiency Flow:</strong> Optimized for rapid material delivery to angle heads for faster finishing cycles.</li><li><strong>Professional Compatibility:</strong> Designed specifically for use with FH-AD or XH-AD support handles.</li></ul>",,,taxable,,1,,,0,0,2.8,,,,1,,,298.0,Drywall Finishing Tools > Asgard > Corner Tools,"Asgard, CA08-AD, corner angle box, corner box, corner finisher box, corner flusher box, cornerbox, Flat Boxes, flusher box, CA08AD, corner",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ca08-ad-01.webp,,,,,,,,,0,Asgard,,,,,,"CA08-AD, corner box, flusher box, angle head supply, asgard applicator, Asgard, Asgard Applicator Box – Head Only, CA08AD, corner",Asgard Applicator Box – Head Only | Asgard CA08AD,"The Asgard CA08-AD Corner Applicator delivers a consistent supply of joint compound to angle heads for fast, professional internal corner finishing. Its.",/product/asgard-applicator-box-head-only/,"index, follow",Asgard Applicator Box – Head Only,"Asgard, CA08-AD, corner angle box, corner box, corner finisher box, corner flusher box, cornerbox, Flat Boxes",Asgard,CA08-AD,NewCondition,asgard,Asgard,tool,purchasable,corner,corner_tools,0,,,,,,,0,,,,,,ready,,Asgard,,,,
11065,simple,CFAAD,,Asgard Angle Head Adapter,1,0,visible,The Asgard Angle Head Adapter securely connects 2.5-inch and 3-inch angle heads to XH-AD or FH-AD support handles for efficient corner finishing. It is an essential component for wiping down excess joint compound during the taping process.,"<p>Asgard Angle Head Adapter provides a critical link between your finishing tools and support handles during the drywall taping phase. This adapter is engineered to facilitate the smooth removal of excess joint compound from internal corners immediately after the corner roller has been used. By bridging the gap between the angle head and the handle, this component ensures a stable and controlled motion for professional-grade finishing. It is a necessary accessory for contractors utilizing semi-automatic taping systems. </p></p><h3>Features:</h3></p><ul><li><strong>Universal Compatibility:</strong> Designed to fit both 2.5-inch and 3-inch angle heads for versatile job site application.</li><li><strong>Secure Handle Integration:</strong> Connects firmly to XH-AD or FH-AD support handles to prevent slipping or wobbling during use.</li><li><strong>Efficient Finishing:</strong> Streamlines the process of wiping down internal corners for a cleaner, more consistent finish.</li></ul>",,,taxable,,1,,,0,0,0.7,,,,1,,,45.0,Drywall Finishing Tools > Asgard > Corner Tools,"accessory, adaptor, angle head adaptor, Asgard, CFA-AD, Corner Tools, semi automatic, CFAAD, corner",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-cfa-ad-01.webp,,,,,,,,,0,Asgard,,,,,,"CFA-AD, Asgard adapter, corner finisher adapter, angle head handle mount, Asgard, Asgard Angle Head Adapter, CFAAD, corner",Asgard Angle Head Adapter | Asgard CFAAD,The Asgard Angle Head Adapter securely connects 2.5-inch and 3-inch angle heads to XH-AD or FH-AD support handles for efficient corner finishing. It is an.,/product/asgard-angle-head-adapter/,"index, follow",Asgard Angle Head Adapter,"accessory, adaptor, angle head adaptor, Asgard, CFA-AD, Corner Tools, semi automatic, CFAAD",Asgard,CFA-AD,NewCondition,asgard,Asgard,accessory,purchasable,corner,corner_tools,0,,,,,,,0,,,,,,ready,,Asgard,,,,
11068,simple,CR01AD,,Asgard Inside Corner Roller – Head Only,1,0,visible,"The Asgard CR01-AD Inside Corner Roller head provides professional-grade tape embedding and excess compound removal for crisp, durable internal drywall joints.","<p>Asgard Inside Corner Roller – Head Only is a professional-grade tool engineered to efficiently embed joint tape into internal 90-degree corners. Designed for use immediately after tape application with an automatic taper, this head ensures a secure, bubble-free bond by forcing the tape deep into the joint. It effectively displaces excess joint compound from behind the tape, creating a perfectly prepared surface for finishing with an angle head or flusher. Built with high-quality stainless steel rollers, the CR01-AD provides crisp edges and exceptional durability for high-volume drywall finishing. </p><p>The unit is compatible with FH-AD or XH-AD support handles, allowing for extended reach on walls and ceilings without the need for stilts or ladders.</p></p><h3>Features</h3></p><ul><li><strong>Stainless Steel Rollers:</strong> Delivers long-lasting performance and creates sharp, clean internal corners.</li><li><strong>Precision Tape Embedding:</strong> Quickly secures joint tape into the compound for a professional, consistent finish.</li><li><strong>Compound Management:</strong> Forces out excess mud to streamline the next stage of the finishing process.</li><li><strong>Easy-Clean Design:</strong> Open wheel architecture allows for rapid cleanup and maintenance at the end of the shift.</li></ul>",,,taxable,,1,,,0,0,2,,,,1,,,178.0,Drywall Finishing Tools > Asgard > Corner Tools,"Asgard, corner roller, Corner Tools, CR01-AD, inside corner roller, CR01AD, corner",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-cr01-ad-01.webp,,,,,,,,,0,Asgard,,,,,,"CR01AD, Asgard roller head, drywall finishing tools, corner tape roller, internal angle tool, Asgard, Asgard Inside Corner Roller – Head Only, corner",Asgard Inside Corner Roller – Head Only | Asgard CR01AD,"The Asgard CR01-AD Inside Corner Roller head provides professional-grade tape embedding and excess compound removal for crisp, durable internal drywall.",/product/asgard-inside-corner-roller-head-only/,"index, follow",Asgard Inside Corner Roller – Head Only,"Asgard, corner roller, Corner Tools, CR01-AD, inside corner roller, CR01AD, corner",Asgard,CR01-AD,NewCondition,asgard,Asgard,tool,purchasable,corner,corner_tools,0,,,,,,,0,,,,,,ready,,Asgard,,,,
