ID,Type,SKU,Name,sku_norm,reason
,variation,3DF,"Columbia Direct Flusher - 3""",3DF,no-exact-candidate-match
,variation,3.5DF,"Columbia Direct Flusher - 3.5""",35DF,no-exact-candidate-match
,variation,4DF,"Columbia Direct Flusher - 4""",4DF,no-exact-candidate-match
,variation,3CSF,"Columbia Combo Flusher - 3""",3CSF,no-exact-candidate-match
,variable,COL-NAIL-SPOTTER-WHEEL-KIT,Columbia Nail Spotter Wheel Conversion Kit,COLNAILSPOTTERWHEELKIT,no-exact-candidate-match
,variation,HNSA-5-2,"Columbia Nail Spotter Wheel Conversion Kit - 2""",HNSA52,no-exact-candidate-match
,variation,HNSA-5-3,"Columbia Nail Spotter Wheel Conversion Kit - 3""",HNSA53,no-exact-candidate-match
,variation,ICATW,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,ICATW,no-exact-candidate-match
,variation,PC1HEXT,Columbia Predator One Handle - Extendable 3'-5',PC1HEXT,no-exact-candidate-match
,variation,PCHXL,Columbia Predator One Handle - Long Extendable 4'-8',PCHXL,no-exact-candidate-match
,variation,PMHS,"Columbia Predator Matrix Handle - Short 29""-39""",PMHS,no-exact-candidate-match
,variable,TT-CARBON-FIBER-BOX-HANDLE,TapeTech Carbon Fiber Box Handle,TTCARBONFIBERBOXHANDLE,no-exact-candidate-match
,variation,FBH2642TT-CF,"TapeTech Carbon Fiber Box Handle - 26""-42""",FBH2642TTCF,no-exact-candidate-match
,variation,FBH4272TT-CF,"TapeTech Carbon Fiber Box Handle - 42""-72""",FBH4272TTCF,no-exact-candidate-match
,variable,TT-STAINLESS-STEEL-MUD-PAN,TapeTech Stainless Steel Mud Pan,TTSTAINLESSSTEELMUDPAN,no-exact-candidate-match
,variation,MP12SSTT,"TapeTech Stainless Steel Mud Pan - 12""",MP12SSTT,no-exact-candidate-match
,variation,MP14SSTT,"TapeTech Stainless Steel Mud Pan - 14""",MP14SSTT,no-exact-candidate-match
,variable,TT-FINISHING-HAWK,TapeTech Finishing Hawk,TTFINISHINGHAWK,no-exact-candidate-match
,variation,HAWK001-PS,"TapeTech Finishing Hawk - 13"" x 13"" Aluminum",HAWK001PS,no-exact-candidate-match
,variation,HAWK002-PS,"TapeTech Finishing Hawk - 13"" x 13"" Premium Anodized",HAWK002PS,no-exact-candidate-match
,variable,TT-BASIC-FULL-SET,TapeTech Basic Full Set,TTBASICFULLSET,no-exact-candidate-match
,variation,TTFULL7/10,"TapeTech Basic Full Set - 7"" and 10"" Boxes",TTFULL710,no-exact-candidate-match
,variation,TTFULL10/12,"TapeTech Basic Full Set - 10"" and 12"" Boxes",TTFULL1012,no-exact-candidate-match
,variable,TT-BASIC-JUMBO-SET,TapeTech Basic Jumbo Set,TTBASICJUMBOSET,no-exact-candidate-match
,variation,TTJUMBO7/10,"TapeTech Basic Jumbo Set - 7"" and 10"" Boxes",TTJUMBO710,no-exact-candidate-match
,variation,TTJUMBOO10/12,"TapeTech Basic Jumbo Set - 10"" and 12"" Boxes",TTJUMBOO1012,no-exact-candidate-match
,simple,ITC-K,Columbia Track Conversion Kit,ITCK,no-exact-candidate-match
,simple,NSW01,TapeTech Nailspotter Wheel Kit,NSW01,no-exact-candidate-match
,simple,70171,TapeTech 2 Pump Set,70171,no-exact-candidate-match
,simple,70173,"TapeTech 10"" and 12"" Full Set",70173,no-exact-candidate-match
,simple,TTFBC,TapeTech Flat Box Combo TTFBC,TTFBC,no-exact-candidate-match
,simple,TTFFS,TapeTech Value Drywall Finishing Set,TTFFS,no-exact-candidate-match
,simple,TTFINISH7/10,TapeTech Taping Tools Drywall Finishing Set,TTFINISH710,no-exact-candidate-match
,simple,TTFTFS,TapeTech Value Full Drywall Taping & Finishing Set,TTFTFS,no-exact-candidate-match
,simple,TTFULL2SET,TapeTech Full Set X2 Contractors Pack,TTFULL2SET,no-exact-candidate-match
,simple,TTPFB,TapeTech Paper Faced Bead Pro Set TTPFB,TTPFB,no-exact-candidate-match
,simple,MT01TT,TapeTech 9-in-1 Stainless Steel Multi-tool,MT01TT,no-exact-candidate-match
,simple,PKL001,TapeTech Pocket Kicker Lift Tool,PKL001,no-exact-candidate-match
,variable,COL-MUD-ROLLER-REPLACEMENT,Columbia Mud Roller Replacement,COLMUDROLLERREPLACEMENT,no-exact-candidate-match
,variation,FMR3X18MM,"Columbia Mud Roller Replacement - 80 mm / 3""",FMR3X18MM,no-exact-candidate-match
,variation,FMR9X18MM,"Columbia Mud Roller Replacement - 220 mm / 9""",FMR9X18MM,no-exact-candidate-match
,variable,TT-COMBO-CORNER-FLUSHER,TapeTech Combo Corner Flusher,TTCOMBOCORNERFLUSHER,no-exact-candidate-match
,variation,CF25COMBO,"TapeTech Combo Corner Flusher - 2.5""",CF25COMBO,no-exact-candidate-match
