"old_parent_sku","old_parent_name","new_simple_parent_sku","new_simple_sku","new_simple_name","child_count"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","Columbia 180 Grip Box Handle Repair Parts","COL-BH1-MOUNTING-PLATE","BH1__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH1 - Mounting Plate","24"
"COL-COLUMBIA-ANGLE-HEAD-BLADE-REPAIR-KIT","Columbia Angle Head Blade Maintenance Kit","COL-COLUMBIA-ANGLE-HEAD-BLADE-MAINTENANCE-KIT-2","AHR-BK-2","Columbia Angle Head Blade Maintenance Kit - 2""","4"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","Columbia Angle Head Repair Parts","COL-AH1-2-HEAD-CASTING-2","AH1-2","AH1-2 - Head Casting -2""","27"
"COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT","Columbia Angle Head Spring Repair Kit","COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT-2","AHR-2-2","Columbia Angle Head Spring Repair Kit - 2""","4"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","Columbia Automatic Taper Body Repair Parts","COL-CT103-BARREL-MAIN-BODY","CT103","CT103 - Barrel- Main Body","31"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","Columbia Automatic Taper Head Repair Parts","COL-CT101-RETURN-SPRING","CT101","CT101 - Return Spring","100"
"COL-COLUMBIA-BEAD-WHEEL-CONVERSION-KIT","Columbia Bead Wheel Conversion Kit","COL-COLUMBIA-BEAD-WHEEL-CONVERSION-KIT-10","FFBR-40-10","Columbia Bead Wheel Conversion Kit - 10""","4"
"COL-COLUMBIA-BOX-BLADE-BAR-REPAIR-KIT-7-14","Columbia Box Blade Bar Repair Kit","COL-COLUMBIA-BOX-BLADE-BAR-REPAIR-KIT-10","FFBR-2-10","Columbia Box Blade Bar Repair Kit - 10""","5"
"COL-COLUMBIA-BOX-BLADE-MAINTENANCE-KIT","Columbia Box Blade Maintenance Kit","COL-COLUMBIA-BOX-BLADE-MAINTENANCE-KIT-10","FFBR-9-10","Columbia Box Blade Maintenance Kit - 10""","6"
"COL-COLUMBIA-BOX-FILLER-ADAPTOR-PARTS","Columbia Box Filler Adaptor Parts","COL-MP23A-O-RING","MP23A__COLUMBIA-BOX-FILLER-ADAPTOR-PARTS","MP23A - O-Ring","5"
