Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Asgard,4I-SJ80-1WRWGROUP,4I-SJ80-1WRWGROUP,Asgard Angle Box W/ Handle,variable,"<p>Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) is a professional-grade applicator engineered to streamline the application of joint compound in internal drywall corners. By pairing with an angle head, this tool ensures a uniform, high-quality finish in a single pass, significantly reducing manual taping and sanding time. The unit is built to withstand the rigors of active job sites while maintaining consistent performance.</p><p>The tool features a lightweight, anodized aluminum body that minimizes operator fatigue during extended use. The included extendable support handle provides the necessary reach for high corners and ceilings, eliminating the need for constant ladder repositioning. A durable stainless steel nose cone ensures smooth compound flow and long-term reliability.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> The 8-inch box holds more compound, allowing for longer runs and increased productivity between refills.</li><li><strong>Extendable Reach:</strong> Includes an adjustable support handle to access high-angle corners without additional equipment.</li><li><strong>Durable Build:</strong> Constructed with an anodized aluminum frame and a stainless steel nose cone for corrosion resistance and longevity.</li><li><strong>Professional Finish:</strong> Engineered to work with angle heads for consistent, clean corner coating in one pass.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Box Size | 8 inches | | Material | Anodized Aluminum, Stainless Steel | | SKU | 4I-SJ80-1WRW | | UPC | 0873876005260 | | Set Includes | 8"" Angle Box, Extendable Support Handle |</p>","Asgard 8-inch angle box with extendable handle for efficient, uniform joint compound application in internal drywall corners.",373.99,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/4i-sj80-1wrw.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/4k-s6f6-8hq6.webp,Asgard > Corner & Angle Tools,"Asgard angle box, drywall corner tool, 8 inch angle box, joint compound applicator, drywall finishing tools, Asgard Angle Box, drywall corner finishing, 4K-S6F6-8HQ6",,1,,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Length,"8""",1,1,Asgard Asgard Angle Box W/ Handle | Corner & Angle Tools,"Apply joint compound to drywall corners efficiently with this $430 Asgard 8"" angle box. Features an extendable handle and durable stainless steel nose cone."
Asgard,4I-SJ80-1WRW,4I-SJ80-1WRW,"Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) (4I-SJ80-1WRW)",variation,"<p>Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) is a professional-grade applicator engineered to streamline the application of joint compound in internal drywall corners. By pairing with an angle head, this tool ensures a uniform, high-quality finish in a single pass, significantly reducing manual taping and sanding time. The unit is built to withstand the rigors of active job sites while maintaining consistent performance.</p><p>The tool features a lightweight, anodized aluminum body that minimizes operator fatigue during extended use. The included extendable support handle provides the necessary reach for high corners and ceilings, eliminating the need for constant ladder repositioning. A durable stainless steel nose cone ensures smooth compound flow and long-term reliability.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> The 8-inch box holds more compound, allowing for longer runs and increased productivity between refills.</li><li><strong>Extendable Reach:</strong> Includes an adjustable support handle to access high-angle corners without additional equipment.</li><li><strong>Durable Build:</strong> Constructed with an anodized aluminum frame and a stainless steel nose cone for corrosion resistance and longevity.</li><li><strong>Professional Finish:</strong> Engineered to work with angle heads for consistent, clean corner coating in one pass.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Box Size | 8 inches | | Material | Anodized Aluminum, Stainless Steel | | SKU | 4I-SJ80-1WRW | | UPC | 0873876005260 | | Set Includes | 8"" Angle Box, Extendable Support Handle |</p>","Asgard 8-inch angle box with extendable handle for efficient, uniform joint compound application in internal drywall corners.",430.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/4i-sj80-1wrw.webp,Asgard > Corner & Angle Tools,"Asgard angle box, drywall corner tool, 8 inch angle box, joint compound applicator, drywall finishing tools",,1,,,,,taxable,,1,,,0,0,,,,,1,,,,,4I-SJ80-1WRWGROUP,,,,,,Length,"8""",1,1,"Asgard 8"" Angle Box (4I-SJ80-1WRW) | Anodized Aluminum Body","Apply joint compound to drywall corners efficiently with this $430 Asgard 8"" angle box. Features an extendable handle and durable stainless steel nose cone."
Asgard,4K-S6F6-8HQ6,4K-S6F6-8HQ6,"Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) (4K-S6F6-8HQ6)",variation,"<p>Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) is a professional-grade tool engineered to streamline internal corner finishing in drywall applications. By automating the application of joint compound, this unit ensures a uniform, high-quality finish that significantly reduces the time required for manual sanding and cleanup. Its robust construction is built to withstand the daily demands of active job sites, providing reliable performance for both residential and commercial projects.</p><p><strong>Features:</strong></p><ul><li><strong>Efficient Application:</strong> Accelerates the corner finishing process by delivering a consistent layer of compound in a single pass.</li><li><strong>Fixed Handle Stability:</strong> Provides superior leverage and control, reducing operator fatigue during repetitive, extended use.</li><li><strong>Durable Build:</strong> Engineered with high-grade components to ensure long-term reliability and resistance to job site wear.</li><li><strong>Optimized Size:</strong> The 8-inch width offers an ideal balance between compound capacity and maneuverability for standard internal corner work.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | 4K-S6F6-8HQ6 | | UPC | 0873876005253 | | Size | 8 inches | | Handle Type | Fixed | | Includes | 1 x 8"" Angle Box, 1 x Fixed Handle |</p>","Asgard 8-inch Angle Box with fixed handle for efficient, professional-grade internal corner finishing and consistent compound application.",373.99,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/4k-s6f6-8hq6.webp,Asgard > Corner & Angle Tools,"Asgard Angle Box, drywall corner finishing, 8 inch angle box, joint compound applicator, 4K-S6F6-8HQ6",,1,,,,,taxable,,1,,,0,0,,,,,1,,,,,4I-SJ80-1WRWGROUP,,,,,,Length,"8""",1,1,"Asgard 8"" Angle Box (4K-S6F6-8HQ6) | Fixed Handle Efficiency","Streamline drywall corner finishing with the Asgard 8"" Angle Box. Features a fixed handle for $373.99, ensuring consistent compound application every time."
Asgard,AH25-ADGROUP,AH25-ADGROUP,Asgard Angle Head,variable,"<p><strong>Asgard 2.5"" Angle Head (AH25-AD)</strong> delivers professional-grade precision for finishing internal drywall corners. This contractor-grade tool simultaneously feathers joint compound on both sides of a 90-degree corner, ensuring a clean, uniform finish in a single pass. Engineered for high-volume job sites, it effectively wipes down excess compound following a corner roller, significantly reducing the need for manual sanding and touch-up work.</p><p>Built to withstand rigorous daily use, this angle head features a corrosion-resistant die-cast aluminum body paired with durable stainless steel frames and skids. Its integrated easy-roll wheels with rubber tires minimize friction, while the patented positive ball retainer ensures a secure connection to your handle or applicator, preventing accidental disconnects during operation.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical, high-quality finish.</li><li><strong>Durable Construction:</strong> Features a corrosion-resistant die-cast aluminum body with stainless steel frames and skids for long-term reliability.</li><li><strong>Smooth Operation:</strong> Equipped with easy-roll rubber-tired wheels to reduce drag and ensure consistent performance across wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Attachment:</strong> Utilizes a patented positive ball retainer to keep the tool firmly attached to your handle or corner applicator.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | AH25-AD | | Tool Size | 2.5 inches | | Body Material | Die-cast Aluminum | | Frame/Skid Material | Stainless Steel | | Application | Internal corner finishing | | UPC | 0873876004539 |</p>","The Asgard 2.5"" Angle Head (AH25-AD) is a professional-grade corner finisher designed to feather joint compound on both sides of internal 90-degree corners in one pass. Featuring a durable die-cast aluminum body and stainless steel components, it provides a smooth, consistent finish for efficient drywall taping.",316.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad.webp,Asgard > Corner & Angle Tools,"Asgard AH25-AD, 2.5 inch angle head, drywall corner finisher, taping tool, internal corner tool, Asgard AH30-AD, 3 inch angle head, automatic taping tools, Asgard 3.5 Angle Head, AH35-AD, angle head drywall tool, joint compound feathering",,1,,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Size,"2.5"" | 3"" | 3.5""",1,1,Asgard Asgard Angle Head | Corner & Angle Tools,"Finish internal corners efficiently with the Asgard 2.5"" Angle Head ($316). Features a durable die-cast aluminum body for professional drywall results."
Asgard,AH25-AD,AH25-AD,"Asgard 2.5"" Angle Head (AH25-AD)",variation,"<p><strong>Asgard 2.5"" Angle Head (AH25-AD)</strong> delivers professional-grade precision for finishing internal drywall corners. This contractor-grade tool simultaneously feathers joint compound on both sides of a 90-degree corner, ensuring a clean, uniform finish in a single pass. Engineered for high-volume job sites, it effectively wipes down excess compound following a corner roller, significantly reducing the need for manual sanding and touch-up work.</p><p>Built to withstand rigorous daily use, this angle head features a corrosion-resistant die-cast aluminum body paired with durable stainless steel frames and skids. Its integrated easy-roll wheels with rubber tires minimize friction, while the patented positive ball retainer ensures a secure connection to your handle or applicator, preventing accidental disconnects during operation.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical, high-quality finish.</li><li><strong>Durable Construction:</strong> Features a corrosion-resistant die-cast aluminum body with stainless steel frames and skids for long-term reliability.</li><li><strong>Smooth Operation:</strong> Equipped with easy-roll rubber-tired wheels to reduce drag and ensure consistent performance across wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Attachment:</strong> Utilizes a patented positive ball retainer to keep the tool firmly attached to your handle or corner applicator.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | AH25-AD | | Tool Size | 2.5 inches | | Body Material | Die-cast Aluminum | | Frame/Skid Material | Stainless Steel | | Application | Internal corner finishing | | UPC | 0873876004539 |</p>","The Asgard 2.5"" Angle Head (AH25-AD) is a professional-grade corner finisher designed to feather joint compound on both sides of internal 90-degree corners in one pass. Featuring a durable die-cast aluminum body and stainless steel components, it provides a smooth, consistent finish for efficient drywall taping.",316.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_03.webp,Asgard > Corner & Angle Tools,"Asgard AH25-AD, 2.5 inch angle head, drywall corner finisher, taping tool, internal corner tool",,1,,,,,taxable,,1,,,0,0,,,,,1,,,,,AH25-ADGROUP,,,,,,Size,"2.5""",1,1,"Asgard 2.5"" Angle Head (AH25-AD) | Die-cast Aluminum Body","Finish internal corners efficiently with the Asgard 2.5"" Angle Head ($316). Features a durable die-cast aluminum body for professional drywall results."
Asgard,AH30-AD,AH30-AD,"Asgard 3"" Angle Head (AH30-AD)",variation,"<p><strong>Asgard 3"" Angle Head (AH30-AD)</strong> is a professional-grade finishing tool engineered to streamline the application of joint compound in internal corners. By simultaneously feathering both sides of a 90-degree angle in a single pass, this unit significantly reduces labor time on wall-to-wall and ceiling transitions, ensuring a clean, consistent finish that minimizes sanding requirements.</p><p>The tool features a robust, spring-loaded design that compensates for minor framing irregularities, maintaining uniform pressure throughout the application. Users can customize the compound flow by engaging or disengaging the rear tension springs, providing the flexibility needed to adapt to varying compound consistencies and specific job site conditions.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Side Finishing:</strong> Applies and feathers joint compound on both sides of an internal corner simultaneously for maximum efficiency.</li><li><strong>Adjustable Tension:</strong> Integrated rear spring levers allow for precise control over pressure, accommodating different compound thicknesses.</li><li><strong>Precision Glide:</strong> Equipped with rubber-tired wheels to minimize surface drag and ensure smooth, consistent movement along the corner.</li><li><strong>System Compatibility:</strong> Designed for seamless integration with the CA08-AD corner applicator or for use with FH-AD/XH-AD handles via the CFA-AD adapter.</li><li><strong>Durable Construction:</strong> Built with high-quality aluminum and steel components to withstand the rigors of daily professional use.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | AH30-AD | | Tool Type | Angle Head / Corner Finisher | | Size | 3 inches | | Material | Aluminum and Steel | | Compatibility | CA08-AD, FH-AD, XH-AD (with CFA-AD adapter) |</p>","The Asgard 3"" Angle Head (AH30-AD) delivers professional, feathered internal corner finishes in a single pass. Featuring adjustable spring tension and smooth-rolling wheels, this durable tool ensures consistent results on wall-to-wall and ceiling joints.",338.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_03.webp,Asgard > Corner & Angle Tools,"Asgard AH30-AD, 3 inch angle head, drywall corner finisher, automatic taping tools, internal corner tool",,1,,,,,taxable,,1,,,0,0,,,,,1,,,,,AH25-ADGROUP,,,,,,Size,"3""",1,1,"Asgard 3"" Angle Head (AH30-AD) | Adjustable Spring Tension","Finish internal corners efficiently with the Asgard 3"" Angle Head (AH30-AD). Features adjustable spring tension for $338. Perfect for professional drywall."
Asgard,AH35-AD,AH35-AD,"Asgard 3.5"" Angle Head (AH35-AD)",variation,"<p><strong>Asgard 3.5"" Angle Head (AH35-AD)</strong> streamlines internal drywall corner finishing by feathering joint compound on both sides simultaneously. This precision-engineered tool ensures consistent, professional results across wall-to-wall and wall-to-ceiling junctions in a single pass.</p><p>Built for demanding job sites, the unit features a corrosion-resistant, die-cast aluminum body paired with a robust stainless steel frame. The integrated tension control system allows operators to adjust spring pressure, adapting the tool to varying compound consistencies and specific surface conditions.</p><p><strong>Features:</strong></p><ul><li><strong>Adjustable Tension:</strong> Fine-tune spring settings to control compound application and feathering depth.</li><li><strong>Dual-Side Finishing:</strong> Simultaneously feathers both sides of an internal corner for increased efficiency.</li><li><strong>EasyRoll Wheels:</strong> Rubber-tired wheels minimize friction, ensuring smooth and consistent movement.</li><li><strong>Secure Attachment:</strong> Positive ball retainer prevents accidental disconnects during operation.</li><li><strong>Versatile Compatibility:</strong> Integrates with standard corner applicators and supports handle attachments for extended reach.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | AH35-AD | | Tool Type | Angle Head / Corner Finisher | | Body Material | Die-cast Aluminum | | Frame Material | Stainless Steel | | Compatibility | CA08-AD, FH-AD, XH-AD (with CFA-AD adapter) | | UPC | 0873876004553 |</p>","Asgard 3.5"" Angle Head (AH35-AD) provides efficient, single-pass feathering for internal drywall corners. Features adjustable spring tension, durable die-cast aluminum construction, and smooth-rolling wheels for consistent compound application.",356.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_03.webp,Asgard > Corner & Angle Tools,"Asgard 3.5 Angle Head, AH35-AD, drywall corner finisher, angle head drywall tool, joint compound feathering",,1,,,,,taxable,,1,,,0,0,,,,,1,,,,,AH25-ADGROUP,,,,,,Size,"3.5""",1,1,"Asgard 3.5"" Angle Head (AH35-AD) | Die-Cast Aluminum Body","Finish internal drywall corners efficiently with the $356 Asgard 3.5"" Angle Head. Features adjustable tension and durable die-cast aluminum construction."
Asgard,EZ10-ADGROUP,EZ10-ADGROUP,Asgard Flat Box,variable,"<p><strong>Asgard 10"" Flat Box (EZ10-AD)</strong> provides professional-grade compound application for drywall contractors requiring consistent performance on flat seams and butt joints. Constructed from high-strength, anodized aluminum alloys, this finishing box is engineered to withstand the daily rigors of active job sites while maintaining precise control over mud output.</p><p>This unit integrates seamlessly into existing tool setups, featuring universal compatibility with most major industry-standard flat box handles and pumps. The intuitive dial adjustment system allows for fine-tuned control over compound thickness, ensuring uniform coverage and professional results on every pass.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Mud Control:</strong> Integrated dial adjustment system enables accurate, consistent compound output for uniform coverage.</li><li><strong>Universal Compatibility:</strong> Engineered to fit standard flat box handles and pumps from most major manufacturers.</li><li><strong>Durable Construction:</strong> Manufactured from high-strength, anodized aluminum alloys for long-term performance under heavy use.</li><li><strong>Rapid Maintenance:</strong> Equipped with quick-release thumb latches for fast, efficient cleaning and blade changes.</li><li><strong>Optimized Application:</strong> Specifically sized for professional base coat application on flat seams and butt joints.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | EZ10-AD | | Box Width | 10 inches | | Material | Anodized Aluminum Alloy | | Compatibility | Standard flat box handles and pumps | | Warranty | 5-Year Limited Warranty |</p>","The Asgard 10"" Flat Box delivers professional-grade drywall finishing with durable, anodized aluminum construction and universal handle compatibility. Featuring precise dial-controlled mud output and quick-release latches for efficient maintenance, it is built for reliable performance on flat seams and butt joints.",299.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez07-ad.webp,Asgard > Finishing Boxes,"Asgard 10 inch flat box, EZ10-AD, drywall finishing tool, flat joint finishing, butt joint tool, automatic taping tool, Asgard 12 inch flat box, EZ12-AD, flat seam finisher, drywall compound applicator, Asgard 7 inch flat box, EZ07-AD, flat box, joint compound applicator",,1,,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Size,"10"" | 12"" | 7""",1,1,Asgard Asgard Flat Box | Finishing Boxes,"Professional 10"" drywall flat box by Asgard for $344. Features anodized aluminum construction, universal handle compatibility, and precise mud control."
Asgard,EZ10-AD,EZ10-AD,"Asgard 10"" Flat Box (EZ10-AD)",variation,"<p><strong>Asgard 10"" Flat Box (EZ10-AD)</strong> provides professional-grade compound application for drywall contractors requiring consistent performance on flat seams and butt joints. Constructed from high-strength, anodized aluminum alloys, this finishing box is engineered to withstand the daily rigors of active job sites while maintaining precise control over mud output.</p><p>This unit integrates seamlessly into existing tool setups, featuring universal compatibility with most major industry-standard flat box handles and pumps. The intuitive dial adjustment system allows for fine-tuned control over compound thickness, ensuring uniform coverage and professional results on every pass.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Mud Control:</strong> Integrated dial adjustment system enables accurate, consistent compound output for uniform coverage.</li><li><strong>Universal Compatibility:</strong> Engineered to fit standard flat box handles and pumps from most major manufacturers.</li><li><strong>Durable Construction:</strong> Manufactured from high-strength, anodized aluminum alloys for long-term performance under heavy use.</li><li><strong>Rapid Maintenance:</strong> Equipped with quick-release thumb latches for fast, efficient cleaning and blade changes.</li><li><strong>Optimized Application:</strong> Specifically sized for professional base coat application on flat seams and butt joints.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | EZ10-AD | | Box Width | 10 inches | | Material | Anodized Aluminum Alloy | | Compatibility | Standard flat box handles and pumps | | Warranty | 5-Year Limited Warranty |</p>","The Asgard 10"" Flat Box delivers professional-grade drywall finishing with durable, anodized aluminum construction and universal handle compatibility. Featuring precise dial-controlled mud output and quick-release latches for efficient maintenance, it is built for reliable performance on flat seams and butt joints.",344.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_05.webp,Asgard > Finishing Boxes,"Asgard 10 inch flat box, EZ10-AD, drywall finishing tool, flat joint finishing, butt joint tool, automatic taping tool",,1,,,,,taxable,,1,,,0,0,,,,,1,,,,,EZ10-ADGROUP,,,,,,Size,"10""",1,1,"Asgard 10"" Flat Box (EZ10-AD) | Anodized Aluminum Construction","Professional 10"" drywall flat box by Asgard for $344. Features anodized aluminum construction, universal handle compatibility, and precise mud control."
Asgard,EZ12-AD,EZ12-AD,"Asgard 12"" Flat Box (EZ12-AD)",variation,"<p><strong>Asgard 12"" Flat Box (EZ12-AD)</strong> is a professional-grade finishing tool engineered for high-efficiency drywall applications. This unit is designed for contractors who require reliable, consistent performance when applying base coats to flat seams and butt joints.</p><p>Constructed from high-strength, anodized alloys, this flat box is built to withstand the daily rigors of active job sites. Its universal design ensures seamless compatibility with flat box handles from all major industry manufacturers, allowing for easy integration into existing tool kits. The integrated dial adjustment system provides granular control over mud output, ensuring a uniform finish on every pass, while quick-release thumb latches simplify the cleaning process.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Fits handles from all major drywall tool brands for maximum versatility.</li><li><strong>Precision Mud Control:</strong> Integrated dial adjustment allows for exact, consistent compound flow.</li><li><strong>Rugged Construction:</strong> Manufactured from high-strength, anodized alloys for long-term durability.</li><li><strong>Rapid Maintenance:</strong> Quick-release thumb latches enable fast disassembly for thorough cleaning.</li><li><strong>Professional Application:</strong> Optimized for finishing flat seams and butt joints efficiently.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | EZ12-AD | | UPC | 0873876004522 | | Tool Width | 12 inches | | Compatibility | Universal (Major Brands) | | Material | Anodized Alloy |</p>","The Asgard 12"" Flat Box (EZ12-AD) is a durable, professional-grade finishing tool designed for flat seams and butt joints. Featuring universal handle compatibility, precision mud flow adjustment, and quick-release latches for efficient maintenance, it provides reliable performance for demanding drywall projects.",327.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_05.webp,Asgard > Finishing Boxes,"Asgard 12 inch flat box, EZ12-AD, drywall finishing tool, flat seam finisher, butt joint tool, drywall compound applicator",,1,,,,,taxable,,1,,,0,0,,,,,1,,,,,EZ10-ADGROUP,,,,,,Size,"12""",1,1,"Asgard 12"" Flat Box (EZ12-AD) | Anodized Alloy Construction","Finish flat seams and butt joints with the Asgard 12"" Flat Box (EZ12-AD). $327 professional drywall tool with universal handle compatibility and precision."
