ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,variable,COL-FLAT-FINISHER-BOX,,Columbia Flat Finisher Box,1,0,visible,Columbia Flat Finisher Box — catalog-normalized Columbia Tools product.,<p>Columbia Flat Finisher Box is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Official SKU / MPN:</strong> DTB-COL-FLAT-FINISHER-BOX</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Boxes,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_55ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_7ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_8ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_10ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_12ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_14ffb_01.webp",,,,,,,,,1,Columbia Tools,Size,"5.5"", 7"", 8"", 10"", 12"", 14""",1,0,"5.5""","DTB-COL-FLAT-FINISHER-BOX, Columbia Flat Finisher Box, Columbia Tools",Columbia Flat Finisher Box,"Shop Columbia Flat Finisher Box, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Flat Finisher Box,"Columbia Tools, drywall tools, DTB-COL-FLAT-FINISHER-BOX",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-boxes,flat-boxes,0,,,,,5.5FFB,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-FAT-BOY-FLAT-BOX,,Columbia Fat Boy Flat Box,0,0,hidden,Columbia Fat Boy Flat Box — catalog-normalized Columbia Tools product.,<p>Columbia Fat Boy Flat Box is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Fat Boy Flat Box</p><p><strong>Official SKU / MPN:</strong> DTB-COL-FAT-BOY-FLAT-BOX</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Boxes,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_10fbb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_12fbb_01.webp",,,,,,,,,2,Columbia Tools,Size,"5.5"", 8"", 10"", 12""",1,0,"5.5""","DTB-COL-FAT-BOY-FLAT-BOX, Columbia Fat Boy Flat Box, Columbia Tools",Columbia Fat Boy Flat Box,"Shop Columbia Fat Boy Flat Box, catalog-normalized for professional drywall finishing workflows.",,"noindex,follow",Columbia Fat Boy Flat Box,"Columbia Tools, drywall tools, DTB-COL-FAT-BOY-FLAT-BOX",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-boxes,flat-boxes,0,,,,,5.5FBB,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-AUTOMATIC-FLAT-BOX,,Columbia Automatic Flat Box,1,0,visible,Columbia Automatic Flat Box — catalog-normalized Columbia Tools product.,<p>Columbia Automatic Flat Box is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Automatic Flat Box</p><p><strong>Official SKU / MPN:</strong> DTB-COL-AUTOMATIC-FLAT-BOX</p><p><em>Source reference: 12</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Automatic Flat Boxes,"Columbia,Drywall Finishing Tools",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_01.webp,,,,,,,,,3,Columbia Tools,Size,"8"", 10"", 12"", 14""",1,0,"8""","DTB-COL-AUTOMATIC-FLAT-BOX, Columbia Automatic Flat Box, Columbia Tools",Columbia Automatic Flat Box,"Shop Columbia Automatic Flat Box, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Automatic Flat Box,"Columbia Tools, drywall tools, DTB-COL-AUTOMATIC-FLAT-BOX",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,automatic-flat-boxes,automatic-flat-boxes,0,,,,,8FFBA,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-AUTOMATIC-FAT-BOY-BOX,,Columbia Automatic Fat Boy Box,1,0,visible,Columbia Automatic Fat Boy Box — catalog-normalized Columbia Tools product.,<p>Columbia Automatic Fat Boy Box is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Automatic Fat Boy Box</p><p><strong>Official SKU / MPN:</strong> DTB-COL-AUTOMATIC-FAT-BOY-BOX</p><p><em>Source reference: 12</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Automatic Flat Boxes,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_01.webp",,,,,,,,,4,Columbia Tools,Size,"8"", 10"", 12""",1,0,"8""","DTB-COL-AUTOMATIC-FAT-BOY-BOX, Columbia Automatic Fat Boy Box, Columbia Tools",Columbia Automatic Fat Boy Box,"Shop Columbia Automatic Fat Boy Box, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Automatic Fat Boy Box,"Columbia Tools, drywall tools, DTB-COL-AUTOMATIC-FAT-BOY-BOX",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,automatic-flat-boxes,automatic-flat-boxes,0,,,,,8FBBA,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-ANGLE-HEAD,,Columbia Angle Head,1,0,visible,Columbia Angle Head — catalog-normalized Columbia Tools product.,<p>Columbia Angle Head is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Angle Head</p><p><strong>Official SKU / MPN:</strong> DTB-COL-ANGLE-HEAD</p><p><em>Source reference: 9</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Angle Heads,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_2ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah_all_sizes_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah_all_sizes_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah_all_sizes_03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_35ah_01.webp",,,,,,,,,5,Columbia Tools,Size,"2"", 2.5"", 3"", 3.5""",1,0,"2""","DTB-COL-ANGLE-HEAD, Columbia Angle Head, Columbia Tools",Columbia Angle Head,"Shop Columbia Angle Head, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Angle Head,"Columbia Tools, drywall tools, DTB-COL-ANGLE-HEAD",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,angle-heads,angle-heads,0,,,,,2AH,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-STANDARD-FLUSHER,,Columbia Standard Flusher,1,0,visible,Columbia Standard Flusher — catalog-normalized Columbia Tools product.,<p>Columbia Standard Flusher is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Standard Flusher</p><p><strong>Official SKU / MPN:</strong> DTB-COL-STANDARD-FLUSHER</p><p><em>Source reference: 20</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25sf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25sf_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3sf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3sf_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3wtsf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3wtsf_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_35sf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_35sf_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_4sf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_4sf_02.webp",,,,,,,,,6,Columbia Tools,Size,"2.5"", 3"", 3"" Widetrack, 3.5"", 4""",1,0,"2.5""","DTB-COL-STANDARD-FLUSHER, Columbia Standard Flusher, Columbia Tools",Columbia Standard Flusher,"Shop Columbia Standard Flusher, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Standard Flusher,"Columbia Tools, drywall tools, DTB-COL-STANDARD-FLUSHER",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-flushers,corner-flushers,0,,,,,2.5SF,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-DIRECT-FLUSHER,,Columbia Direct Flusher,1,0,visible,Columbia Direct Flusher — catalog-normalized Columbia Tools product.,<p>Columbia Direct Flusher is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Direct Flusher</p><p><strong>Official SKU / MPN:</strong> DTB-COL-DIRECT-FLUSHER</p><p><em>Source reference: 20</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_2_5df_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3df_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3wtdf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3_5df_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_4df_01.webp",,,,,,,,,7,Columbia Tools,Size,"2.5"", 3"", 3"" Widetrack, 3.5"", 4""",1,0,"2.5""","DTB-COL-DIRECT-FLUSHER, Columbia Direct Flusher, Columbia Tools",Columbia Direct Flusher,"Shop Columbia Direct Flusher, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Direct Flusher,"Columbia Tools, drywall tools, DTB-COL-DIRECT-FLUSHER",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-flushers,corner-flushers,0,,,,,2.5DF,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-COMBO-FLUSHER,,Columbia Combo Flusher,1,0,visible,Columbia Combo Flusher — catalog-normalized Columbia Tools product.,<p>Columbia Combo Flusher is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Combo Flusher</p><p><strong>Official SKU / MPN:</strong> DTB-COL-COMBO-FLUSHER</p><p><em>Source reference: 20</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_2_5csf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3csf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3wtdf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3_5csf_01.webp",,,,,,,,,8,Columbia Tools,Size,"2.5"", 3"", 3"" Widetrack, 3.5""",1,0,"2.5""","DTB-COL-COMBO-FLUSHER, Columbia Combo Flusher, Columbia Tools",Columbia Combo Flusher,"Shop Columbia Combo Flusher, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Combo Flusher,"Columbia Tools, drywall tools, DTB-COL-COMBO-FLUSHER",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-flushers,corner-flushers,0,,,,,2.5CSF,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-NAIL-SPOTTER,,Columbia Nail Spotter,1,0,visible,Columbia Nail Spotter — catalog-normalized Columbia Tools product.,<p>Columbia Nail Spotter is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Nail Spotter</p><p><strong>Official SKU / MPN:</strong> DTB-COL-NAIL-SPOTTER</p><p><em>Source reference: 13</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Nail Spotters,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_2ns_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3ns_01.webp",,,,,,,,,9,Columbia Tools,Size,"2"", 3""",1,0,"2""","DTB-COL-NAIL-SPOTTER, Columbia Nail Spotter, Columbia Tools",Columbia Nail Spotter,"Shop Columbia Nail Spotter, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Nail Spotter,"Columbia Tools, drywall tools, DTB-COL-NAIL-SPOTTER",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,nail-spotters,nail-spotters,0,,,,,2NS,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variable,COL-180-GRIP-FLAT-BOX-HANDLE,,Columbia 180° Grip Flat Box Handle,1,0,visible,Columbia 180° Grip Flat Box Handle — catalog-normalized Columbia Tools product.,<p>Columbia 180° Grip Flat Box Handle is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia 180° Grip Flat Box Handle</p><p><strong>Official SKU / MPN:</strong> DTB-COL-180-GRIP-FLAT-BOX-HANDLE</p><p><em>Source reference: 17</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Box Handles,"Columbia,Drywall Finishing Tools",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_bh_01.webp,,,,,,,,,11,Columbia Tools,Handle Length,"3', 42"", 4', 5', 6'",1,0,3',"DTB-COL-180-GRIP-FLAT-BOX-HANDLE, Columbia 180° Grip Flat Box Handle, Columbia Tools",Columbia 180° Grip Flat Box Handle,"Shop Columbia 180° Grip Flat Box Handle, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia 180° Grip Flat Box Handle,"Columbia Tools, drywall tools, DTB-COL-180-GRIP-FLAT-BOX-HANDLE",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-box-handles,flat-box-handles,0,,,,,3BH,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
