platinum_schematic_id,platinum_tool_name,platinum_hotspot_label,recommended_part_name,write_to_platinum_name,platinum_sku_policy,level5_reference_tool,level5_reference_label,level5_reference_part_number,match_status,confidence,source_note,audit_note
platinum-flat-box,Platinum Flat Box,27,#10 Brass Washer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,27,7177,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,16,FB Screw (Side Plate),yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,16,9701,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,44,Dial Assembly,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,44,7251,same_label_same_tool_family,high,adjustment assembly,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,42,"8-32 X 3/8, BHC Screw",yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,42,8291,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,41,Spring Anchor,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,41,8305,same_label_same_tool_family,high,spring anchor,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,18,FB Pressure Spring Holder,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,18,9240,same_label_same_tool_family,high,assembly hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,12,Left Side Plate,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,12,9550,same_label_same_tool_family,high,side-specific structural part,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,43,Flat Box Seal,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,43,8270,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,25,FB Box Tire,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,25,9685,same_label_same_tool_family,high,wheel tire,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,4,Flat Box Screw (#4),yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,4,9219,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,2,Blade Holder Assembly,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,2,7267,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,8,FB Washer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,8,9613,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,23,#10-32 Hex Head Shoulder Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,23,8301,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,22,Bearing Nyliner,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,22,7063,same_label_same_tool_family,high,wheel/axle bearing,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,37,T-Nut,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,37,8232,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,38,AT Wing Nut,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,38,9916,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,26,"FB Box Wheel, Black",yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,26,9719,same_label_same_tool_family,high,wheel,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,28,Axle,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,28,9280,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,35,Pressure Plate,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,35,9267,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,39,#10-32 X 1in SHC Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,39,8303,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,40,Lightweight Pressure Plate Spring,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,40,9273,same_label_same_tool_family,high,spring,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,34,FB Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,34,9799,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,21,#10 Brass Washer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,21,7177,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,20,#10-32 Lock Nut,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,20,8302,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,17,Bottom Plate,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,17,9253,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,19,FB Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,19,9245,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,1,Flat Box Blade,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,1,7254,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,29,#14 Brass Washer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,29,7178,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,3,#4-40 x 1/4 Fillister Head Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,3,7217,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,24,Nyliner Bearing-Straight,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,24,7119,same_label_same_tool_family,high,bearing,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,5,Blade Holder Bracket,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,5,9268,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,33,Flat Box Metal Hinge,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,33,9258,same_label_same_tool_family,high,Level5 source typo normalized from 'Mental Hinge',Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,31,Right Side Plate,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,31,9551,same_label_same_tool_family,high,side-specific structural part,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,6,Front Plate,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,6,9552,same_label_same_tool_family,medium_high,size-specific in Level5 10in reference,Same label exists in current Level5 10in flat box JSON. Size-specific label was neutralized because Platinum schematic is generic Flat Box.
platinum-flat-box,Platinum Flat Box,9,Latch,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,9,7792,same_label_same_tool_family,high,assembly hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,10,Spring Washer,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,10,7798,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,15,#6-32 x 1/4 Fillister Head,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,15,7012,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,14,Skid Cover Left Side Universal,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,14,7239,same_label_same_tool_family,high,side-specific wear part,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,11,Shoulder Screw,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,11,7793,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-flat-box,Platinum Flat Box,30,FB Bolt (holds axle on),yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-10-inch-flat-box-4-765,30,9237,same_label_same_tool_family,high,hardware,Same label exists in current Level5 10in flat box JSON.
platinum-compound-pump,Platinum Compound Pump,17,Pump O-Ring,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,17,7633,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,16,5/16 Lockwasher,yes,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,16,7342,same_label_same_tool_family,high,current Level5 frontend JSON,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,11,Pump Handle Nut,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,11,7339,same_label_same_tool_family,medium,scraped Level5 manifest; frontend JSON name is placeholder,Same label appears in Level5 compound pump reference; write name only after visual spot-check if component geometry matches. Level5 part number remains reference only.
platinum-compound-pump,Platinum Compound Pump,54,UNRESOLVED,no,leave_blank_or_numeric_placeholder_do_not_use_level5_sku,level5-compound-pump-4-771,,unmapped_platinum_only_label,unresolved,No matching Level5 label found,Platinum label is above Level5 current/scraped pump reference range or not present in accessible Level5 part list. Requires visual/manual OEM validation.
