Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Graco,248515,,"Graco 1"" Sponge Ball Clean Out Kit (5 Pack) (248515)",simple,"<p>Graco 1"" Sponge Ball Clean Out Kit (248515) provides a professional-grade solution for maintaining your texture spraying equipment. These high-density foam balls are engineered to clear residual material from 1-inch (25mm) ID TexSpray hoses, preventing internal buildup that can lead to clogs and reduced flow rates. By incorporating these into your post-job maintenance routine, you ensure consistent spray patterns and extend the service life of your hoses.</p><p>Each ball acts as a squeegee when propelled through the line with water pressure, effectively scrubbing the interior walls. This kit is an essential accessory for contractors looking to minimize downtime and protect their equipment investment from hardened texture compound.</p><p><strong>Features:</strong></p><ul><li><strong>Genuine OEM Quality:</strong> Manufactured by Graco for precise fit and reliable performance with TexSpray systems.</li><li><strong>Optimized Cleaning:</strong> Specifically sized for 1-inch (25mm) ID hoses to maintain a tight seal for thorough debris removal.</li><li><strong>Efficiency:</strong> Simplifies the flushing process, significantly reducing cleanup time between projects.</li><li><strong>Bulk Pack:</strong> Includes 5 sponge balls, ensuring you have a consistent supply for regular maintenance cycles.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 248515 | | Compatibility | 1 in. (25mm) ID TexSpray Hoses | | Set Includes | 5 Sponge Balls | | Material | High-Density Foam |</p>","Graco 1"" Sponge Ball Clean Out Kit (248515) includes 5 professional-grade foam balls designed to flush residual material from 1-inch (25mm) ID texture hoses, ensuring optimal equipment performance and longevity.",55.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/248515.webp,Texture Tools > Graco > Cleaning Accessories,"Graco 248515, sponge ball clean out kit, texture sprayer maintenance, 1 inch hose cleaner, drywall sprayer parts",542,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,"Graco 1"" Sponge Ball Kit (248515) | OEM Texture Hose Cleaner","Maintain your sprayer with the Graco 1"" Sponge Ball Kit (248515). $55.00 5-pack for efficient cleaning of 1"" ID texture hoses. Prevents material buildup."
Graco,235580,,"Graco 1/4"" Disk Tip B - Medium (235580)",simple,"<p>Graco 1/4"" Disk Tip B (235580) maintains consistent spray patterns and precise atomization for professional texture application. This genuine OEM component is engineered to restore original equipment performance, ensuring reliable flow control during demanding job site operations. By utilizing authentic factory parts, contractors can avoid the inconsistencies often found with aftermarket alternatives, protecting the integrity of their texture spraying systems.</p><p>Designed for seamless integration, this medium-orifice disk tip is a critical maintenance item for specific Graco texture spray guns. Its durable construction is built to withstand the rigors of daily use, providing a dependable solution for routine nozzle replacement and equipment upkeep.</p><p><strong>Features:</strong></p><ul><li><strong>Genuine OEM Quality:</strong> Manufactured to strict factory standards for a precise fit and reliable operation.</li><li><strong>Optimized Flow Control:</strong> The 1/4"" medium orifice delivers consistent texture output for professional-grade finishes.</li><li><strong>Equipment Compatibility:</strong> Engineered specifically for the Graco GM 1030 (235490) and HTX2030 (24R054) texture spray guns.</li><li><strong>Simplified Maintenance:</strong> Designed for quick installation, helping to minimize downtime on the job site.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 235580 | | Component Type | Disk Tip (Air Nozzle) | | Size | 1/4"" (Medium) | | Compatibility | GM 1030 (235490), HTX2030 (24R054) |</p>","Graco 1/4"" Disk Tip B (235580) is a genuine OEM nozzle designed for consistent flow and atomization in GM 1030 and HTX2030 texture spray guns.",36.19,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/235580.webp,Texture Tools > Graco > Spray Tips & Nozzles,"Graco 235580, Graco disk tip, texture spray nozzle, GM 1030 parts, HTX2030 nozzle, drywall texture tool",543,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,"Graco 1/4"" Disk Tip B (235580) | Genuine OEM Texture Nozzle","Maintain consistent texture spray patterns with the Graco 1/4"" Disk Tip B (235580). Genuine OEM part for GM 1030 and HTX2030 guns. Priced at $36.19."
Graco,240794,,"Graco 1/4"" x 50' BlueMax II Hose (240794)",simple,"<p>Graco 1/4"" x 50' BlueMax II Hose (240794) provides reliable fluid delivery for professional airless spraying applications. This hose is engineered to be over 10% lighter than standard alternatives, reducing operator fatigue while maintaining high-pressure performance. Its construction minimizes coil memory, ensuring the hose remains flexible and easy to maneuver across residential and commercial job sites.</p><p><strong>Features:</strong></p><ul><li><strong>Conductive Core:</strong> Integrated design safely dissipates static electricity without requiring external grounding wires.</li><li><strong>Durable Construction:</strong> Features yellow zinc-plated spring guards at both ends to resist corrosion and prevent kinking at high-stress points.</li><li><strong>High Visibility:</strong> The signature blue finish allows for quick identification in busy work environments.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 240794 | | Hose Length | 50 feet | | Hose Diameter | 1/4 inch | | Max Working Pressure | 3,300 PSI | | Connection Type | 1/4"" NPS x 1/4"" NPS | | Color | Blue |</p>","The Graco BlueMax II 1/4"" x 50' airless spray hose offers superior flexibility and a lightweight design for improved maneuverability and reduced operator fatigue.",89.25,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/240794.webp,Texture Tools > Graco > Hoses & Fittings,"Graco 240794, BlueMax II hose, airless spray hose, 1/4 inch paint hose, Graco spray equipment",544,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,"Graco 1/4"" BlueMax II Hose (240794) | Conductive Core Design","Get the Graco 1/4"" x 50' BlueMax II hose for $89.25. Features a lightweight, flexible design with an integrated conductive core for safe airless spraying."
Graco,235579,,"Graco 1/8"" Disk Tip A - Small (235579)",simple,"<p>Graco 1/8"" Disk Tip A - Small (235579) is a precision-engineered air nozzle designed to maintain the high-performance standards of your texture spraying equipment. This genuine OEM component is specifically calibrated to deliver consistent spray patterns, making it an essential replacement part for achieving professional-grade fine finish textures. By utilizing authentic Graco parts, you ensure seamless integration with your existing system, minimizing downtime and protecting your equipment investment.</p><p>This disk tip is built to withstand the demanding conditions of active job sites, providing the reliability required for repeatable, high-quality results. Whether you are performing routine maintenance or replacing a worn nozzle, this component restores your spray gun to its intended factory performance levels.</p><p><strong>Features:</strong></p><ul><li><strong>Genuine OEM Quality:</strong> Manufactured to strict factory specifications for material integrity and dimensional accuracy.</li><li><strong>Optimized Spray Control:</strong> The 1/8"" aperture is precision-calibrated for fine finish texture applications, ensuring superior pattern consistency.</li><li><strong>Seamless Integration:</strong> Engineered for a perfect fit with select Graco TexSpray systems, allowing for quick and straightforward installation.</li><li><strong>Durable Construction:</strong> Designed to endure the rigorous demands of professional texture spraying environments.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 235579 | | Part Type | Disk Tip (Air Nozzle) | | Size | 1/8"" (Type A - Small) | | Compatibility | GM 1030 (235490), HTX2030 (24R054) |</p>","Graco 1/8"" Disk Tip A (235579) is a precision-engineered OEM air nozzle designed for consistent, fine-finish texture spraying with GM 1030 and HTX2030 guns.",28.60,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/235579.webp,Texture Tools > Graco > Spray Tips & Nozzles,"Graco 235579, 1/8 inch disk tip, Graco texture spray tip, GM 1030 nozzle, HTX2030 air nozzle, texture sprayer parts",545,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,"Graco 1/8"" Disk Tip A (235579) | Precision Texture Nozzle","Maintain professional texture results with the Graco 1/8"" Disk Tip A (235579). A genuine OEM nozzle for GM 1030 and HTX2030 guns. Priced at $28.60."
Graco,15C887,,Graco 10MM Spray Texture Nozzle for RTX 1500 (15C887),simple,"<p>Graco 10MM Spray Texture Nozzle for RTX 1500 (15C887) maintains the precise spray pattern and consistent output required for professional-grade texture applications. This genuine OEM component is engineered to replace worn or damaged nozzles, preventing irregularities in your finish and reducing equipment downtime on the job site. Designed for durability, it ensures reliable performance across a variety of interior and exterior projects, including stucco and EIFS.</p><p><strong>Features:</strong></p><ul><li><strong>Genuine OEM Quality:</strong> Manufactured to exact factory specifications for seamless compatibility with RTX 1500 and compatible heavy-duty texture guns.</li><li><strong>Optimized 10mm Orifice:</strong> Engineered to deliver a consistent, round spray pattern, providing the ideal flow rate for medium-sized texture applications.</li><li><strong>Versatile Performance:</strong> Suitable for a wide range of professional tasks, from decorative interior wall textures to exterior stucco and EIFS coatings.</li><li><strong>Simplified Maintenance:</strong> Designed for quick installation and easy cleaning, helping to minimize maintenance intervals and keep your sprayer operating at peak efficiency.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 15C887 | | Nozzle Size | 10mm | | Spray Pattern | Round | | Compatibility | RTX 1500, RTX Heavy-Duty Texture Guns, GTX 2000 Series | | Application Type | Interior/Exterior Texture, Stucco, EIFS |</p>",Maintain consistent spray patterns and professional finishes with the genuine Graco 10mm texture nozzle. Engineered for durability and precision on RTX 1500 and heavy-duty texture guns.,39.40,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/15c887.webp,Texture Tools > Graco > Texture Sprayers,"Graco 15C887, 10mm texture nozzle, RTX 1500 parts, texture sprayer nozzle, Graco texture gun",546,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,Graco 10mm Texture Nozzle (15C887) | OEM Round Spray Pattern,"Maintain your RTX 1500 sprayer with the genuine Graco 10mm nozzle. Ensures a consistent, round spray pattern for stucco and EIFS. $39.40. Order today."
Graco,118872-A,,Graco 118872 Gasket (118872-A),simple,"<p>Graco 118872 Gasket is a precision-engineered OEM component designed to maintain the integrity of your texture spraying system. This essential seal is specifically manufactured for 1-inch ID material hose connections, ensuring a tight, leak-proof fit that prevents pressure loss and fluid bypass during high-demand operation. By utilizing authentic Graco parts, you ensure your equipment maintains consistent performance and longevity, avoiding the risks associated with inferior aftermarket alternatives.</p><p>This gasket is built to withstand the abrasive nature of texture compounds and the rigorous environment of professional job sites. It serves as a critical interface point, typically located at the material hose connection to the RotoFlex pump, providing the reliability needed for uninterrupted spraying. Regular replacement during maintenance cycles is the most effective way to protect your equipment from unnecessary wear and ensure optimal flow control.</p><p><strong>Features:</strong></p><ul><li><strong>Genuine OEM Quality:</strong> Manufactured to exact Graco specifications for guaranteed compatibility and performance.</li><li><strong>Precision Seal:</strong> Engineered to provide a secure, leak-proof connection, maintaining optimal system pressure.</li><li><strong>Professional Durability:</strong> Constructed from high-grade materials resistant to abrasive texture compounds.</li><li><strong>Easy Installation:</strong> Designed for a seamless fit, allowing for quick, efficient replacement to minimize downtime.</li><li><strong>System Protection:</strong> Prevents fluid bypass and hose connection failures, extending the life of your spraying rig.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | Part Number | 118872 | | SKU | 118872-A | | Component Type | Hose Gasket | | Compatibility | RTX 1500 Texture Sprayers | | Application | 1"" ID Material Hose Connection |</p>","Graco 118872 Gasket is a genuine OEM replacement seal for 1-inch ID material hose connections on RTX 1500 texture sprayers, ensuring leak-proof performance.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/118872-a.webp,Texture Tools > Graco > Repair Kits & Parts,"Graco 118872, Graco gasket, RTX 1500 parts, texture sprayer hose gasket, 1 inch hose seal",547,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,"Graco 118872 Gasket (118872-A) | 1"" Material Hose Seal","Maintain your RTX 1500 texture sprayer with the genuine Graco 118872 Gasket. Ensures a secure, leak-proof 1-inch material hose connection for peak performance."
Graco,235581,,"Graco 3/8"" Disk Tip D - Small (235581)",simple,"<p>Graco 3/8"" Disk Tip D (235581) maintains consistent material flow and spray pattern integrity for professional texture application equipment. This genuine OEM component is engineered to withstand the abrasive nature of texture compounds, ensuring reliable performance and reduced downtime on demanding job sites.</p><p>Designed for seamless integration with specific Graco spray guns, this disk tip provides the precise output control necessary for uniform coverage. Using authentic replacement parts protects your equipment investment and ensures the predictable results required for high-quality architectural finishes.</p><p><strong>Features:</strong></p><ul><li><strong>OEM Precision:</strong> Manufactured to exact Graco standards for a guaranteed fit and consistent operation.</li><li><strong>Texture Optimized:</strong> Engineered specifically for the flow requirements of texture spray materials.</li><li><strong>Durable Construction:</strong> Built to resist wear from abrasive coatings and high-pressure environments.</li><li><strong>Pattern Integrity:</strong> Maintains a sharp, predictable spray pattern to minimize material waste.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 235581 | | Component Type | Disk Tip (D) | | Size | 3/8"" | | Compatibility | GM 1030 (235490), HTX2030 (24R054) | | Category | Texture Spray Accessories |</p>","Graco 3/8"" Disk Tip D for consistent material flow and pattern control in GM 1030 and HTX2030 texture spray guns.",36.19,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/235581.webp,Texture Tools > Graco > Spray Tips & Nozzles,"Graco 235581, Graco disk tip, texture spray nozzle, GM 1030 parts, HTX2030 tip",548,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,"Graco 3/8"" Disk Tip D (235581) | OEM Texture Spray Component","$36.19. Genuine Graco 3/8"" Disk Tip D for GM 1030 and HTX2030 texture spray guns. Ensures consistent flow and professional finish quality on every job."
Graco,156849,,"Graco 3/8"" x 3/8"" Male Hose Coupler (156849)",simple,"<p>Graco 3/8"" x 3/8"" Male Hose Coupler (156849) provides a reliable, high-pressure connection for extending airless paint sprayer hose lines. This precision-machined fitting allows operators to securely join two 3/8"" fluid transfer hoses, ensuring consistent material flow and system integrity during demanding industrial applications.</p><p>Constructed from heavy-duty carbon steel, this coupler is engineered to withstand the high-pressure environments typical of professional airless spraying and fluid handling systems. Its robust design minimizes the risk of leaks and vibration-related failures, maintaining factory-specified performance standards for your equipment.</p><p><strong>Features:</strong></p><ul><li><strong>Durable Construction:</strong> Manufactured from high-strength carbon steel for long-term reliability in abrasive job site conditions.</li><li><strong>Secure Seal:</strong> Precision-threaded 3/8"" NPT male ends ensure a tight, leak-resistant connection between hoses.</li><li><strong>System Compatibility:</strong> Designed for seamless integration with standard Graco airless sprayers and 3/8"" fluid transfer lines.</li><li><strong>Efficient Setup:</strong> Simplifies the process of extending hose reach, reducing downtime during large-scale coating projects.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 156849 | | Fitting Type | Male-to-Male Hose Coupler | | Connection Size | 3/8"" NPT x 3/8"" NPT | | Material | Carbon Steel | | Application | Airless Paint Sprayers / Fluid Transfer Systems |</p>","Graco 3/8"" x 3/8"" Male Hose Coupler (156849) is a heavy-duty carbon steel fitting designed to securely join two airless paint sprayer hoses for extended reach.",10.62,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/156849.webp,Texture Tools > Graco > Hoses & Fittings,"Graco 156849, airless paint sprayer hose coupler, 3/8 inch hose fitting, male to male hose coupler, Graco hose adapter",549,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,"Graco 3/8"" Male Hose Coupler (156849) | Carbon Steel Fitting","Extend your reach with the Graco 3/8"" x 3/8"" Male Hose Coupler (156849). This $10.62 carbon steel fitting ensures a secure, leak-free airless hose connection."
Graco,240797,,"Graco 3/8"" x 50' BlueMax II Hose (240797)",simple,"<p>Graco 3/8"" x 50' BlueMax II Hose (240797) is a professional-grade airless spray hose engineered for high-performance paint, primer, and coating applications. Designed for residential, commercial, and industrial use, this hose provides the durability and flexibility required to maintain consistent spray patterns under demanding conditions.</p><p>Built to reduce operator fatigue, the BlueMax II is over 10% lighter than standard airless hoses, offering superior maneuverability during extended shifts. The hose features minimal coil memory, ensuring it resists kinking and lays flat for faster setup and cleanup. An integrated conductive core meets global safety standards by effectively dissipating static electricity, while corrosion-resistant plated spring guards at both ends protect against wear to extend service life.</p><p><strong>Features:</strong></p><ul><li><strong>Superior Flexibility:</strong> Maintains pliability under high pressure for precise control and smooth movement.</li><li><strong>Lightweight Construction:</strong> Weighs 10% less than conventional hoses to improve productivity and reduce physical strain.</li><li><strong>Minimal Coil Memory:</strong> Resists retaining its coiled shape, facilitating effortless uncoiling and storage.</li><li><strong>Integrated Safety:</strong> Conductive core provides reliable static dissipation to exceed industry safety requirements.</li><li><strong>Corrosion Resistance:</strong> Plated spring guards at both ends protect against wear and environmental damage.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 240797 | | Hose Diameter | 3/8 inch | | Hose Length | 50 feet | | Max Working Pressure | 3,300 PSI | | Max Temperature Rating | 180°F | | Material | High-Performance Synthetic Rubber | | Connection Type | Female Swivel (Both Ends) | | Color | Blue |</p>","Graco 3/8"" x 50' BlueMax II Hose (240797) offers professional-grade flexibility and durability. This lightweight, kink-resistant airless hose features a conductive core for safety and corrosion-resistant guards for extended service life.",189.24,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/240797.webp,Texture Tools > Graco > Hoses & Fittings,"Graco 240797, BlueMax II hose, airless paint hose, 3/8 inch spray hose, paint sprayer hose",550,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Graco,1,1,"Graco 3/8"" x 50' BlueMax II Hose (240797) | Conductive Core","For $189.24, the Graco 3/8"" x 50' BlueMax II hose (240797) provides 3,300 PSI performance with a lightweight, kink-resistant design and conductive core."
Graco,15C884,,Graco 4MM Spray Texture Nozzle for RTX 1500 (15C884),simple,"<p>Graco 4MM Spray Texture Nozzle for RTX 1500 is a precision-engineered component designed to maintain consistent material flow and uniform spray patterns during texture application. This genuine replacement part ensures your equipment operates at peak efficiency, providing the reliable performance required for professional-grade drywall, stucco, and decorative finishes. Its robust construction is built to withstand the demands of daily job site use, helping to minimize downtime and protect your sprayer investment.</p><p><strong>Features:</strong></p><ul><li><strong>Optimized 4mm Orifice:</strong> Specifically sized to deliver a versatile, medium-texture spray pattern suitable for a wide range of interior and exterior surfaces.</li><li><strong>Genuine Graco Engineering:</strong> Manufactured to exact factory specifications to guarantee seamless integration and reliable operation with RTX 1500 and compatible texture sprayers.</li><li><strong>Uniform Spray Pattern:</strong> Engineered to produce a consistent, round spray pattern that reduces track marks and ensures even coverage across the work area.</li><li><strong>Quick Installation:</strong> Designed for straightforward replacement, allowing for efficient maintenance and minimal interruption to your workflow.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Graco | | SKU | 15C884 | | Nozzle Size | 4mm | | Compatibility | RTX 1500, GTX 2000, EXT | | Spray Pattern | Round | | Part Type | Texture Gun Nozzle Assembly |</p>","The Graco 4mm texture nozzle for RTX 1500 sprayers delivers consistent, uniform spray patterns for professional drywall and stucco finishes.",,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Graco/Products/15c884.webp,Texture Tools > Graco > Repair Kits & Parts,"Graco 15C884, RTX 1500 nozzle, 4mm texture nozzle, Graco texture sprayer parts, drywall texture tip",551,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,Graco 4mm Texture Nozzle (15C884) | Precision Round Spray,"Maintain professional texture finishes with the Graco 4mm nozzle for RTX 1500 sprayers. Genuine replacement part for consistent, uniform material coverage."
