Model,Catalog Name,Report Description,Reference,Reference Description,Disposition,Differences,Notes
16TT,TapeTech Applicator Head - Outside Corner,Mud Head for Outside Corner (90 Degrees),WORKBOOK,Mud Head for Outside Corner (90 Degrees),READY_WORKBOOK,,Exact SKU and product identity passed.
16TT90,TapeTech Applicator Head - Inside Corner,Mud Head for Inside Corner (90 Degrees),WORKBOOK,Mud Head for Inside Corner (90 Degrees),READY_WORKBOOK,,Exact SKU and product identity passed.
BHE-SW,"TapeTech Brakeless Box Handle - Rotational Extendable 34""-60""",EasyClean Extendable Box Handle with Swivel,FALLBACK_CSV,EasyClean Extendable Box Handle with Swivel,READY_FALLBACK,,Exact SKU and product identity passed.
BH,"TapeTech Brakeless Box Handle - Fixed 34""",EasyClean Box Handle,FALLBACK_CSV,EasyClean Box Handle,READY_FALLBACK,,Exact SKU and product identity passed.
BHE,"TapeTech Brakeless Box Handle - Extendable 34""-60""",EasyClean Extendable Box Handle,FALLBACK_CSV,EasyClean Extendable Box Handle,READY_FALLBACK,,Exact SKU and product identity passed.
FBH2642TT-CF,"TapeTech Carbon Fiber Box Handle - 26""-42""",Carbon Fiber Box Handle 26-42 in,FALLBACK_CSV,Carbon Fiber Box Handle 26-42 in,READY_FALLBACK,,Exact SKU and product identity passed.
FBH4272TT-CF,"TapeTech Carbon Fiber Box Handle - 42""-72""",Carbon Fiber Box Handle 42-72 in,FALLBACK_CSV,Carbon Fiber Box Handle 42-72 in,READY_FALLBACK,,Exact SKU and product identity passed.
CT24TT,"TapeTech Compound Tube - 24""",Compound Tube 24 in,WORKBOOK,"24"" Compound Tube",READY_WORKBOOK,,Exact SKU and product identity passed.
CT36TT,"TapeTech Compound Tube - 36""",Compound Tube 36 in,WORKBOOK,"36"" Compound Tube",READY_WORKBOOK,Ship Box Length (cm): report=123 reference=124,Exact SKU and product identity passed. Reference values override the update report: Ship Box Length (cm): report=123 reference=124
CT42TT,"TapeTech Compound Tube - 42""",Compound Tube 42 in,WORKBOOK,"42"" Compound Tube",READY_WORKBOOK,Ship Box Width (cm): report=14 reference=13 | Ship Box Height (cm): report=14 reference=13,Exact SKU and product identity passed. Reference values override the update report: Ship Box Width (cm): report=14 reference=13 | Ship Box Height (cm): report=14 reference=13
CA07TT,"TapeTech Corner Applicator - 7""","7"" Corner Applicator",WORKBOOK,"7"" Corner Applicator",READY_WORKBOOK,,Exact SKU and product identity passed.
CA08TT,"TapeTech Corner Applicator - 8""","8"" Corner Applicator",WORKBOOK,"8"" Corner Applicator",READY_WORKBOOK,,Exact SKU and product identity passed.
42TT,"TapeTech Corner Finisher - 2.5""","2.5"" Corner Finisher",WORKBOOK,"2.5"" Corner Finisher",READY_WORKBOOK,,Exact SKU and product identity passed.
