Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Platinum Drywall Tools,PT-10FB,,"Platinum 10"" Flat Finishing Box (PT-10FB)",simple,"<p>Platinum 10"" Flat Finishing Box (PT-10FB) provides professional-grade efficiency for contractors requiring consistent, high-speed joint finishing. This tool is engineered to apply joint compound and feather edges on both flat and butt joints in a single, fluid pass, significantly reducing manual labor and the need for extensive post-application sanding. Its robust construction ensures it holds up to the demands of daily job site use while maintaining the precision necessary for high-quality results.</p><p>The unit features an integrated crown adjustment dial, allowing for granular control over the volume of compound dispensed. This versatility enables contractors to easily adapt the thickness of the application to suit the specific requirements of base coats or final touch-ups. A high-performance pivoting axle is incorporated into the design, ensuring the blade maintains optimal contact with the wall surface even when encountering minor irregularities, resulting in uniform coverage across every seam.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Dispensing:</strong> Automatically regulates the volume of joint compound for a consistent, professional finish on every pass.</li><li><strong>Integrated Feathering:</strong> Simultaneously applies and feathers edges on flat and butt joints to maximize productivity.</li><li><strong>Adjustable Crown Dial:</strong> Offers precise control over compound thickness, accommodating different stages of the finishing process.</li><li><strong>Pivoting Axle Design:</strong> Enhances maneuverability and ensures the blade maintains consistent contact with uneven wall surfaces.</li><li><strong>Durable Construction:</strong> Built with high-quality materials to withstand the rigors of professional, daily job site environments.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-10FB | | Tool Type | Flat Finishing Box | | Size | 10 Inches | | Application | Drywall Joint Finishing | | Price | $195.00 |</p>","The Platinum 10"" Flat Finishing Box streamlines drywall finishing by applying and feathering compound in one pass. Features an adjustable crown dial for thickness control and a pivoting axle for consistent surface contact.",195.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_7316520b.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_2fef317f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_3468df21.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-10fb_d42e7147.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-10FB, 10 inch flat box, drywall finishing tool, joint compound applicator",1403,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 10-Inch Flat Finishing Box (PT-10FB) | 10"" Coverage","Professional 10"" flat finishing box for $195.00. Features adjustable crown dial and pivoting axle for consistent drywall joint compound application."
Platinum Drywall Tools,PT-FB12,,"Platinum 12"" Flat Finishing Box (PT-FB12)",simple,"<p>Platinum 12"" Flat Finishing Box (PT-FB12) delivers high-efficiency performance for professional drywall contractors, streamlining the application of joint compound on flat and butt joints. Engineered for both commercial and residential applications, this tool provides the precision required to achieve seamless, high-quality finishes while minimizing physical fatigue during long shifts.</p><p>This second-generation finishing box features a robust, job-site-ready construction. The integrated adjustable crown dial allows for precise control over compound thickness, ensuring smooth transitions between base coats and final skimming. To maintain consistent results on imperfect framing, the precision-engineered pivoting axle automatically compensates for surface irregularities, preventing skips and maintaining a level application across the entire joint span.</p><p><strong>Features:</strong></p><ul><li><strong>Adjustable Crown Control:</strong> Fine-tune compound thickness with a simple dial for precise transitions between initial fill coats and final finishes.</li><li><strong>Pivoting Axle Technology:</strong> Automatically adapts to uneven drywall surfaces to ensure a consistent, professional-grade finish on challenging substrates.</li><li><strong>Simplified Maintenance:</strong> The removable door plate design eliminates outdated hinge systems, enabling rapid disassembly and thorough cleaning after every use.</li><li><strong>Universal Compatibility:</strong> Engineered with wear parts that are compatible with most major industry-standard finishing boxes, ensuring long-term serviceability.</li><li><strong>Rugged Construction:</strong> Built from durable materials to withstand the rigors of daily professional job site environments.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-FB12 | | Tool Type | 12-Inch Flat Finishing Box | | Category | Drywall Finishing Tools | | Compatibility | Universal (Major Industry Brands) | | Price | $205.00 |</p>","The Platinum 12"" Flat Finishing Box (PT-FB12) features a second-generation design with a removable door plate, adjustable crown dial, and pivoting axle for consistent, professional-grade drywall finishing. Compatible with most major industry-standard wear parts.",205.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_1778f435.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_04accd7c.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_5b5f062a.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-fb12_db272359.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-FB12, 12 inch flat box, drywall finishing tool, joint compound applicator, automatic drywall tools",1404,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 12"" Flat Finishing Box (PT-FB12) | Pivoting Axle","Professional 12"" flat finishing box for $205. Features a pivoting axle and adjustable crown dial for consistent joint compound application on drywall."
Platinum Drywall Tools,PT-14FB,,"Platinum 14"" Flat Finishing Box (PT-14FB)",simple,"<p>Platinum 14"" Flat Finishing Box (PT-14FB) provides high-capacity, automated compound application for professional drywall contractors. Engineered for efficiency on large-scale projects, this tool streamlines the finishing of flat seams and butt joints by delivering a consistent, crowned layer of joint compound in a single pass. Its design significantly reduces the need for manual tooling and secondary sanding, accelerating the path to a paint-ready surface.</p><p>Built from high-strength, anodized aluminum, the unit balances durability with a lightweight profile to minimize operator fatigue during extended use. The precision-ground stainless steel blade and skid plates ensure a smooth, uniform flow, effectively eliminating ridges and voids. This finishing box is compatible with most standard flat box handles, allowing for seamless integration into existing professional tool kits.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity 14-Inch Width:</strong> Maximizes coverage per pass, significantly increasing daily output on walls and ceilings.</li><li><strong>Adjustable Crown Dial:</strong> Allows for precise regulation of mud thickness, ensuring consistent results across different coat stages.</li><li><strong>Durable Construction:</strong> Engineered with high-strength aluminum and stainless steel components to withstand daily job site demands.</li><li><strong>Universal Compatibility:</strong> Designed to fit most major industry-standard flat box handles.</li><li><strong>Ergonomic Balance:</strong> Optimized weight distribution facilitates smooth, controlled operation and reduces physical strain.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-14FB | | Tool Type | Flat Finishing Box | | Width | 14 inches | | Material | Anodized Aluminum / Stainless Steel | | Category | Drywall Finishing Tools | | Price | $215.00 |</p>","The Platinum 14"" Flat Finishing Box (PT-14FB) is a high-capacity, professional-grade tool designed for rapid, consistent application of joint compound on flat and butt joints. Featuring an adjustable crown dial and durable aluminum construction, it ensures a smooth, feathered finish while maximizing daily productivity.",215.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-14fb_9633c392.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-14fb_02ea571f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-14fb_35056475.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum 14 inch flat box, PT-14FB, drywall finishing tool, automatic flat box, joint compound applicator, drywall butt joint tool",1405,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 14"" Flat Finishing Box (PT-14FB) | 14-Inch Wide Coverage","Boost efficiency with the Platinum 14"" Flat Finishing Box (PT-14FB). Priced at $215, this durable tool delivers consistent, feathered drywall compound."
Platinum Drywall Tools,PT-2NS,,"Platinum 2"" Nail Spotter (PT-2NS)",simple,"<p>Platinum 2"" Nail Spotter (PT-2NS) streamlines the drywall finishing process by automating the application of joint compound over fastener indentations. This tool allows contractors to cover entire rows of screw or nail heads in a single, fluid pass, significantly reducing the labor required for manual touch-ups. Engineered for high-volume job sites, it delivers a consistent, uniform finish that minimizes sanding and prepares surfaces for painting.</p><p>Constructed from durable, anodized aluminum, the tool maintains a lightweight profile without sacrificing structural integrity. It features a precision-hardened steel blade for clean, flush results and a high-performance urethane door seal that ensures consistent internal pressure while preventing compound leakage. A smooth-glide wheel system provides steady tracking across wall surfaces, offering the control necessary for professional-grade results.</p><p><strong>Features:</strong></p><ul><li><strong>Operational Efficiency:</strong> Enables rapid, single-pass coating of fastener heads, drastically reducing manual labor time on large-scale installations.</li><li><strong>Robust Build:</strong> Manufactured from high-grade anodized aluminum for excellent corrosion resistance and long-term durability.</li><li><strong>Precision Finishing:</strong> Hardened steel blade produces a clean, flush finish on every pass.</li><li><strong>Leak-Resistant Design:</strong> High-performance urethane door seal maintains consistent pressure and prevents compound waste.</li><li><strong>Fluid Movement:</strong> Precision-glide wheel system ensures steady, consistent tracking across drywall surfaces.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-2NS | | Tool Type | 2-Inch Nail Spotter | | Material | Anodized Aluminum / Steel | | Category | Drywall Finishing Tools | | Price | $160.00 |</p>","The Platinum 2"" Nail Spotter (PT-2NS) automates fastener hole finishing, allowing for rapid, single-pass application of joint compound. Built with durable anodized aluminum and a precision steel blade, this tool ensures a consistent, paint-ready surface while reducing manual labor.",160.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_f1a9da8a.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_336a91aa.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_39c39b4c.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_8760b44f.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-2NS, nail spotter, drywall finishing tool, screw hole filler, automatic drywall tools",1406,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 2"" Nail Spotter (PT-2NS) | Single-Pass Fastener Tool","Streamline drywall finishing with the Platinum 2"" Nail Spotter (PT-2NS). Efficiently cover fastener heads in one pass. Professional-grade tool for $160."
Platinum Drywall Tools,PT-CF2.5,,"Platinum 2.5"" Angle Head with Wheels (PT-CF2.5)",simple,"<p>Platinum 2.5"" Angle Head with Wheels (PT-CF2.5) streamlines the drywall finishing process by simultaneously applying and feathering joint compound on both sides of internal 90-degree corners. This tool is engineered for high-volume professional environments, providing a consistent, sharp finish that significantly reduces the need for manual sanding or secondary touch-ups. By automating the glazing phase, it allows for a more efficient transition to final surface preparation.</p><p>Constructed for the rigors of daily job site use, the unit features a robust cast aluminum body that balances structural rigidity with operational longevity. The integrated wheel system ensures fluid, consistent movement across the wall surface, effectively reducing drag and minimizing operator fatigue during extended use. This angle head is fully compatible with standard corner rollers, corner boxes, and angle head handles, making it a versatile component of any professional finishing system.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Finishing:</strong> Simultaneously coats and feathers both sides of an inside corner for a clean, uniform edge.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade cast aluminum to ensure long-term reliability and resistance to job site wear.</li><li><strong>Fluid Operation:</strong> Integrated wheels facilitate smooth, consistent motion, minimizing surface drag and improving control.</li><li><strong>System Compatibility:</strong> Designed to integrate seamlessly with standard corner rollers and corner boxes for a complete finishing workflow.</li><li><strong>Efficiency Gains:</strong> Significantly reduces manual detailing time, accelerating the overall finishing schedule.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-CF2.5 | | Tool Type | Angle Head / Corner Finisher | | Size | 2.5 inches | | Material | Cast Aluminum | | Category | Drywall Finishing Tools |</p>","Platinum 2.5"" Angle Head with Wheels delivers a consistent, feathered finish on inside 90-degree corners in a single pass. Built from durable cast aluminum with integrated wheels for smooth, low-drag operation, it is compatible with standard corner boxes and rollers.",239.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_a6afa209.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_4a2a9ed9.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_85f37046.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_b4cc6143.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf2.5_cde1dc90.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-CF2.5, Angle Head, Corner Finisher, Drywall Finishing, Inside Corner Tool",1407,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 2.5"" Angle Head (PT-CF2.5) | Integrated Wheel System","Finish inside 90-degree corners efficiently with the Platinum 2.5"" Angle Head. Durable cast aluminum design with wheels for $239. Perfect for joint compound."
Platinum Drywall Tools,PT-CT24,,"Platinum 24"" Compound Tube (PT-CT24)",simple,"<p>Platinum 24"" Compound Tube (PT-CT24) is a professional-grade, semi-automatic tool engineered to streamline the application of joint compound across drywall seams, corners, and flat joints. By functioning as a high-capacity syringe, this tool allows for rapid, mess-free loading directly from a compound bucket, significantly reducing labor time compared to traditional manual pan-and-knife methods. The 24-inch length provides an ideal balance of capacity and maneuverability, making it the preferred choice for navigating confined work areas, intricate architectural details, and tight spaces where longer tools become cumbersome.</p><p>Built for the rigors of a professional job site, this compound tube features durable construction that ensures consistent material distribution and long-term reliability. Its versatile design accepts a wide range of compatible applicator heads, allowing contractors to switch seamlessly between corner finishing and flat joint applications. This tool is an essential addition for professionals looking to increase efficiency and maintain high-quality finishing standards on every project.</p><p><strong>Features:</strong></p><ul><li><strong>Optimized Maneuverability:</strong> The 24-inch frame offers superior control and access in restricted spaces and detailed finishing applications.</li><li><strong>Efficient Loading Mechanism:</strong> Utilizes a syringe-style suction system for quick, clean refilling directly from the compound container, minimizing downtime.</li><li><strong>Versatile Compatibility:</strong> Engineered to accept various applicator heads, enabling seamless transitions between corner finishing and flat joint tasks.</li><li><strong>Rugged Construction:</strong> Built with high-grade materials to withstand heavy-duty use and provide long-term reliability on the job site.</li><li><strong>Productivity Focused:</strong> Accelerates the finishing process by delivering a consistent ribbon of compound, reducing physical strain and time associated with manual methods.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-CT24 | | Tool Type | Compound Tube | | Length | 24 inches | | Category | Drywall Finishing Tools | | Price | $150.00 |</p>","The Platinum 24"" Compound Tube is a compact, semi-automatic tool designed for rapid, precise application of joint compound to corners and flat seams. Compatible with various applicator heads to increase job site efficiency.",150.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-ct24_3025470f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-ct24_7d1c3c4f.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-ct24_9b2f5f17.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-CT24, compound tube, drywall finishing tool, joint compound applicator, drywall mud tube",1408,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 24"" Compound Tube (PT-CT24) | Compact 24-Inch Reach","Streamline drywall finishing with the Platinum 24"" Compound Tube (PT-CT24). A $150 professional tool for fast, precise joint compound application. 24-inch."
Platinum Drywall Tools,PT-3CF,,"Platinum 3"" Angle Head Corner Finisher with Wheels (PT-3CF)",simple,"<p>Platinum 3"" Angle Head Corner Finisher with Wheels (PT-3CF) is a high-performance automatic tool engineered to glaze and feather both sides of an inside 90-degree drywall corner in a single pass. This unit replaces manual labor with consistent, mechanical precision, ensuring a uniform finish that requires minimal sanding before painting. The integrated wheel system allows the tool to track smoothly along the corner, reducing friction and preventing tape displacement during the initial glazing stage.</p><p>Constructed from a robust combination of high-grade stainless steel and lightweight aluminum, this corner finisher is built to withstand the rigors of daily job site use. Its design ensures long-term reliability and resistance to wear, making it a dependable asset for professional drywall finishing. The 3-inch width is ideal for initial tape glazing, providing a clean, sharp edge that prepares the surface for final coats. This tool features universal compatibility, integrating seamlessly with standard drywall finishing handles, applicator boxes, and compound tubes.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously finishes both sides of an inside corner in one pass, significantly increasing productivity.</li><li><strong>Professional-Grade Finish:</strong> Delivers a smooth, feathered edge that minimizes sanding and prepares surfaces for high-quality paint.</li><li><strong>Durable Construction:</strong> Built with a premium blend of stainless steel and aluminum for maximum longevity and resistance to job site wear.</li><li><strong>Smooth Tracking:</strong> Equipped with a wheel system that ensures consistent, effortless movement along the corner for uniform application.</li><li><strong>Universal Compatibility:</strong> Engineered to work with all major drywall finishing handles and equipment for seamless integration into existing workflows.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-3CF | | Tool Type | Angle Head Corner Finisher | | Size | 3 inches | | Material | Stainless Steel and Aluminum | | Application | Glazing and Finish Coats | | Price | $249.00 |</p>","The Platinum 3"" Angle Head Corner Finisher with Wheels delivers a professional, feathered finish on inside 90-degree corners in a single pass. Featuring durable stainless steel and aluminum construction, this tool ensures efficient, consistent performance for drywall professionals.",249.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_de71f33d.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_5a5a2665.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_7c82f5b6.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3cf_a810e30a.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-3CF, 3 inch angle head, corner finisher with wheels, drywall finishing tool, inside corner finisher",1409,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3"" Angle Head Corner Finisher (PT-3CF) | With Wheels","Finish inside 90-degree corners faster with the Platinum 3"" Angle Head. $249.00 tool features wheels for smooth tracking and a professional feathered edge."
Platinum Drywall Tools,PT-3NS,,"Platinum 3"" Nail Spotter (PT-3NS)",simple,"<p>Platinum 3"" Nail Spotter (PT-3NS) streamlines the process of concealing fastener indentations on drywall surfaces. This high-efficiency applicator is engineered to coat entire rows of screw or nail heads in a single, continuous pass, significantly reducing manual labor while ensuring a uniform, professional-grade finish that requires minimal sanding.</p><p>Built to withstand the rigors of daily job site use, the tool features a robust anodized aluminum body that provides structural integrity without adding unnecessary weight. The assembly incorporates a precision-ground carbide steel blade for consistent material application, paired with a high-quality urethane door seal that maintains optimal pressure and prevents compound leakage. Integrated glide wheels ensure smooth, effortless movement across the wall, while the universal threaded mount allows for rapid attachment to standard corner roller handles.</p><p><strong>Features:</strong></p><ul><li><strong>Durable Construction:</strong> High-grade anodized aluminum body resists wear and ensures long-term reliability.</li><li><strong>Precision Blade:</strong> Carbide steel edge delivers clean, consistent coverage across fastener rows.</li><li><strong>Leak-Resistant Seal:</strong> Premium urethane door seal maintains pressure and minimizes compound waste.</li><li><strong>Smooth Mobility:</strong> High-performance glide wheels facilitate effortless movement across drywall surfaces.</li><li><strong>Universal Compatibility:</strong> Threaded mount integrates seamlessly with standard corner roller handles.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-3NS | | Tool Type | 3"" Nail Spotter | | Body Material | Anodized Aluminum | | Blade Material | Carbide Steel | | Seal Material | Urethane | | Compatibility | Standard Corner Roller Handles | | Price | $160.00 |</p>","The Platinum 3"" Nail Spotter (PT-3NS) is a high-efficiency tool designed for rapid, single-pass finishing of drywall fastener indentations. Featuring a durable anodized aluminum body, a precision carbide steel blade, and a leak-resistant urethane seal, it ensures consistent results and smooth operation with standard corner roller handles.",160.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-2ns_f1a9da8a.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum 3 inch nail spotter, PT-3NS, drywall fastener tool, screw hole filler, drywall finishing tool, nail spotter",1410,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3"" Nail Spotter (PT-3NS) | Precision Fastener Finish","Finish drywall fastener rows faster with the Platinum 3"" Nail Spotter (PT-3NS). Durable aluminum build, $160. Precision carbide blade for clean results."
Platinum Drywall Tools,PT-3.5CF,,Platinum 3.5 Corner Flusher (PT-3.5CF),simple,"<p>Platinum 3.5 Corner Flusher (PT-3.5CF) is a professional-grade finishing tool engineered to produce clean, consistent internal 90-degree drywall corners. By automating the feathering process, this tool allows contractors to achieve a uniform finish on both sides of a corner in a single pass, significantly reducing the labor required for manual sanding and touch-up work. Its design is optimized for high-volume residential and commercial projects where speed and precision are critical to maintaining project timelines.</p><p>Constructed from high-quality surgical stainless steel, this flusher is built to withstand the abrasive nature of joint compound and the daily wear of active job sites. The precision-machined geometry ensures optimal compound distribution, while the integrated retention clip provides a secure connection to standard finishing handles. This tool is compatible with major industry-standard angle head and flusher handles, allowing for seamless integration into existing tool kits.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Feathering:</strong> Delivers a smooth, uniform finish on internal corners, minimizing the need for secondary sanding.</li><li><strong>Durable Construction:</strong> Fabricated from surgical-grade stainless steel to resist corrosion and maintain shape integrity under heavy use.</li><li><strong>Universal Compatibility:</strong> Designed to fit securely with all major brands of drywall finishing handles and angle head adapters.</li><li><strong>Efficiency-Driven Design:</strong> Enables rapid application and smoothing of joint compound, drastically cutting down on manual finishing time.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum | | SKU | PT-3.5CF | | Product Type | Corner Flusher | | Size | 3.5 inches | | Material | Surgical Stainless Steel | | Category | Drywall Finishing Tools |</p>","Platinum 3.5"" Corner Flusher constructed from durable surgical stainless steel. Designed for consistent, single-pass feathering of internal drywall corners and compatible with all major industry-standard handles.",80.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3.5cf_d0f6ed93.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-3.5cf_3f8eb361.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-3.5CF, corner flusher, drywall finishing tool, internal corner finisher, 3.5 inch flusher",1436,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3.5"" Corner Flusher (PT-3.5CF) | 3.5-Inch Precision","Finish drywall corners faster with the $80 Platinum 3.5"" Corner Flusher. Surgical stainless steel design ensures a smooth, consistent 90-degree finish."
Platinum Drywall Tools,PT-CF3.5,,"Platinum 3.5"" Angle Head Corner Finisher with Wheels (PT-CF3.5)",simple,"<p>Platinum 3.5"" Angle Head Corner Finisher with Wheels (PT-CF3.5) streamlines the finishing of inside 90-degree drywall corners by applying and feathering joint compound on both sides simultaneously. This tool is engineered for high-volume environments where speed and consistent, paint-ready results are essential, effectively minimizing the need for manual touch-ups or extensive sanding.</p><p>Constructed from high-grade cast aluminum, this corner finisher provides the structural durability required for daily professional use. The integrated wheel system ensures smooth, controlled movement along the corner, reducing operator fatigue and promoting a uniform finish across the entire length of the joint.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Finishing:</strong> Simultaneously applies and feathers compound on both sides of an inside corner to maximize efficiency.</li><li><strong>Integrated Wheel System:</strong> Enables smooth, consistent travel along the wall surface while reducing physical strain during operation.</li><li><strong>Durable Build:</strong> Manufactured from high-grade cast aluminum for long-term reliability in demanding job site conditions.</li><li><strong>Broad Compatibility:</strong> Designed to integrate seamlessly with standard corner rollers and corner boxes for a versatile workflow.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Platinum Drywall Tools | | SKU | PT-CF3.5 | | Tool Type | Angle Head Corner Finisher | | Size | 3.5 inches | | Material | Cast Aluminum | | Category | Drywall Finishing Tools |</p>","Platinum 3.5"" Angle Head Corner Finisher with integrated wheels for efficient, dual-sided inside corner finishing. Compatible with standard corner rollers and boxes.",259.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_4018902b.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_15dc01ea.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_6738bd11.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_8cc7300e.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Platinum/Products/pt-cf3.5_ea717a36.webp,Drywall Finishing Tools > Platinum > Tools,"Platinum Drywall Tools, PT-CF3.5, angle head, corner finisher, drywall finishing, inside corner tool",1411,1,0,visible,,,taxable,,1,,,,0,,,,,1,,,,,,,,,,,Brand,Platinum,1,1,"Platinum 3.5"" Angle Head Corner Finisher (PT-CF3.5) | With Wheels","Finish inside 90-degree corners faster with the Platinum 3.5"" Angle Head. Features integrated wheels for smooth application. $259.00 for professional use."
