Brands,SKU,Name,Tags,meta:_dtb_seo_title,meta:_dtb_seo_description
Asgard,4I-SJ80-1WRW,"Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) (4I-SJ80-1WRW)","Asgard, 8 inch angle box, corner finisher, internal corner tool, 4I-SJ80-1WRW, drywall finishing, extendable handle, joint compound applicator","Asgard 8"" Angle Box with Extendable Handle - 4I-SJ80-1WRW","Apply joint compound to internal corners efficiently with the Asgard 8"" Angle Box. Features a lightweight aluminum body and extendable handle for high-reach finishing."
Asgard,4K-S6F6-8HQ6,"Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) (4K-S6F6-8HQ6)","Asgard, 8 inch angle box, corner finisher, fixed handle, 4K-S6F6-8HQ6, internal corner finishing, professional drywall tools","Asgard 8"" Angle Box with Fixed Handle - 4K-S6F6-8HQ6","Streamline drywall corner finishing with the Asgard 8"" Angle Box. Fixed handle design provides superior leverage and control for consistent compound application."
Asgard,9R-PIR7-OTNL,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set) (9R-PIR7-OTNL),"Asgard, taping tool set, full finishing kit, 9R-PIR7-OTNL, automatic taper, 10 inch flat box, 12 inch flat box, professional drywall set","Asgard Pro-Grade Full Taping Tool Set - 9R-PIR7-OTNL","Complete Asgard drywall finishing system including automatic taper, flat boxes, and corner tools. Engineered for high-volume professional productivity and durability."
Asgard,AGFLATEXT,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)","Asgard, flat box set, 10 inch flat box, 12 inch flat box, AGFLATEXT, drywall combo kit, extendable handle, loading pump","Asgard 10"" & 12"" Flat Box Combo Set - AGFLATEXT","Maximize efficiency on flat seams and butt joints with the Asgard Flat Box Combo. Includes 10"" and 12"" boxes, loading pump, and extendable handle."
Asgard,AH-AD,Asgard Angle Head,"Asgard, angle head, corner finisher, AH-AD, internal corner tool, 2.5 inch angle head, 3 inch angle head, 3.5 inch angle head","Asgard Professional Angle Head Finisher - AH-AD","Achieve a clean, uniform finish in internal 90-degree corners with the Asgard Angle Head. Features a die-cast aluminum body and easy-roll rubber wheels."
Asgard,BBH-AD,Asgard Brakeless Box Handle (BBH-AD),"Asgard, flat box handle, brakeless handle, BBH-AD, friction brake, fiberglass handle, drywall finishing","Asgard Brakeless Box Handle with Friction Brake - BBH-AD","The Asgard BBH-AD features a precision friction brake for smooth, predictable flat box control. Lightweight fiberglass construction reduces operator fatigue."
Asgard,CA08-AD,"Asgard 8"" Drywall Angle Box (CA08-AD)","Asgard, 8 inch angle box, corner applicator, CA08-AD, internal corner finishing, stainless steel nose cone, high capacity angle box","Asgard 8"" Drywall Angle Box - CA08-AD | High-Capacity","High-capacity Asgard 8"" Angle Box for efficient joint compound application. Features a lightweight anodized aluminum body and durable stainless steel nose cone."
Asgard,CFA-AD,Asgard Angle Head Ball Adapter (CFA-AD),"Asgard, angle head adapter, ball adapter, CFA-AD, corner finishing, handle adapter, drywall tool parts","Asgard Angle Head Ball Adapter - CFA-AD | Durable Aluminum","Ensure precise articulation for corner finishing with the Asgard CFA-AD Adapter. Connects angle heads to handles for smooth, multi-directional movement."
Asgard,CR01-AD,Asgard Inside Corner Roller (CR01-AD),"Asgard, corner roller, inside corner tool, CR01-AD, drywall taping, stainless steel roller, tape embedding","Asgard Inside Corner Roller - CR01-AD | Stainless Steel","Embed drywall tape firmly into 90-degree corners with the Asgard CR01-AD. Stainless steel rollers eliminate air pockets for a professional, bubble-free finish."
Asgard,EHC10-AD,"Asgard 10"" MaxxBox Finishing Box (EHC10-AD)","Asgard, 10 inch flat box, MaxxBox, EHC10-AD, high capacity finishing box, drywall flat box, anodized aluminum","Asgard 10"" MaxxBox High-Capacity Finishing Box - EHC10-AD","Finish flat seams faster with the Asgard 10"" MaxxBox. High-capacity reservoir reduces refills, while the pivoting axle ensures uniform compound application."
Asgard,EZFB-AD,Asgard Flat Box,"Asgard, flat box, finishing box, EZFB-AD, EZ07-AD, EZ10-AD, EZ12-AD, drywall joint tool","Asgard EasyClean Flat Finishing Box - EZFB-AD Series","Professional Asgard Flat Boxes for precise joint compound application. Available in 7"", 10"", and 12"" sizes with adjustable mud flow and easy-clean latches."
Asgard,FA01-AD,Asgard Box Filler Adapter (FA01-AD),"Asgard, filler adapter, pump adapter, FA01-AD, loading pump parts, flat box filler, drywall tool maintenance","Asgard Universal Box Filler Adapter - FA01-AD","Facilitate rapid, leak-free compound transfers with the Asgard FA01-AD Filler Adapter. Fits most industry-standard loading pumps for flat and angle boxes."
Asgard,FBHE-AD,Asgard Extendable Flat Box Handle (FBHE-AD),"Asgard, extendable flat box handle, FBHE-AD, telescopic handle, brake anywhere, drywall finishing tools","Asgard Extendable Flat Box Handle (41""-63"") - FBHE-AD","Control your flat box with precision using the Asgard FBHE-AD Extendable Handle. Features Brake Anywhere technology and a 41-63 inch telescopic range."
Asgard,FH-AD,Asgard Fiberglass Handle (FH-AD),"Asgard, fiberglass handle, support handle, FH-AD, 43 inch handle, corner roller handle, anti-rotation handle","Asgard 43"" Fiberglass Support Handle - FH-AD","Lightweight and high-strength Asgard 43"" handle for corner rollers and angle boxes. Features a D-shaped fitting to prevent unwanted tool rotation."
Asgard,GN01-AD,Asgard Gooseneck (GN01-AD),"Asgard, gooseneck, taper filler, GN01-AD, loading pump adapter, stainless steel gooseneck, automatic taper parts","Asgard Stainless Steel Gooseneck Taper Filler - GN01-AD","The Asgard GN01-AD Gooseneck provides efficient, leak-free compound transfer from loading pumps to automatic tapers. Features a protective rubber-sleeved cradle."
Asgard,HU-OI6G-88Y4,Asgard Starter Set (HU-OI6G-88Y4),"Asgard, starter set, drywall tool kit, HU-OI6G-88Y4, automatic taping tools, professional drywall bundle","Asgard Professional Drywall Starter Tool Set - HU-OI6G-88Y4","A foundational collection of professional Asgard drywall tools. Engineered for durability and efficiency, this kit streamlines the finishing process for pros."
