Brand,SKU / Part No.,Tool Name,Category,Description
TapeTech,TTT07TT,TapeTech EasyClean Automatic Taper,Automatic Tapers,"Simultaneously applies tape and joint compound to all drywall joints. Features EasyClean cover plate (quarter-turn removal), stainless steel side plates, hard anodized push rod/cable drum, adjustable brake, enclosed rollers, and integrated tool hook."
TapeTech,TTT07TTC,Carbon Fiber EasyClean Automatic Taper,Automatic Tapers,"World's lightest automatic taper at 5.65 lbs — up to 20% lighter than competitors. Carbon fiber main tube and control tube are dent-proof and temperature-neutral. Includes EasyClean cover plate, adjustable brake, and tool-less tube protector."
TapeTech,TTTEZ07TT,7" EasyClean Finishing Box,Flat Boxes,"Automatically dispenses and feathers joint compound on butt and flat joints in one pass. Features adjustable crown dial, pivoting axle, and EasyRoll wheel system for finishing outside corner bead up to 2x faster than by hand."
TapeTech,TTTEZ10TT,10" EasyClean Finishing Box,Flat Boxes,"Automatically dispenses and feathers joint compound on butt and flat joints in one pass. Features adjustable crown dial, pivoting axle, and EasyRoll wheel system for finishing outside corner bead up to 2x faster than by hand."
TapeTech,TTTEZ12TT,12" EasyClean Finishing Box,Flat Boxes,"Automatically dispenses and feathers joint compound on butt and flat joints in one pass. Features adjustable crown dial, pivoting axle, and EasyRoll wheel system for finishing outside corner bead up to 2x faster than by hand."
TapeTech,TTTFHTT,TapeTech Fiberglass Handle,Handles,"Interchangeable fixed-length fiberglass handle. Base handle fits corner roller, corner applicator, and nail spotter without adapters. D-shaped fitting prevents rotation during use. Part of TapeTech's one-handle-for-every-tool system."
TapeTech,TTTXHTT,TapeTech Extension Handle,Handles,"Interchangeable aluminum extension support handle. Base handle fits corner roller, corner applicator, and nail spotter without adapters. D-shaped fitting prevents rotation during use. Part of TapeTech's one-handle-for-every-tool system."
TapeTech,TTT88TTE,TapeTech XTender Finishing Box Handle,Handles,"Extends from 41 to 63 inches for greater reach with all TapeTech EasyClean, EasyClean High Capacity, and Power Assist Finishing Boxes. Industry's strongest extendable finishing box handle. Anodized aluminum construction."
TapeTech,TTTCA07TT,7" Corner Applicator,Corner Applicators,"Supplies joint compound to corner finishers for fast internal corner finishing. Also used with mud heads for paper-faced corner bead installation. Features stainless steel cone. Fits FHTT fiberglass or XHTT extension handle."
TapeTech,TTTCA08TT,8" Corner Applicator,Corner Applicators,"Supplies joint compound to corner finishers for fast internal corner finishing. Also used with mud heads for paper-faced corner bead installation. Features stainless steel cone. Fits FHTT fiberglass or XHTT extension handle."
TapeTech,TTT42TT,2.5" Corner Finisher (42TT),Angle Heads,"Feathers joint compound on both sides of internal corners in one pass. Spring-loaded for imperfect corners. Stainless steel frames and patented positive ball retainer. Use with CA07TT/CA08TT or 14TT MudRunner."
TapeTech,TTT40XTT,2" Angle Head Drywall Corner Finisher (40XTT),Angle Heads,"Wipes down and feathers both sides of an internal corner in one pass. Spring action compensates for corners over or under 90 degrees. Designed to follow the Corner Roller to smooth excess compound after tape embedding."
TapeTech,TTT48TT,3" EasyRoll Adjustable Corner Finisher,Angle Heads,"Feathers both joint compound edges of internal corners in one pass. Adjustable spring pressure via tension spring engagement/disengagement. EasyRoll wheels for smoothest wall action. Stainless steel frames and positive ball retainer."
TapeTech,TTT48XTT,3.5" EasyRoll Adjustable Corner Finisher,Angle Heads,"Feathers both joint compound edges of internal corners in one pass. Adjustable spring pressure via tension spring engagement/disengagement. EasyRoll wheels for smoothest wall action. Stainless steel frames and positive ball retainer."
TapeTech,TTTNS02TT,2" EasyClean Nail Spotter,Nail Spotters,"Fills depressions left by nail/screw heads in drywall while removing excess compound simultaneously. EasyClean design. Hardened steel skid plate protects stainless steel blade from proud fasteners and extends blade life over wheel designs."
TapeTech,TTTNS03TT,3" EasyClean Nail Spotter,Nail Spotters,"Fills depressions left by nail/screw heads in drywall while removing excess compound simultaneously. EasyClean design. Hardened steel skid plate protects stainless steel blade from proud fasteners and extends blade life over wheel designs."
TapeTech,TTT14TT,TapeTech MudRunner,Mud Runner,"Delivers joint compound to internal and external corners with precision. Twist-of-the-wrist piston activation creates consistent compound flow; twist back to stop instantly. Holds 50% more compound than an 8-inch and 70% more than a 7-inch corner applicator. Works with corner finishers and mud heads."
TapeTech,TTT76TT,TapeTech EasyClean Loading Pump,Loading Pump,"Fills automatic tapers (via 85T gooseneck) and filling boxes/MudRunner/corner applicators/nail spotters (via 90T filler adapter). Features Twist-lock foot valve, integrated O-Ring seal, and redesigned head. Slim tube preferred by professional finishers."
TapeTech,TTT85TT,TapeTech Gooseneck Adapter,Goosenecks,"Used with 72TT, 73TT, or 76TT loading pump to fill the automatic taper. Heavy-duty durable design. Features integrated foot for stability. Efficiently fills TapeTech automatic tapers."
TapeTech,TTT90TT,TapeTech Filler Adapter,Box Fillers,"Attaches to 72TT or 76TT EasyClean Pumps to fill corner applicators, nail spotters, EasyClean, EasyClean High Capacity, and Power Assist Finishing Boxes with joint compound."
