"Type","SKU","Name","Short description","Categories","Description"
"simple","PT-3CF","3"" Angle Head Corner Finisher with Wheels","Precision set blades Hand made from aluminum and steel components Locking clip hold angle head securely to the pole or corner box","Angle Heads","Platinum 3"" Angle Head The Platinum Tools 3"" Angle Head has a classic design that evenly finishes both sides of inside corners in a single pass. It runs very smooth and leave a finish that is ready to paint with very little sanding. Constructed of stainless steel and aluminum components, this mechanical flusher will have a very long service life. The 3"" is the most commonly used size of corner finisher used by drywall professionals. It is suitable for both the glazing coat and the finish coat. Will fit on all major brands of angle head handles, compound tubes and corner boxes."
"simple","PT-CFH50","50"" Angle Head Handle","Contractor-grade angle headSmooth corner finishing controlBuilt for daily jobsite use","Angle Heads","This Platinum Drywall Tools Angle Head Handle is a heavy-duty anodized aluminum handle. It is 50"" long. Features a very comfortable rubber grip at the end and an adjustable ball grip for greater control. These handles are definitely built to last."
"simple","PT-CA8","8"" Corner Applicator","Platinum Corner Boxes will speed up finishing drywall corners significantly.","Corner Applicators","Platinum 8"" Corner Applicator The Platinum 8"" Corner Applicator is used the apply joint compound to internal corners with the use of an Angle Head. We went with the higher capacity 8"" box that allows for longer runs and higher productivity. Built super tough and lightweight out of anodized aluminum. Standard Corner Box Handle is 50"" long so that you can reach higher ceilings. Will fit all major brands of angle heads."
"simple","PT-10FB","10"" Flat Finishing Box","Exceptional Value 5 Year Warranty Easy Push Operation Lid Opens Wide for Quick Clean-up","Flat Boxes","The Platinum 10"" Flat Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Platinum Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the joint compound amount applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps compensate when the drywall or Sheetrock® on one side of the joint is higher than the other. All wear parts fit most competitive brands at significantly lower prices versus the competition. A flat box handle is required for use."
"simple","PT-BH34","34"" Flat Box Handle","34"" fixed length — ideal for low ceilings and walls Durable anodized aluminum construction Lightweight and comfortable for extended use Adjustable ergonomic grip for better control Full-motion braking system for precise operation Works with all major brand flat boxes Designed for professional drywall finishing","Flat Box Handle, Flat Boxes","Platinum Drywall Tools 34"" Flat Box Handle The Platinum Drywall Tools 34"" Flat Box Handle is built tough for professional drywall finishers who demand performance, comfort, and durability. Constructed from lightweight anodized aluminum, this handle is designed to withstand years of jobsite use while minimizing fatigue. Its adjustable ergonomic grip provides maximum comfort and control, while the advanced braking mechanism delivers full-motion braking—offering superior control compared to older handle designs. At 34 inches, this handle is perfect for working on low ceilings and walls, giving you precision where space is limited. This handle is compatible with most major brands of flat boxes and is a dependable and versatile addition to any finisher's toolkit."
"simple","PT-BH42","42"" Flat Box Handle","High-strength anodized aluminum construction Lightweight and durable for all-day use Ergonomic grip reduces fatigue and enhances handling Compatible with all major flat boxes Designed for professional drywall finishing","Flat Boxes","Platinum Drywall Tools 42"" Flat Box Handle = The Platinum 42"" Flat Box Handle is built for professional drywall finishers who demand precision, strength, and reliability. Crafted from lightweight anodized aluminum, this handle provides exceptional durability while minimizing fatigue during long finishing sessions. Its fixed 42-inch length perfectly balances reach and control, making it ideal for walls, ceilings, and tight working areas. The handle’s ergonomic grip and secure attachment design ensure smooth operation and consistent results when used with any major brand of flat box."
"simple","PT-BH54","54"" Flat Box Handle","Improved reach and leverageBuilt for dependable jobsite controlCompatible with flat box workflows","Flat Box Handle","Platinum Drywall Tools 54"" Flat Box Handle The Platinum Drywall Tools 54"" Flat Box Handle is built to last. It is very lightweight and made of anodized aluminum. Features an adjustable grip for greater comfort. The braking mechanism offers a full motion of braking capabilities, unlike some of the older style handles on the market. The 54"" Flat Box Handle size is great for high ceiling and walls."
"simple","PT-CR","Inside Corner Roller","The high-grade aluminum body won't rust or corrode Aluminum-reinforced Stainless Steel wheels are ultra-durable and corrosion resistant","Corner Rollers","Platinum Drywall Tools Inside Corner Roller The Platinum Drywall Tools Inside Corner Roller is precision designed for embedding paper tape into inside 90 degree corners. Immediately after applying the mud and tape into the corner, you will use this tool by rolling it over the tape. This process forces the excess joint compound out from under the tape and properly beds the corner. As a result, it creates a beautiful sharp inside corner. Use a corner flusher or angle head, immediately after rolling to clean up the excess compound. (sold separately)"
"simple","GN","Drywall Gooseneck Adapter","Stainless steel construction for strength and longevity Designed for filling automatic tapers with joint compound Rubber-sleeved taper rest protects tools from wear and damage Universal fit for most compound pumps and automatic tapers Professional-grade quality built for daily jobsite use","Gooseneck","The Platinum Drywall Tools Gooseneck is a precision-engineered attachment designed for use with compound pumps to fill automatic tapers with joint compound efficiently and effectively. Manufactured from high-grade stainless steel, this gooseneck is designed for long-term durability, corrosion resistance, and consistent performance on the jobsite. Equipped with a taper rest featuring rubber protective sleeves, the design helps prevent premature wear, marring, and scratching of your automatic taper during filling. The universal configuration ensures broad compatibility, fitting nearly all major brands of compound pumps and automatic tapers on the market. Engineered for professional drywall finishers who demand reliability, longevity, and seamless integration, the Platinum Gooseneck delivers dependable performance where it matters most. Platinum Drywall Tools — engineered for professionals who expect equipment to work as hard as they do."
"simple","PT-OCR","Outside 90 Degree Corner Roller","Set up to a Platinum Outside Corner Roller to speed up installation of corner bead.","Corner Rollers","Platinum Outside 90 Degree Corner Roller The Platinum Outside 90 Degree Corner Roller is designed to squeeze out excess drywall compound from underneath paper-faced corner bead. The nylon rollers roll very smooth and make a very strong bond to the drywall/Sheetrock. This is a must have if you are running paper faced corner bead."
