brand,name,description_full,sku,upc,price,price_numeric,description_short,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9
TapeTech,Ames Bazooka Continuous Flow Corner Finishing Bundle,"TapeTech BAZOOKA™ Continuous Flow Drywall Tools

Finish drywall projects faster than ever before when you keep your taping tool continuously at work on the wall while the Bazooka system provides a continuous flow of compound into your choice of tools.

Unlike traditional taping tools, that must be loaded and reloaded using a hand pump; Bazooka Continuous Flow can work continuously without having to stop and reload. Best of all, current Automatic Taping Tool users can move up to Bazooka Continuous Flow with minimal training.",CFCRNR,810135983815,"$11,865.50",11865.5,TapeTech BAZOOKA™ Continuous Flow Drywall Tools,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3177/1802/0000089_7__51331.1675191903.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3177/2918/cfs-cor__24051.1675191919.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3177/2186/ames_conf_3__00893.1675191909.jpg?c=1&imbypass=on,,,,,,
Asgard,Asgard Fiberglass Handle,"Asgard Fiberglass Support Handle

Experience the perfect balance of durability, functionality, and affordability with the

Asgard Fiberglass Support Handle. Designed for versatility, this handle system works seamlessly with Corner Rollers, Angle Boxes, Angle Heads, and Nail Spotters, making it an essential addition to your drywall finishing toolkit.

The ergonomic 1.25"" diameter ensures comfortable handling, while the innovative D-shaped fitting securely locks the handle in place within the Asgard Angle Box, preventing any rotation during use. Built with Asgard’s commitment to quality and performance, this support handle is a reliable choice for professionals seeking efficiency and ease of use.

Take your drywall tools to a new level with Asgard!",FH-AD,,$43.00,43.0,Asgard Fiberglass Support Handle,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3943/5805/screenshot_2024-12-20_140420__51736.1748975378.png?c=1&imbypass=on,,,,,,,,
Asgard,Asgard “Hammer” Automatic Taper,"Introducing the Asgard® ""HAMMER™"" Automatic Taper, setting a new standard for value in drywall tools. This innovative taper seamlessly applies joint tape and precisely measures joint compound, revolutionizing taping efficiency. The AT01-AD model boasts stainless steel side plates, a hard anodized push rod, and a cable drum, ensuring durability and corrosion resistance for long-lasting performance. Enhanced with enclosed rollers on the control tube for a comfortable grip and hand protection, the HAMMER also features a control tube flange for tape cutting convenience during high ceiling applications. With a streamlined tube protector design for maximum comfort and effortless maintenance, experience unparalleled ease and efficiency without the need for additional tools.",AT01-AD,0873876004492,"$1,271.00",1271.0,"Introducing the Asgard® ""HAMMER™"" Automatic Taper, setting a new standard for value in drywall tools. This innovative taper seamlessly applies joint tape and precisely measures joint compound, revolutionizing taping efficiency. The AT01-AD model boasts stainless steel side plates, a hard anodized push rod, and a cable drum, ensuring durability and corrosion resistance for long-lasting performance. Enhanced with enclosed rollers on the control tube for a comfortable grip and hand protection, the",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4101/5766/screenshot_2024-05-13_051015__52115.1748975354.jpg?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 10"" and 12"" Flat Box Combo Set","This kit includes the following

Asgard Loading Pump LP01-AD

Asgard Filler Adapter FA01-AD

Asgard Extendable Flat Box Handle FBE-AD

Asgard 10"" Flat Box EZ10-AD

Asgard 12"" Flat Box EZ12-AD

Experience a new standard in drywall finishing with the Asgard Taping Tools Flat Box Combo. Designed for both durability and performance without the high price tag, this combo set includes a 10"" and 12"" flat box to help you achieve flawless drywall results. The smooth-operating loading pump, complete with a flat box filler, ensures fast and easy refills, while the lightweight, extendable flat box handle allows you to reach every corner with ease. Ideal for finishing flat seams and butt joints, Asgard Taping Tools deliver reliable, field-tested quality for all your drywall needs.",AGFLATEXT,,"$1,357.00",1357.0,This kit includes the following,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3842/6134/ExtBoxset__15634.1755279119.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 10"" Flat Box","Asgard 10"" Flat Box: Advanced Drywall Tools

Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for applying base coats to flat seams or butt joints, this Flat Box is an essential tool for any drywall professional.",EZ10-AD,0873876004515,$344.00,344.0,"Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, fine",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5963/EZ10-AD_Front__19435.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5965/EZ10-AD_Back__06841.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5964/EZ10-AD_Hero_Left__60784.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5967/EZ10-AD_Hero_Rear_L__85636.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5966/EZ10-AD_Hero_Rear_R__39208.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5969/EZ10-AD_Left__35156.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5968/EZ10-AD_Right__18180.1752517380.png?c=1&imbypass=on,,
Asgard,"Asgard 10"" MaxxBox Finishing Box","Asgard 10"" MAXXBOX Flat Box

Elevate your drywall finishing with the

Asgard 10"" MAXXBOX Flat Box

—where durability and functionality meet exceptional value. Featuring a sleek black exterior, this flat box is crafted from premium-quality alloys to withstand the toughest job sites. Designed for compatibility, it works seamlessly with flat box handles from other major brands, offering ultimate flexibility.

The easy dial adjustment ensures consistent and precise mud output every time, while the

MAXXBOX®

Design holds up to 68% more mud than other high-capacity flat boxes. This means fewer fill-ups, increased efficiency, and faster production speeds—all without exhausting the user. Perfect for finishing flat seams and butt joints, the Asgard 10"" MAXXBOX delivers professional-grade results with ease.

Discover a new level of drywall tools with Asgard!",EHC10-AD,,$374.00,374.0,"Asgard 10"" MAXXBOX Flat Box",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3906/5803/screenshot_2024-12-20_140917__23306.1748975375.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 10"" Power Assist Finishing Box","Asgard 10"" Power Assist Finishing Box

Achieve flawless drywall finishes with the

Asgard 10"" Power Assist Finishing Box. Engineered for precision and efficiency, this finishing box features power-assisted springs, reducing effort and providing a smoother application of joint compound. Its durable aluminum construction ensures long-lasting performance, while the stainless steel blade delivers consistent, clean edges for professional results.

Perfect for taping professionals looking to save time and reduce fatigue, the 10"" width is ideal for finishing wider seams and creating seamless transitions. Whether you're handling a large project or tackling detailed work, the Asgard Power Assist Finishing Box makes drywall finishing faster and easier without compromising quality.

Upgrade your drywall tools with Asgard's reliable and innovative design!",PA10-AD,,$442.00,442.0,"Asgard 10"" Power Assist Finishing Box",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3937/5839/screenshot_2024-12-20_093259__39236.1748975399.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 12"" Flat Box","Asgard 12"" Flat Box: Superior Drywall Tools

Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finishing flat seams or butt joints, this Flat Box is a must-have for any drywall professional.",EZ12-AD,0873876004522,$327.00,327.0,"Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finish",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5973/EZ12-AD_Front__76822.1752519870.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5975/EZ12-AD_Back__94815.1752519870.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5976/EZ12-AD_Hero_Left__42437.1752519870.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5978/EZ12-AD_Hero_Rear_L__68605.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5977/EZ12-AD_Hero_Rear_R__59045.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5974/EZ12-AD_Hero_Right__99010.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5979/EZ12-AD_Left__53136.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5980/EZ12-AD_Right__44550.1752519871.png?c=1&imbypass=on,
Asgard,"Asgard 12"" Power Assist Finishing Box","Asgard 12"" Power Assist Finishing Box

Take your drywall finishing to the next level with the

Asgard 12"" Power Assist Finishing Box. Engineered for maximum efficiency, this box features power-assisted springs, making it easier to apply joint compound with minimal effort. Its wide 12"" blade is perfect for smoothing and finishing larger seams, creating seamless transitions and a flawless surface.

Crafted with durable aluminum housing and a premium stainless steel blade, the Asgard 12"" Power Assist Finishing Box is built to withstand heavy use while delivering consistent, professional results. It is ideal for taping professionals working on larger projects because it offers precision, reliability, and ease of use.

Finish faster and better with Asgard’s trusted innovation and quality!",PA12-AD,,$456.00,456.0,"Asgard 12"" Power Assist Finishing Box",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3941/5840/screenshot_2024-12-20_100733__52499.1748975400.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 2.5"" Angle Head","The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using a

Corner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results.",AH25-AD,0873876004539,$316.00,316.0,"The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using acorner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5905/asgard-2-5-angle-head_1__69656.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5903/asgard-2-5-angle-head_3__33674.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5906/asgard-2-5-angle-head_2__65162.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5904/asgard-2-5-angle-head_4__92991.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5907/asgard-2-5-angle-head__47349.1750258631.jpg?c=1&imbypass=on,,,,
