Brand,Name+Variant,Size/Length,Dimensions,Weight_Dry_LBS,Weight_Dry_KG,Materials,Key_Specifications,Compatible_Parts_SKUs,Warranty_Years
Columbia Taping Tools,Automatic Taper - Standard (TAPER),53" Total,"53" x 6.75" x 6.75"",9.00,4.08,"Billet Aluminum Head, Steel, Aluminum Tube","Pump-action cutting sleeve, Teflon slides, Cam Lock Cap, 500ft tape capacity","CTR-42A, CTR-72, CTR-63, CTR-1",5
Columbia Taping Tools,Predator Automatic Taper - Standard (PTAPER),55" Total,"55" x 6.5" x 6.5"",11.33,5.14,"Carbon Fiber Tube, Billet Aluminum Head, Steel","Titanium pull rod, Temp stable carbon fiber, Reduced drag system","CTR-42A, CTR-72, CTR-63, CTR-1",5
Columbia Taping Tools,Sawed-Off Automatic Taper - Standard (STAPER),39" Total,"39" x 6.75" x 6.75"",7.00,3.18,"Billet Aluminum Head, Steel, Aluminum Tube","Compact for tight spaces, Standard head mechanics","CTR-42A, CTR-72, CTR-63",5
Columbia Taping Tools,Predator Sawed-Off Taper - Standard (SPTAPER),39" Total,"39" x 6.5" x 6.5"",5.00,2.27,"Carbon Fiber Tube, Billet Aluminum Head, Steel","Compact carbon fiber, Quick release cap","CTR-42A, CTR-72, CTR-63",5
Columbia Taping Tools,Semi-Auto Taper - Bucket Taper (SAT),22.5" Total,"22.5" x 6" x 3.5"",2.00,0.90,"Billet Aluminum, Steel","Fits 5-gal bucket, Tape spool brake, Laser instructions","CTR-42A, CTR-1",5
Columbia Taping Tools,Compound Tube - Standard 24" (CMT24),24" Length,"24" x 2.5" Diameter",0.90,0.41,Machined Aluminum,"Smooth interior, Threaded/Cam options",N/A,5
Columbia Taping Tools,Compound Tube - Standard 32" (CMT32),32" Length,"32" x 2.5" Diameter",1.10,0.50,Machined Aluminum,"Smooth interior, Threaded/Cam options",N/A,5
Columbia Taping Tools,Compound Tube - Standard 42" (CMT42),42" Length,"42" x 2.5" Diameter",2.80,1.27,Machined Aluminum,"Smooth interior, Threaded/Cam options",N/A,5
Columbia Taping Tools,Compound Tube - Standard 55" (CMT55),55" Length,"55" x 2.5" Diameter",1.50,0.68,Machined Aluminum,"Smooth interior, Threaded/Cam options",N/A,5
Columbia Taping Tools,Cam Lock Tube - Standard 24" (CLT24),24" Length,"24" x 2.5" Diameter",0.95,0.43,Machined Aluminum,"Quick-release cam lock mechanism",N/A,5
