issue_scope,parent_sku,parent_name,attribute,variation_count,duplicate_group_size,duplicate_skus,duplicate_values,image_files,same_as_parent_first_image,all_group_rows_inherit_parent_image
same_parent,BH9,Brake Connecting Strap,Length,5,5,"BH9-3, BH9-42, BH9-4, BH9-5, BH9-6","3', 42"", 4', 5', 6'",columbia_tools_bh9_3_01.webp,yes,yes
same_parent,CFB7,Door Gasket,Size,2,2,"CFB7-7, CFB7-8","7"", 8""",columbia_tools_cfb7_7_01.webp,yes,yes
same_parent,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia 180° Grip Flat Box Handle,Handle Length,5,5,"3BH, 42BH, 4BH, 5BH, 6BH","3', 42"", 4', 5', 6'",columbia_tools_3bh_01.webp,yes,yes
same_parent,COL-CAM-LOCK-TUBE,Columbia Cam Lock Tube,Size,4,4,"CLT24, CLT32, CLT42, CLT55","24"", 32"", 42"", 55""",columbia_tools_clt24_01.webp,no,yes
same_parent,COL-COMBO-FLUSHER,Columbia Combo Flusher,Size,4,2,"2.5CSF, 3.5CSF","2.5"", 3.5""",columbia_tools_2_5csf_01.webp,no,no
same_parent,COL-COMPOUND-TUBE,Columbia Compound Tube,Size,4,4,"CMT24, CMT32, CMT42, CMT55","24"", 32"", 42"", 55""",columbia_tools_cmt24_01.webp,no,yes
same_parent,COL-HOT-MUD-PUMP,Columbia Hot Mud Pump,Model,3,2,"HMP, HMP-C","Standard, CDN",columbia_tools_hmp_01.webp,yes,yes
same_parent,COL-ONE-HANDLE,Columbia One Handle,Model,4,2,"C1HS, C1H","Stubby, Fixed",columbia_tools_c1h_01.webp,yes,yes
same_parent,COL-UHMW-MUD-APPLICATOR,Columbia UHMW Mud Applicator,Applicator Type,4,2,"FMH, OA90-325","L-Trim, Outside 90° 325",columbia_tools_fmh_01.webp,yes,yes
same_parent,DS-DURA-III,Dura-III Adjustable,Height Range,4,4,"D14-22, D18-30, D24-40, D38-64","14”-22”, 18”-30”, 24”-40”, 38”-64”",dura_stilts_d_iii_01.webp,yes,no
same_parent,FFB11,Adjuster Spring,Size,3,3,"FFB11-8, FFB11-10, FFB11-12","8"", 10"", 12""",columbia_tools_ffb11_8_01.webp,yes,yes
same_parent,FFB25,Rubber Gasket Retainer,Size,2,2,"FFB25-10, FFB25-12","10"", 12""",columbia_tools_ffb25_10_01.webp,yes,yes
same_parent,HFFB3-PLATE,Hinge Box End Plate,Side,2,2,"HFFB3, HFFB3A","Right, Left",columbia_tools_hffb3a_01.webp,yes,yes
same_parent,PT-NS,Platinum Nail Spotter,Size,2,2,"PT-2NS, PT-3NS","2 in, 3 in",platinum_pt_2ns_01.webp,no,no
