brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes,normalized_match_key,unmatched_reason
Columbia,COBCRE,COBCRE,European Outside Corner Roller,,Outside Corner Rollers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,8,COBCRE,COBCRE European Outside Corner Roller,pdf_text,sku_found_in_pdf_text,,,,Columbia:COBCRE,No matching TSWFast row by brand and normalized SKU
Columbia,ITC-K,ITC-K,Track Conversion Kit,,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,ITC-K,ITC-K Track Conversion Kit,pdf_text,sku_found_in_pdf_text,,,,Columbia:ITCK,No matching TSWFast row by brand and normalized SKU
Columbia,HMP-C,HMP-C,Hot Mud Pump (CDN),,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,HMP-C,HMP-C Hot Mud Pump (CDN)*,pdf_text,sku_found_in_pdf_text,,,,Columbia:HMPC,No matching TSWFast row by brand and normalized SKU
Columbia,TSB-14,TSB-14,"14"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-14,TSB-14 14” Tomahawk,pdf_text,sku_found_in_pdf_text,,,,Columbia:TSB14,No matching TSWFast row by brand and normalized SKU
Columbia,TSB-48,TSB-48,"48"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-48,TSB-48 48” Tomahawk,pdf_text,sku_found_in_pdf_text,,,,Columbia:TSB48,No matching TSWFast row by brand and normalized SKU
Columbia,C1HS,C1HS,Columbia One Handle Stubby,,Columbia One,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,16,C1HS,C1HS Columbia One Handle Stubby,pdf_text,sku_found_in_pdf_text,,,,Columbia:C1HS,No matching TSWFast row by brand and normalized SKU
Columbia,OA90-325,OA90-325,Outside 90 Degree 325 Applicator (Plastic),,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,OA90-325,OA90-325 Outside 90° 325 Applicator (Plastic),pdf_text,sku_found_in_pdf_text,,,,Columbia:OA90325,No matching TSWFast row by brand and normalized SKU
Columbia,3WTCSF,3WTCSF,"3"" Widetrack Combo Flusher",,Corner Flushers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,21,20,3WTCSF,3WTCSF 3” Widetrack Combo Flusher,pdf_text,sku_found_in_pdf_text,,,,Columbia:3WTCSF,No matching TSWFast row by brand and normalized SKU
Columbia,4DF,4DF,"4"" Direct Flusher",,Corner Flushers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,21,20,4DF,4DF 4” Direct Flusher,pdf_text,sku_found_in_pdf_text,,,,Columbia:4DF,No matching TSWFast row by brand and normalized SKU
Columbia,4SF,4SF,"4"" Standard Flusher",,Corner Flushers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,21,20,4SF,4SF 4” Standard Flusher,pdf_text,sku_found_in_pdf_text,,,,Columbia:4SF,No matching TSWFast row by brand and normalized SKU
